区市町村名,合計面積(千m2),住宅・アパート／面積(千m2),住宅・アパート／構成比(%),事務所・店舗等／面積(千m2),事務所・店舗等／構成比(%),事務所・店舗等／事務所・銀行／面積(千m2),事務所・店舗等／事務所・銀行／構成比(%),工場・倉庫／面積(千m2),工場・倉庫／構成比(%),その他／面積(千m2),その他／構成比(%)
区部／千代田区,25224,4201,16.7,19186,76.1,18244,72.3,257,1,1580,6.3
区部／中央区,23472,7858,33.5,14126,60.2,12446,53,431,1.8,1057,4.5
区部／港区,38025,15577,41,19722,51.9,18358,48.3,728,1.9,1998,5.3
区部／新宿区,26320,15111,57.4,9567,36.3,7484,28.4,403,1.5,1239,4.7
区部／文京区,12781,9603,75.1,2597,20.3,2209,17.3,232,1.8,349,2.7
区部／台東区,14133,9473,67,3329,23.6,2596,18.4,362,2.6,970,6.9
区部／墨田区,14033,10746,76.6,2082,14.8,1328,9.5,899,6.4,306,2.2
区部／江東区,31441,18336,58.3,6408,20.4,5167,16.4,5868,18.7,829,2.6
区部／品川区,23930,15324,64,6246,26.1,5555,23.2,1723,7.2,636,2.7
区部／目黒区,13684,11660,85.2,1664,12.2,1289,9.4,157,1.2,202,1.5
区部／大田区,36902,26305,71.3,4252,11.5,3256,8.8,4961,13.4,1384,3.7
区部／世田谷区,38843,35302,90.9,2648,6.8,1507,3.9,492,1.3,401,1
区部／渋谷区,20785,12173,58.6,7845,37.7,6213,29.9,185,0.9,583,2.8
区部／中野区,13835,12238,88.5,1344,9.7,1043,7.5,102,0.7,150,1.1
区部／杉並区,23168,21143,91.3,1430,6.2,874,3.8,313,1.4,282,1.2
区部／豊島区,16148,11386,70.5,3946,24.4,2539,15.7,193,1.2,622,3.9
区部／北区,14390,12038,83.7,1266,8.8,815,5.7,780,5.4,306,2.1
区部／荒川区,9265,7849,84.7,674,7.3,512,5.5,474,5.1,267,2.9
区部／板橋区,23557,19746,83.8,1612,6.8,951,4,1762,7.5,437,1.9
区部／練馬区,28060,25604,91.2,1559,5.6,732,2.6,524,1.9,374,1.3
区部／足立区,27891,22860,82,2078,7.5,831,3,2225,8,728,2.6
区部／葛飾区,18034,15678,86.9,1231,6.8,533,3,829,4.6,296,1.6
区部／江戸川区,26717,22748,85.1,1847,6.9,971,3.6,1700,6.4,421,1.6
区部／区部計,520638,362960,69.7,116661,22.4,95454,18.3,25600,4.9,15417,3
市部／八王子市,28006,21438,76.5,3257,11.6,1617,5.8,2636,9.4,675,2.4
市部／立川市,9155,6157,67.3,1865,20.4,985,10.8,804,8.8,329,3.6
市部／武蔵野市,7320,5637,77,1415,19.3,687,9.4,145,2,124,1.7
市部／三鷹市,7590,6388,84.2,698,9.2,411,5.4,345,4.5,158,2.1
市部／青梅市,7044,5161,73.3,586,8.3,239,3.4,939,13.3,357,5.1
市部／府中市,11942,8671,72.6,1600,13.4,1003,8.4,1058,8.9,613,5.1
市部／昭島市,5523,3810,69,641,11.6,291,5.3,898,16.3,175,3.2
市部／調布市,9630,8005,83.1,1009,10.5,545,5.7,460,4.8,157,1.6
市部／町田市,19241,15795,82.1,1899,9.9,768,4,807,4.2,740,3.8
市部／小金井市,4927,4371,88.7,362,7.3,121,2.5,29,0.6,164,3.3
市部／小平市,7734,6602,85.4,699,9,378,4.9,372,4.8,62,0.8
市部／日野市,8543,6730,78.8,748,8.8,461,5.4,866,10.1,200,2.3
市部／東村山市,5949,5064,85.1,391,6.6,185,3.1,330,5.5,164,2.8
市部／国分寺市,5376,4579,85.2,539,10,239,4.4,158,2.9,99,1.8
市部／国立市,3402,2757,81,335,9.8,179,5.3,172,5.1,138,4.1
市部／福生市,2499,2048,82,250,10,83,3.3,147,5.9,55,2.2
市部／狛江市,3151,2852,90.5,201,6.4,98,3.1,44,1.4,55,1.8
市部／東大和市,3511,2894,82.4,311,8.9,108,3.1,223,6.4,83,2.4
市部／清瀬市,2759,2422,87.8,140,5.1,43,1.5,59,2.1,138,5
市部／東久留米市,4783,3871,80.9,480,10,129,2.7,187,3.9,245,5.1
市部／武蔵村山市,3341,2334,69.9,372,11.1,84,2.5,538,16.1,97,2.9
市部／多摩市,7435,5210,70.1,1500,20.2,853,11.5,312,4.2,414,5.6
市部／稲城市,3797,3118,82.1,339,8.9,124,3.3,264,6.9,77,2
市部／羽村市,3222,2010,62.4,323,10,172,5.3,836,25.9,54,1.7
市部／あきる野市,3898,3127,80.2,274,7,94,2.4,226,5.8,271,7
市部／西東京市,7934,6898,86.9,652,8.2,267,3.4,186,2.3,198,2.5
市部／市部計,187712,147947,78.8,20884,11.1,10165,5.4,13039,6.9,5842,3.1
西多摩郡／瑞穂町,2431,1171,48.2,294,12.1,,,847,34.8,118,4.9
西多摩郡／日の出町,1092,702,64.2,153,14,,,150,13.7,88,8.1
