区市町村名,宅地計／個人(千m2),宅地計／法人(千m2),宅地計／合計(千m2),住宅地区／個人(千m2),住宅地区／法人(千m2),住宅地区／合計(千m2),商業地区／個人(千m2),商業地区／法人(千m2),商業地区／合計(千m2),工業地区／個人(千m2),工業地区／法人(千m2),工業地区／合計(千m2),その他の宅地／個人(千m2),その他の宅地／法人(千m2),その他の宅地／合計(千m2)
千代田区,1089,2563,3652,231,250,480,858,2314,3172,0,0,0,0,0,0
中央区,1551,2392,3942,781,592,1373,770,1707,2477,0,92,92,0,0,0
港区,3929,5414,9343,3108,2961,6069,807,2258,3065,15,194,209,0,0,0
新宿区,6322,3540,9862,5946,2713,8659,371,826,1196,5,2,7,0,0,0
文京区,4186,1693,5879,3830,1285,5115,319,397,716,37,11,48,0,0,0
台東区,2841,1693,4534,1480,554,2034,1361,1139,2500,0,0,0,0,0,0
墨田区,4686,2155,6840,4108,1500,5608,211,264,475,367,391,758,0,0,0
江東区,6431,8515,14946,6171,4247,10418,125,658,784,134,3610,3744,0,0,0
品川区,7459,4043,11502,7102,2251,9353,289,495,785,67,1297,1364,0,0,0
目黒区,7089,2024,9113,6942,1854,8796,147,170,317,0,0,0,0,0,0
大田区,18052,6964,25015,17855,4559,22413,139,177,316,57,2228,2285,0,0,0
世田谷区,29030,6056,35086,28890,5968,34857,140,89,229,0,0,0,0,0,0
渋谷区,5205,2918,8122,4858,1999,6857,347,919,1266,0,0,0,0,0,0
中野区,8375,1693,10068,8285,1607,9892,90,86,176,0,0,0,0,0,0
杉並区,18805,2842,21647,18690,2781,21472,115,60,175,0,0,0,0,0,0
豊島区,5933,1854,7787,5515,1353,6868,418,501,919,0,0,0,0,0,0
北区,6815,2731,9545,6568,2253,8821,112,90,202,135,388,523,0,0,0
荒川区,4054,1313,5367,3570,926,4496,97,64,161,387,323,710,0,0,0
板橋区,13652,4435,18087,13430,3185,16615,60,92,152,161,1158,1319,0,0,0
練馬区,25376,3285,28660,25329,3261,28589,47,24,71,0,0,0,0,0,0
足立区,21845,5507,27352,21171,4356,25528,192,159,351,481,992,1474,0,0,0
葛飾区,13722,2862,16584,13261,2394,15655,215,167,383,246,301,546,0,0,0
江戸川区,18525,4778,23302,18252,3634,21886,208,127,335,65,1017,1082,0,0,0
区部計,234969,81267,316236,225373,56481,281854,7439,12782,20221,2157,12004,14161,0,0,0
八王子市,31107,7584,38691,28135,4070,32204,218,379,596,23,1456,1479,2732,1680,4412
立川市,7888,3016,10905,7666,1425,9091,210,495,705,1,1096,1097,12,0,12
武蔵野市,5115,1218,6333,4789,787,5576,319,260,579,7,171,177,0,0,0
三鷹市,7360,1267,8627,7110,903,8013,209,102,311,33,262,295,8,0,8
青梅市,10514,1928,12441,9332,959,10291,44,138,182,213,688,901,924,142,1066
府中市,9889,3173,13061,9283,1398,10681,220,79,299,386,1695,2081,0,0,0
昭島市,5228,2460,7688,5093,845,5938,49,487,536,86,1128,1214,0,0,0
調布市,8529,1794,10324,8233,1536,9769,231,91,322,65,168,233,0,0,0
町田市,24394,4235,28629,23373,3304,26677,336,340,676,191,387,578,493,205,698
小金井市,5134,667,5801,4999,608,5607,135,52,187,0,6,6,0,0,0
小平市,8627,1786,10414,8398,1066,9464,152,100,252,77,620,697,0,0,0
日野市,8913,2486,11399,8527,965,9492,50,57,107,334,1464,1798,2,0,2
東村山市,6872,945,7817,6486,681,7167,131,58,190,255,206,461,0,0,0
国分寺市,5351,1150,6501,5301,835,6136,50,75,125,0,240,240,0,0,0
国立市,3387,761,4147,3158,563,3721,132,43,175,95,155,249,2,0,2
福生市,3101,541,3642,2919,422,3340,138,48,187,44,71,115,0,0,0
狛江市,3108,362,3470,2999,296,3295,110,66,175,0,0,0,0,0,0
東大和市,4484,747,5231,4402,467,4869,55,94,149,27,186,213,0,0,0
清瀬市,3129,602,3731,3034,486,3520,72,52,124,21,64,85,1,0,1
東久留米市,5654,1136,6790,5430,771,6201,138,183,321,38,174,212,48,8,56
武蔵村山市,4607,910,5517,4135,256,4391,162,174,336,309,480,789,0,0,0
多摩市,6018,2209,8227,5811,1240,7051,206,970,1176,0,0,0,0,0,0
稲城市,4044,1038,5082,4014,770,4784,9,170,179,11,93,105,10,5,15
羽村市,3611,1870,5481,3285,299,3583,163,26,189,155,1545,1700,8,0,8
あきる野市,7529,915,8444,6718,346,7064,64,35,99,82,340,422,665,194,859
西東京市,7828,1142,8971,7625,924,8549,192,72,265,11,146,157,0,0,0
市部計,201419,45942,247361,190253,26221,216474,3796,4646,8442,2464,12843,15307,4905,2233,7138
瑞穂町,3740,1429,5169,2395,107,2502,149,212,360,695,1046,1741,501,65,566
日の出町,2003,487,2490,1255,107,1362,96,14,110,46,143,189,605,223,828
檜原村,401,18,420,0,0,0,0,0,0,0,0,0,401,18,420
奥多磨町,757,79,836,95,31,126,0,0,0,0,0,0,662,48,710
西多摩郡計,6901,2013,8914,3745,245,3990,245,225,471,741,1189,1930,2170,353,2523
多摩地域計,208320,47955,256276,193998,26466,220464,4042,4871,8913,3205,14032,17237,7075,2586,9661
区部・多摩計,443290,129222,572512,419371,82947,502318,11481,17653,29134,5362,26036,31398,7075,2586,9661
