区名,平成23年／件数(件),平成23年／面積(m2),平成24年／件数(件),平成24年／面積(m2),平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2)
千代田区,613,134453,851,91199,830,92200,876,101531,851,99767,914,116595,1037,94465,934,106329,838,83097,735,62972
中央区,836,98530,949,103337,1227,128347,1181,113000,1642,141174,1420,118764,1389,108830,1453,99947,1360,119437,1318,113349
港区,1588,425556,1735,210634,2049,336115,2239,309300,2295,314819,2209,392246,1987,287354,2011,286815,1844,201124,1817,336745
新宿区,2649,485788,2841,224362,2884,262687,3244,317764,2808,269072,3152,292253,3080,306822,3205,293090,3207,261031,2755,243818
文京区,1440,261553,1769,131408,2173,151136,1935,143775,2033,146802,1910,144977,2105,160658,1898,135074,1905,132682,1874,124577
台東区,1370,188663,1497,103839,1639,121848,1600,115337,1753,131813,1801,135541,1959,143720,2181,161808,2050,152935,1817,136125
墨田区,1792,145696,2009,157349,2271,180450,2398,188667,2535,199977,2255,164081,2574,189290,2249,174981,2598,184762,2503,200092
江東区,1817,586248,2169,311833,2306,409672,2178,289911,2486,358751,2330,434698,2480,310089,2847,313339,2762,377929,2394,364266
品川区,2585,410937,3074,241621,3151,292827,3302,310604,2952,236045,3176,252143,3473,285301,3420,266240,3577,280334,3346,249635
目黒区,2245,264471,2729,211456,2839,242215,2440,268188,2740,236555,2717,237763,2656,232083,2675,234593,2876,267302,2570,212589
大田区,5121,615323,5466,491343,6050,566815,6165,593096,6844,716974,6881,656023,7291,635779,6636,599049,7042,597498,6255,537255
世田谷区,7899,1032811,8670,812316,10500,937549,9847,973788,10079,916462,9779,872246,9856,921170,9534,867422,9936,913454,9116,839203
渋谷区,1831,260682,2386,220230,2915,246931,2679,247549,2440,259397,2543,259136,2929,294620,2407,224167,2637,245826,1957,177540
中野区,2921,308131,3138,236277,3299,262718,3365,272843,3842,337292,3274,237079,3625,302833,3209,262264,3697,283141,3525,249827
杉並区,5435,652325,6248,551843,7238,673463,6365,557558,7392,680861,6613,553605,6513,554060,6449,536026,6779,592715,6531,512501
豊島区,2076,238157,2515,188838,2796,207100,2779,191369,2784,205791,2993,213789,3108,227369,2876,192430,3166,210216,2681,194475
北区,2183,217036,2462,227444,2512,206281,2617,319664,3195,249882,3179,228256,2900,249606,3210,297451,3272,277619,3032,204115
荒川区,1547,125361,1862,118847,2103,128528,1737,135891,1855,130577,2017,152709,2022,141783,2250,153572,2327,141371,2225,136061
板橋区,3848,425669,4431,401777,4577,430947,4578,402267,4799,415561,4604,406028,4439,403592,4519,413728,4839,413925,4435,362292
練馬区,7053,817218,7386,671793,8645,734746,8359,733983,8686,729383,8998,813923,8335,728923,8370,763387,8500,704255,8156,687787
足立区,7117,689400,8408,656554,9263,727986,8922,716422,8585,756061,7609,668910,8900,697243,8009,734913,8437,660021,8057,609784
葛飾区,4517,424160,4809,390641,5658,410017,4969,356968,5532,390008,4999,397938,5837,412123,5632,415745,5739,401208,5039,367437
江戸川区,4873,524883,5949,467968,6959,521646,6182,500351,6477,537036,6045,506943,6605,579614,6531,739739,6318,489459,6383,472618
区部計,73356,9333053,83353,7222910,93884,8272224,89957,8159826,94605,8460060,91418,8255646,95100,8267327,92505,8272109,95706,7991341,88521,7395063
