区名,買主／個人／件数（件）,買主／個人／面積（m2）,買主／法人／件数（件）,買主／法人／面積（m2）,買主／国等／件数（件）,買主／国等／面積（m2）,買主／合計／件数（件）,買主／合計／面積（m2）
千代田区,166,8505,683,65356,8,643,857,74504
中央区,276,9865,928,75419,1,98,1205,85382
港区,420,26335,1277,210558,116,17663,1813,254556
新宿区,1009,47595,1664,189952,73,5236,2746,242783
文京区,837,37381,1009,104998,25,2638,1871,145017
台東区,554,24369,1238,108866,5,383,1797,133618
墨田区,992,41625,1194,124085,111,4062,2297,169772
江東区,977,46853,1282,175330,4,544,2263,222727
品川区,1631,59748,1387,172695,162,12329,3180,244772
目黒区,1339,68582,976,137281,40,3790,2355,209653
大田区,3488,198563,2623,350790,41,4444,6152,553797
世田谷区,4872,286810,3461,481824,381,53384,8714,822018
渋谷区,950,50123,1513,189237,21,2689,2484,242049
中野区,1625,84313,1445,171052,121,10604,3191,265969
杉並区,3400,186007,2336,298941,19,7507,5755,492455
豊島区,1417,62446,1288,139080,190,12470,2895,213996
北区,1414,61679,1080,139915,154,24274,2648,225868
荒川区,886,38571,819,80434,159,11288,1864,130293
板橋区,2203,112275,1814,241751,58,8805,4075,362831
練馬区,4169,235045,2892,370907,223,26483,7284,632435
足立区,4038,230337,3954,394000,121,14049,8113,638386
葛飾区,2573,139479,2644,227954,234,22560,5451,389993
江戸川区,2961,164233,2816,323275,250,16577,6027,504085
合計,42197,2220739,40323,4773700,2517,262520,85037,7256959
