区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),50,13,5,1,2,0,0,0,0,0,0,71
千代田区／面積(m2),1208,918,592,159,482,0,0,0,0,0,0,3359
中央区／件数(件),127,33,9,5,3,1,0,0,0,0,0,178
中央区／面積(m2),2562,2254,1056,870,660,351,0,0,0,0,0,7753
港区／件数(件),250,67,18,12,7,10,0,0,0,0,0,364
港区／面積(m2),3643,4372,2154,2111,1640,3868,0,0,0,0,0,17788
新宿区／件数(件),720,203,53,24,15,4,0,0,0,0,0,1019
新宿区／面積(m2),11747,14009,6414,4114,3490,1360,0,0,0,0,0,41134
文京区／件数(件),602,185,46,16,10,3,0,0,0,0,0,862
文京区／面積(m2),10234,12733,5585,2654,2351,967,0,0,0,0,0,34524
台東区／件数(件),290,108,32,10,5,0,0,0,0,0,0,445
台東区／面積(m2),6573,7307,3700,1724,1224,0,0,0,0,0,0,20528
墨田区／件数(件),660,254,45,15,9,4,0,1,0,0,0,988
墨田区／面積(m2),12765,16717,5324,2564,2070,1559,0,1233,0,0,0,42232
江東区／件数(件),723,212,27,7,3,5,1,0,0,0,0,978
江東区／面積(m2),13256,14254,3181,1211,663,1837,757,0,0,0,0,35159
品川区／件数(件),1213,313,66,17,19,5,2,0,0,0,0,1635
品川区／面積(m2),19463,20529,7739,2879,4530,1693,1143,0,0,0,0,57976
目黒区／件数(件),741,300,107,29,30,15,0,0,0,0,0,1222
目黒区／面積(m2),11557,21215,12806,5037,7157,5543,0,0,0,0,0,63315
大田区／件数(件),2099,838,181,70,54,23,5,0,0,0,0,3270
大田区／面積(m2),41052,56548,21309,11820,12790,8552,3213,0,0,0,0,155284
世田谷区／件数(件),2528,1352,548,134,105,35,5,1,0,0,0,4708
世田谷区／面積(m2),45300,98350,64087,22889,24809,12697,3297,1103,0,0,0,272532
渋谷区／件数(件),482,122,50,31,13,5,2,0,0,0,0,705
渋谷区／面積(m2),7968,8529,6016,5251,2968,1840,1123,0,0,0,0,33695
中野区／件数(件),1101,461,111,25,14,4,2,0,0,0,0,1718
中野区／面積(m2),18482,32490,13297,4326,3350,1470,1634,0,0,0,0,75049
杉並区／件数(件),2019,979,382,87,47,14,6,0,0,0,0,3534
杉並区／面積(m2),37446,70556,44318,14806,11150,5210,3819,0,0,0,0,187305
豊島区／件数(件),824,270,48,24,13,5,0,0,0,0,0,1184
豊島区／面積(m2),14100,18195,5656,4102,3036,1743,0,0,0,0,0,46832
北区／件数(件),1016,356,69,15,11,2,0,0,0,0,0,1469
北区／面積(m2),18921,24038,8170,2595,2757,636,0,0,0,0,0,57117
荒川区／件数(件),720,215,40,10,11,0,0,0,0,0,0,996
荒川区／面積(m2),13412,14098,4634,1770,2504,0,0,0,0,0,0,36418
板橋区／件数(件),1377,626,166,39,33,17,5,0,0,0,0,2263
板橋区／面積(m2),24693,45098,19443,6679,7906,5961,3027,0,0,0,0,112807
練馬区／件数(件),2275,1307,656,82,34,15,8,2,0,0,0,4379
練馬区／面積(m2),38668,92933,74263,13572,8340,5200,5480,2708,0,0,0,241164
足立区／件数(件),2185,1370,380,59,35,22,4,1,1,0,0,4057
足立区／面積(m2),35924,101115,43448,10147,8389,7903,2573,1066,4145,0,0,214710
葛飾区／件数(件),1415,850,163,36,23,7,3,0,0,0,0,2497
葛飾区／面積(m2),26949,60266,18725,6224,5459,2684,2000,0,0,0,0,122307
江戸川区／件数(件),1769,942,206,39,17,11,3,0,0,0,0,2987
江戸川区／面積(m2),32757,67909,23982,6653,4171,3985,1837,0,0,0,0,141294
合計／件数(件),25186,11376,3408,787,513,207,46,5,1,0,0,41529
合計／面積(m2),448680,804433,395899,134157,121896,75059,29903,6110,4145,0,0,2020282
