区市町村名,昭和58年（％）,昭和63年（％）,平成4年（％）,平成9年（％）,平成14年（％）,平成17年（％）,平成18年（％）,平成19年（％）,平成20年（％）,平成21年（％）,平成22年（％）,平成23年（％）,平成24年（％）,平成25年（％）,平成26年（％）,平成27年（％）,平成28年（％）,平成29年（％）,平成30年（％）
区部／千代田区,399.9,422.7,510.5,550.9,563.9,584.2,589.9,598.7,598.8,598.7,604.5,608.5,613.1,606.2,612.2,636.9,645.3,644.9,650.3
区部／中央区,341.2,363.6,403.9,464.8,480.2,513.4,517.6,523.3,525.1,536.3,537.3,537.6,543.8,548.3,545.3,548.6,546.2,561.3,574.7
区部／港区,188.2,212.5,244.4,284.8,302.3,346.7,350.4,360.0,372.8,381.9,386.4,387.1,389.7,392.7,395.8,398.0,403.0,401.8,404.2
区部／新宿区,155.1,172.7,189.7,220.2,230.8,237.3,236.5,236.9,239.4,242.2,244.6,246.0,247.5,251.8,253.9,259.1,260.5,262.3,260.9
区部／文京区,121.6,134.5,150.5,169.3,187.3,194.5,194.8,197.2,198.8,200.5,202.0,204.3,207.1,208.4,210.4,211.7,213.1,213.7,214.5
区部／台東区,187.4,202.2,227.8,254.6,273.6,281.1,277.3,279.2,281.1,282.4,284.8,287.2,288.8,291.2,293.7,294.3,296.8,300.2,301.5
区部／墨田区,115.9,124.8,137.9,156.0,169.7,174.5,174.2,180.2,182.3,183.6,186.2,187.5,188.4,188.8,192.9,195.5,197.2,199.4,201.0
区部／江東区,87.3,98.1,112.1,133.2,151.0,159.9,164.4,172.4,178.0,181.3,186.9,189.8,192.6,193.8,195.5,196.1,198.5,202.9,205.2
区部／品川区,97.5,107.4,120.6,141.7,154.5,165.1,165.6,166.9,180.6,183.4,185.9,187.3,190.0,193.5,193.5,198.3,201.6,198.1,198.3
区部／目黒区,87.3,94.9,102.5,119.7,130.9,135.0,134.3,135.5,136.7,137.6,139.3,140.7,141.7,143.1,144.6,145.0,145.3,146.0,147.4
区部／大田区,80.5,89.5,99.4,113.7,122.4,128.0,129.1,130.7,132.2,133.4,134.8,135.6,137.2,138.4,138.6,140.4,140.5,141.4,143.3
区部／世田谷区,60.0,67.7,73.2,83.9,92.1,96.4,96.4,97.8,99.3,100.4,101.5,102.8,105.1,105.0,105.4,106.4,107.3,108.6,109.4
区部／渋谷区,133.3,149.2,162.9,191.0,217.3,226.9,225.8,227.0,229.7,232.2,236.0,236.6,239.2,241.7,243.9,245.7,246.7,247.7,249.9
区部／中野区,84.0,89.3,92.9,108.1,118.5,121.8,121.0,121.9,122.8,123.4,124.4,125.6,126.5,127.4,130.2,131.2,132.5,133.1,134.1
区部／杉並区,65.2,70.5,76.1,87.6,93.8,96.5,96.5,97.4,98.5,99.2,100.3,100.9,101.6,102.0,102.6,103.5,104.2,104.8,105.5
区部／豊島区,119.5,126.3,145.8,166.4,178.4,182.7,187.5,190.4,195.2,196.1,198.2,194.3,196.3,198.2,199.7,201.5,203.8,204.6,205.2
区部／北区,95.1,99.7,110.9,123.3,131.1,134.8,134.1,135.3,137.2,138.5,139.4,139.1,140.2,142.0,142.8,143.8,144.6,146.4,147.6
区部／荒川区,101.9,106.6,118.5,131.0,142.5,148.1,148.2,150.3,152.1,155.7,158.0,160.0,162.0,162.9,164.0,165.1,166.8,168.4,169.5
区部／板橋区,77.0,84.9,93.2,104.1,111.7,115.4,115.6,117.0,118.2,119.5,120.7,120.6,121.8,122.8,123.7,124.8,126.3,127.4,128.0
区部／練馬区,51.8,59.2,67.2,77.0,83.8,87.2,87.2,88.2,89.1,89.7,90.6,91.3,92.1,92.8,93.4,94.1,95.0,95.6,96.3
区部／足立区,60.9,65.7,72.9,80.0,84.2,87.2,87.2,88.1,89.8,91.7,92.8,93.4,94.1,95.3,95.8,96.1,97.3,98.4,99.9
区部／葛飾区,64.8,70.1,78.7,87.0,92.7,95.0,95.1,96.9,97.9,99.1,99.7,100.9,101.5,102.2,103.1,104.1,105.1,106.3,107.0
区部／江戸川区,57.8,62.9,74.5,88.6,97.8,101.9,102.5,103.5,104.5,105.3,106.4,107.2,107.6,108.2,109.0,110.0,110.8,111.9,112.7
区部／区部計,90.6,99.3,110.8,126.1,136.1,142.5,143.1,145.1,147.7,149.5,151.1,152.0,153.5,154.6,155.7,157.2,158.5,159.7,161.0
市部／八王子市,44.3,49.5,55.6,61.1,65.1,67.5,67.7,68.1,68.4,68.6,69.4,69.8,70.2,70.5,70.6,71.2,71.3,71.7,71.9
