区分,1m2当たり平均単価(万円),75m2当たり価格(万円),年収倍率
区部,128.2,9615,11
多摩部,74.1,5558,6.3
東京都,118,8850,10.1
神奈川県,78,5850,6.7
埼玉県,70.7,5303,6
千葉県,61.1,4583,5.2
