順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,港－４,東京都,港区赤坂１丁目１４２４番１,"4,720,000 ",8.8 
2,千代田－３,東京都,千代田区六番町６番１外,"4,050,000 ",3.1 
3,港－２９,東京都,港区白金台３丁目５５番４外,"3,810,000 ",7.0 
4,港－１６,東京都,港区南麻布４丁目１２番１,"3,500,000 ",8.4 
5,港－２８,東京都,港区南麻布１丁目３５番１外,"3,170,000 ",6.0 
6,千代田－１,東京都,千代田区三番町６番２５,"3,160,000 ",3.6 
7,千代田－７,東京都,千代田区一番町１６番３,"3,030,000 ",2.4 
8,千代田－５,東京都,千代田区九段北２丁目６番２６,"2,960,000 ",3.1 
9,港－１,東京都,港区赤坂６丁目１９１１番,"2,740,000 ",6.6 
10,渋谷－１１,東京都,渋谷区恵比寿西２丁目２０番１,"2,710,000 ",13.9 
