摘要,全地目／所有者数（人）,全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数（人）,宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,87696,93,30765 ,34.2,87841,93.3,30871 ,39.3
区部／2000m2以上,6620,7,59297 ,65.8,6284,6.7,47594 ,60.7
区部／計,94316,100,90062 ,100,94125,100,78464 ,100
市部／2000m2未満,25889,87.5,11887 ,11.7,22218,89.1,9758 ,21.7
市部／2000m2以上,3683,12.5,89431 ,88.3,2715,10.9,35189 ,78.3
市部／計,29572,100,101318 ,100,24933,100,44947 ,100
区市計／2000m2未満,113585,91.7,42652 ,22.3,110059,92.4,40629 ,32.9
区市計／2000m2以上,10303,8.3,148728 ,77.7,8999,7.6,82783 ,67.1
区市計／計,123888,100,191380 ,100,119058,100,123412 ,100
