区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
千代田区／50m2未満,1225,24 ,45 ,7 ,262,8 ,9 ,0 ,1487,17 ,54 ,2 
千代田区／100m2未満,1968,39 ,142 ,24 ,642,19 ,48 ,2 ,2610,31 ,191 ,6 
千代田区／150m2未満,822,16 ,100 ,16 ,497,14 ,61 ,2 ,1319,15 ,161 ,5 
千代田区／200m2未満,401,8 ,69 ,11 ,357,10 ,62 ,2 ,758,9 ,131 ,4 
千代田区／300m2未満,318,6 ,77 ,13 ,439,13 ,107 ,4 ,757,9 ,185 ,6 
千代田区／500m2未満,222,4 ,83 ,14 ,454,13 ,176 ,7 ,676,8 ,260 ,8 
千代田区／1000m2未満,95,2 ,64 ,11 ,377,11 ,265 ,10 ,472,6 ,329 ,10 
千代田区／2000m2未満,14,0 ,18 ,3 ,194,6 ,281 ,11 ,208,2 ,298 ,9 
千代田区／5000m2未満,2,0 ,7 ,1 ,150,4 ,451 ,18 ,152,2 ,458 ,14 
千代田区／10000m2未満,0,0 ,0 ,0 ,48,1 ,320 ,13 ,48,1 ,320 ,10 
千代田区／10000m2以上,0,0 ,0 ,0 ,42,1 ,773 ,30 ,42,0 ,773 ,24 
千代田区／計,5067,100 ,606 ,100 ,3462,100 ,2553 ,100 ,8529,100 ,3159 ,100 
中央区／50m2未満,3298,41 ,116 ,16 ,386,9 ,13 ,1 ,3684,29 ,129 ,4 
中央区／100m2未満,2937,36 ,208 ,29 ,897,20 ,67 ,3 ,3834,30 ,275 ,9 
中央区／150m2未満,932,11 ,113 ,15 ,637,14 ,78 ,3 ,1569,12 ,191 ,6 
中央区／200m2未満,379,5 ,65 ,9 ,442,10 ,76 ,3 ,821,7 ,142 ,4 
中央区／300m2未満,332,4 ,80 ,11 ,557,12 ,136 ,6 ,889,7 ,216 ,7 
中央区／500m2未満,157,2 ,59 ,8 ,576,13 ,221 ,9 ,733,6 ,280 ,9 
中央区／1000m2未満,61,1 ,39 ,5 ,494,11 ,349 ,14 ,555,4 ,388 ,12 
中央区／2000m2未満,13,0 ,17 ,2 ,277,6 ,379 ,15 ,290,2 ,396 ,12 
中央区／5000m2未満,4,0 ,12 ,2 ,131,3 ,389 ,16 ,135,1 ,401 ,13 
中央区／10000m2未満,1,0 ,8 ,1 ,39,1 ,265 ,11 ,40,0 ,273 ,9 
中央区／10000m2以上,1,0 ,11 ,2 ,22,0 ,474 ,19 ,23,0 ,485 ,15 
中央区／計,8115,100 ,728 ,100 ,4458,100 ,2448 ,100 ,12573,100 ,3176 ,100 
港区／50m2未満,2063,16 ,75 ,4 ,319,6 ,10 ,0 ,2382,13 ,85 ,1 
港区／100m2未満,4665,35 ,340 ,18 ,741,14 ,56 ,1 ,5406,29 ,396 ,5 
港区／150m2未満,2574,19 ,314 ,16 ,655,13 ,81 ,2 ,3229,18 ,395 ,5 
港区／200m2未満,1454,11 ,250 ,13 ,526,10 ,92 ,2 ,1980,11 ,342 ,5 
港区／300m2未満,1284,10 ,310 ,16 ,630,12 ,156 ,3 ,1914,10 ,466 ,6 
港区／500m2未満,823,6 ,312 ,16 ,754,14 ,291 ,5 ,1577,9 ,603 ,8 
港区／1000m2未満,291,2 ,193 ,10 ,673,13 ,471 ,9 ,964,5 ,664 ,9 
港区／2000m2未満,66,0 ,86 ,4 ,399,8 ,559 ,10 ,465,3 ,645 ,9 
港区／5000m2未満,14,0 ,42 ,2 ,307,6 ,945 ,18 ,321,2 ,987 ,13 
港区／10000m2未満,0,0 ,0 ,0 ,119,2 ,818 ,15 ,119,1 ,818 ,11 
港区／10000m2以上,0,0 ,0 ,0 ,89,2 ,1913 ,35 ,89,0 ,1913 ,26 
港区／計,13234,100 ,1923 ,100 ,5212,100 ,5392 ,100 ,18446,100 ,7314 ,100 
新宿区／50m2未満,4722,14 ,169 ,3 ,420,8 ,12 ,0 ,5142,13 ,181 ,2 
新宿区／100m2未満,11919,36 ,869 ,18 ,842,16 ,64 ,2 ,12761,33 ,933 ,11 
新宿区／150m2未満,6381,19 ,777 ,16 ,772,14 ,95 ,3 ,7153,19 ,872 ,11 
新宿区／200m2未満,3720,11 ,642 ,13 ,541,10 ,94 ,3 ,4261,11 ,736 ,9 
新宿区／300m2未満,3229,10 ,782 ,16 ,745,14 ,181 ,6 ,3974,10 ,963 ,12 
新宿区／500m2未満,2019,6 ,755 ,16 ,824,15 ,319 ,10 ,2843,7 ,1074 ,13 
