区市町村名,平成21年／全体／件数（件）,平成21年／全体／面積（m2）,平成21年／法人関与／件数（件）,平成21年／法人関与／面積（m2）,平成21年／法人関与率／件数（%）,平成21年／法人関与率／面積（%）,平成22年／全体／件数（件）,平成22年／全体／面積（m2）,平成22年／法人関与／件数（件）,平成22年／法人関与／面積（m2）,平成22年／法人関与率／件数（%）,平成22年／法人関与率／面積（%）,平成23年／全体／件数（件）,平成23年／全体／面積（m2）,平成23年／法人関与／件数（件）,平成23年／法人関与／面積（m2）,平成23年／法人関与率／件数（%）,平成23年／法人関与率／面積（%）,平成24年／全体／件数（件）,平成24年／全体／面積（m2）,平成24年／法人関与／件数（件）,平成24年／法人関与／面積（m2）,平成24年／法人関与率／件数（%）,平成24年／法人関与率／面積（%）,平成25年／全体／件数（件）,平成25年／全体／面積（m2）,平成25年／法人関与／件数（件）,平成25年／法人関与／面積（m2）,平成25年／法人関与率／件数（%）,平成25年／法人関与率／面積（%）,平成26年／全体／件数（件）,平成26年／全体／面積（m2）,平成26年／法人関与／件数（件）,平成26年／法人関与／面積（m2）,平成26年／法人関与率／件数（%）,平成26年／法人関与率／面積（%）,平成27年／全体／件数（件）,平成27年／全体／面積（m2）,平成27年／法人関与／件数（件）,平成27年／法人関与／面積（m2）,平成27年／法人関与率／件数（%）,平成27年／法人関与率／面積（%）,平成28年／全体／件数（件）,平成28年／全体／面積（m2）,平成28年／法人関与／件数（件）,平成28年／法人関与／面積（m2）,平成28年／法人関与率／件数（%）,平成28年／法人関与率／面積（%）,平成29年／全体／件数（件）,平成29年／全体／面積（m2）,平成29年／法人関与／件数（件）,平成29年／法人関与／面積（m2）,平成29年／法人関与率／件数（%）,平成29年／法人関与率／面積（%）,平成30年／全体／件数（件）,平成30年／全体／面積（m2）,平成30年／法人関与／件数（件）,平成30年／法人関与／面積（m2）,平成30年／法人関与率／件数（%）,平成30年／法人関与率／面積（%）
千代田区,553,84931,385,64431,69.6,75.9,681,115928,531,101545,78.0,87.6,613,134453,479,120097,78.1,89.3,851,91199,656,76865,77.1,84.3,830,92200,613,80153,73.9,86.9,876,101531,681,87631,77.7,86.3,851,99767,659,88153,77.4,88.4,914,116595,756,79914,82.7,68.5,1037,94465,834,84538,80.4,89.5,934,106329,795,91537,85.1,86.1
中央区,1032,107312,629,72057,60.9,67.1,894,108993,652,95177,72.9,87.3,836,98530,596,72596,71.3,73.7,949,103337,635,89034,66.9,86.2,1227,128347,870,109858,70.9,85.6,1181,113000,893,99635,75.6,88.2,1642,141174,1151,126449,70.1,89.6,1420,118764,1145,106906,80.6,90.0,1389,108830,1030,96196,74.2,88.4,1453,99947,1125,87041,77.4,87.1
港区,1424,568618,788,243893,55.3,42.9,1609,448847,1076,316340,66.9,70.5,1588,425556,1014,321202,63.9,75.5,1735,210634,998,174622,57.5,82.9,2049,336115,1303,274209,63.6,81.6,2239,309300,1567,270332,70.0,87.4,2295,314819,1619,272408,70.5,86.5,2209,392246,1472,339825,66.6,86.6,1987,287354,1361,238605,68.5,83.0,2011,286815,1210,228948,60.2,79.8
新宿区,2166,316301,940,221445,43.4,70.0,2576,764262,1358,663896,52.7,86.9,2649,485788,1257,244130,47.5,50.3,2841,224362,1204,142154,42.4,63.4,2884,262687,1363,176866,47.3,67.3,3244,317764,1501,226186,46.3,71.2,2808,269072,1409,191541,50.2,71.2,3152,292253,1583,191843,50.2,65.6,3080,306822,1715,233889,55.7,76.2,3205,293090,1828,223648,57.0,76.3
文京区,1287,221318,550,163181,42.7,73.7,1423,139528,574,81385,40.3,58.3,1440,261553,613,189106,42.6,72.3,1769,131408,657,73631,37.1,56.0,2173,151136,939,95399,43.2,63.1,1935,143775,855,94894,44.2,66.0,2033,146802,910,95871,44.8,65.3,1910,144977,919,99741,48.1,68.8,2105,160658,1048,109655,49.8,68.3,1898,135074,883,89939,46.5,66.6
台東区,1146,120265,633,81868,55.2,68.1,1333,128003,797,84000,59.8,65.6,1370,188663,623,71637,45.5,38.0,1497,103839,805,70326,53.8,67.7,1639,121848,844,83661,51.5,68.7,1600,115337,921,81873,57.6,71.0,1753,131813,1039,96982,59.3,73.6,1801,135541,1130,101248,62.7,74.7,1959,143720,1285,113714,65.6,79.1,2181,161808,1528,129126,70.1,79.8
墨田区,1200,104881,442,60717,36.8,57.9,1589,167722,692,108723,43.5,64.8,1792,145696,779,82674,43.5,56.7,2009,157349,929,105879,46.2,67.3,2271,180450,988,109837,43.5,60.9,2398,188667,1141,127950,47.6,67.8,2535,199977,1230,117556,48.5,58.8,2255,164081,1107,111370,49.1,67.9,2574,189290,1280,132450,49.7,70.0,2249,174981,1183,124797,52.6,71.3
江東区,1647,275540,687,185397,41.7,67.3,1862,314844,859,238338,46.1,75.7,1817,586248,801,359808,44.1,61.4,2169,311833,936,253199,43.2,81.2,2306,409672,1098,352371,47.6,86.0,2178,289911,991,227672,45.5,78.5,2486,358751,1219,279813,49.0,78.0,2330,434698,1151,370575,49.4,85.2,2480,310089,1322,252706,53.3,81.5,2847,313339,1566,252129,55.0,80.5
品川区,2722,687212,971,145888,35.7,21.2,2566,374958,961,146196,37.5,39.0,2585,410937,919,173594,35.6,42.2,3074,241621,1127,152991,36.7,63.3,3151,292827,1186,195224,37.6,66.7,3302,310604,1203,206954,36.4,66.6,2952,236045,1265,158645,42.9,67.2,3176,252143,1312,169348,41.3,67.2,3473,285301,1445,199512,41.6,69.9,3420,266240,1499,185081,43.8,69.5
目黒区,2191,671430,656,115470,29.9,17.2,2193,312168,735,166318,33.5,53.3,2245,264471,669,105811,29.8,40.0,2729,211456,991,123252,36.3,58.3,2839,242215,908,128787,32.0,53.2,2440,268188,876,176613,35.9,65.9,2740,236555,943,129144,34.4,54.6,2717,237763,1069,149465,39.3,62.9,2656,232083,994,141119,37.4,60.8,2675,234593,1134,154846,42.4,66.0
