区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),7,2,1,0,2,0,2,0,0,0,0,14
千代田区／面積(m2),185,122,100,0,431,0,1175,0,0,0,0,2013
中央区／件数(件),4,0,0,0,0,0,0,0,0,0,0,4
中央区／面積(m2),133,0,0,0,0,0,0,0,0,0,0,133
港区／件数(件),43,7,5,1,1,0,0,2,0,0,0,59
港区／面積(m2),1089,535,612,178,274,0,0,3402,0,0,0,6090
新宿区／件数(件),39,6,3,1,3,0,0,0,0,0,0,52
新宿区／面積(m2),693,333,386,175,664,0,0,0,0,0,0,2251
文京区／件数(件),18,8,2,1,0,0,0,0,0,0,0,29
文京区／面積(m2),259,628,237,189,0,0,0,0,0,0,0,1313
台東区／件数(件),6,3,3,0,0,0,0,0,0,0,0,12
台東区／面積(m2),120,218,347,0,0,0,0,0,0,0,0,685
墨田区／件数(件),65,11,5,2,3,0,2,0,0,0,0,88
墨田区／面積(m2),1195,703,616,323,683,0,1518,0,0,0,0,5038
江東区／件数(件),2,3,1,0,0,0,0,0,0,0,0,6
江東区／面積(m2),54,190,139,0,0,0,0,0,0,0,0,383
品川区／件数(件),54,26,13,5,4,1,2,4,2,1,0,112
品川区／面積(m2),1054,1839,1439,891,1014,410,1337,5291,5705,5019,0,23999
目黒区／件数(件),10,11,3,0,3,0,1,0,0,0,0,28
目黒区／面積(m2),253,716,366,0,861,0,945,0,0,0,0,3141
大田区／件数(件),18,11,5,2,1,1,1,0,2,0,0,41
大田区／面積(m2),498,720,662,345,242,310,835,0,6340,0,0,9952
世田谷区／件数(件),141,49,29,15,15,6,7,2,2,1,0,267
世田谷区／面積(m2),2113,3482,3444,2561,3612,2212,5157,3121,4447,7000,0,37149
渋谷区／件数(件),8,3,1,2,1,1,0,0,0,0,0,16
渋谷区／面積(m2),123,243,112,341,249,331,0,0,0,0,0,1399
中野区／件数(件),83,14,7,0,1,1,0,0,1,0,1,108
中野区／面積(m2),1583,962,814,0,269,321,0,0,2627,0,15585,22161
杉並区／件数(件),35,12,7,4,4,5,2,2,0,0,0,71
杉並区／面積(m2),589,937,910,616,918,1956,1167,3200,0,0,0,10293
豊島区／件数(件),42,26,10,1,3,1,0,0,0,0,0,83
豊島区／面積(m2),812,1873,1189,195,684,373,0,0,0,0,0,5126
北区／件数(件),87,17,4,4,0,2,0,0,0,0,0,114
北区／面積(m2),1311,1088,519,673,0,860,0,0,0,0,0,4451
荒川区／件数(件),89,30,4,4,4,0,2,0,0,0,1,134
荒川区／面積(m2),1228,2018,505,669,930,0,1340,0,0,0,16272,22962
板橋区／件数(件),15,10,0,0,1,0,1,1,0,0,0,28
板橋区／面積(m2),178,744,0,0,292,0,618,1079,0,0,0,2911
練馬区／件数(件),79,35,11,12,4,5,3,4,1,0,0,154
練馬区／面積(m2),1320,2507,1302,2066,931,1829,1754,5823,2000,0,0,19532
足立区／件数(件),64,12,5,3,3,5,5,2,0,0,0,99
足立区／面積(m2),987,799,596,512,698,1957,3071,2288,0,0,0,10908
葛飾区／件数(件),88,8,7,7,5,9,4,1,2,1,0,132
葛飾区／面積(m2),1369,553,834,1167,1113,2990,3567,1133,4805,5008,0,22539
江戸川区／件数(件),99,40,15,6,6,2,1,0,1,0,0,170
江戸川区／面積(m2),1975,3146,1982,1020,1382,782,867,0,2456,0,0,13610
合計／件数(件),1096,344,141,70,64,39,33,18,11,3,2,1821
合計／面積(m2),19121,24356,17111,11921,15247,14331,23351,25337,28380,17027,31857,228039
