区分,住宅・アパート／区部／増加面積（千m2）,住宅・アパート／区部／増加率（％）,住宅・アパート／都心部／増加面積（千m2）,住宅・アパート／都心部／増加率（％）,住宅・アパート／南西部／増加面積（千m2）,住宅・アパート／南西部／増加率（％）,住宅・アパート／北東部／増加面積（千m2）,住宅・アパート／北東部／増加率（％）,住宅・アパート／多摩地域／増加面積（千m2）,住宅・アパート／多摩地域／増加率（％）,住宅・アパート／区部・多摩計／増加面積（千m2）,住宅・アパート／区部・多摩計／増加率（％）,事務所・店舗等／区部／増加面積（千m2）,事務所・店舗等／区部／増加率（％）,事務所・店舗等／都心部／増加面積（千m2）,事務所・店舗等／都心部／増加率（％）,事務所・店舗等／南西部／増加面積（千m2）,事務所・店舗等／南西部／増加率（％）,事務所・店舗等／北東部／増加面積（千m2）,事務所・店舗等／北東部／増加率（％）,事務所・店舗等／多摩地域／増加面積（千m2）,事務所・店舗等／多摩地域／増加率（％）,事務所・店舗等／区部・多摩計／増加面積（千m2）,事務所・店舗等／区部・多摩計／増加率（％）
昭和56年,5109,2.8,1173,2.6,2444,3.2,1491,2.4,2008,3.1,7117,2.9,1280,2.7,909,2.6,195,3.2,176,5.2,330,5.2,1610,3.1
昭和57年,4450,2.3,1458,3.1,649,0.8,2344,3.6,1950,3,6400,2.5,1368,2.8,1144,3.1,125,2,99,5.5,370,5.5,1738,3.2
昭和58年,3864,2,906,1.9,1716,2.1,1242,1.9,2166,3.2,6030,2.3,1361,2.7,1000,2.7,203,3.1,158,8.6,608,8.6,1969,3.5
昭和59年,3495,1.8,631,1.3,1559,1.9,1303,1.9,2153,3.1,5648,2.1,1139,2.2,782,2,207,3.1,150,5.4,417,5.4,1556,2.7
昭和60年,2350,1.2,410,0.8,1145,1.4,798,1.1,2282,3.2,4632,1.7,1217,2.3,867,2.2,216,3.1,131,9.8,788,9.8,2004,3.4
昭和61年,5059,2.5,886,1.8,2378,2.8,1794,2.6,2275,3.1,7334,2.6,2816,5.1,1877,4.7,582,8.2,360,6,531,6,3347,5.4
昭和62年,4014,1.9,840,1.7,1457,1.7,1715,2.4,2301,3,6315,2.2,2783,4.8,2049,4.9,349,4.5,385,6.1,577,6.1,3361,5.2
昭和63年,4367,2,460,0.9,1811,2,2097,2.8,1188,1.5,5555,1.9,2997,4.9,2172,4.9,411,5.1,416,4.8,478,4.8,3474,5.1
平成元年,4879,2.2,609,1.2,2147,2.4,2122,2.8,2634,3.3,7513,2.5,2902,4.5,2178,4.7,297,3.5,423,8,833,8,3736,5.2
平成2年,5313,2.4,897,1.7,2171,2.3,2244,2.9,3909,4.7,9221,3,3478,5.1,2496,5.1,444,5.1,542,7.2,815,7.2,4294,5.7
平成3年,5137,2.2,717,1.3,1928,2,2494,3.1,2561,2.9,7699,2.4,3652,5.1,2334,4.6,809,8.8,509,5.9,718,5.9,4369,5.5
平成4年,4650,2,299,0.6,2468,2.6,1886,2.3,1911,2.1,6562,2,3899,5.2,2255,4.2,954,9.5,687,9.5,1223,9.5,5123,6.1
平成5年,5362,2.2,530,1,2718,2.7,2111,2.5,3173,3.5,8535,2.6,5184,6.9,2911,5.2,1174,10.7,1101,12.8,388,2.8,5572,6.2
平成6年,4523,1.9,681,1.2,2092,2.1,1749,2,2611,2.8,7134,2.1,5065,6.3,2662,4.5,1303,10.7,1098,11.3,921,6.4,5986,6.3
平成7年,4884,2,656,1.2,2496,2.4,1734,2,2722,2.8,7606,2.2,3190,3.7,2101,3.4,712,5.3,376,3.5,512,3.3,3702,3.7
平成8年,5382,2.1,590,1,2598,2.4,2193,2.4,2535,2.5,7918,2.2,3420,3.9,2173,3.4,616,4.4,631,5.7,582,3.7,4002,3.8
平成9年,7002,2.7,1203,2.1,3249,3,2553,2.8,2630,2.6,9632,2.7,2350,2.6,1047,1.6,621,4.2,683,5.8,301,1.8,2650,2.4
平成10年,4551,1.7,1030,1.8,1978,1.8,1540,1.6,2339,2.2,6889,1.9,1328,1.4,995,1.5,198,1.3,138,1.1,214,1.3,1542,1.4
平成11年,4159,1.5,1115,1.9,1531,1.3,1513,1.6,2324,2.2,6483,1.7,1107,1.2,312,0.5,499,3.2,294,2.3,399,2.4,1506,1.3
平成12年,5253,1.9,1379,2.3,1902,1.6,1972,2,2347,2.1,7600,2,1588,1.6,1130,1.7,56,0.4,402,3.1,264,1.5,1853,1.6
平成13年,5097,1.8,1302,2.1,1885,1.6,1910,1.9,2837,2.5,7934,2,524,0.5,195,0.3,130,0.8,199,1.5,-78,-0.4,446,0.4
平成14年,5087,1.8,1345,2.1,1947,1.6,1795,1.8,1975,1.7,7062,1.8,1439,1.5,1231,1.8,191,1.2,18,0.1,380,2.2,1819,1.6
平成15年,5918,2,1705,2.7,2342,1.9,1870,1.8,3127,2.7,9044,2.2,2767,2.8,2217,3.2,366,2.2,183,1.4,372,2.1,3139,2.7
平成16年,6314,2.1,2164,3.3,2251,1.8,1899,1.8,3163,2.6,9477,2.3,1899,1.8,1193,1.6,402,2.4,304,2.2,235,1.3,2135,1.8
平成17年,3329,1.1,1276,1.9,766,0.6,1287,1.2,1913,1.6,5241,1.2,-155,-0.1,-170,-0.2,-93,-0.5,107,0.8,292,1.6,137,0.1
平成18年,5295,1.7,1651,2.4,1746,1.4,1898,1.7,2224,1.8,7519,1.7,1340,1.3,622,0.8,11,0.1,707,5,222,1.2,1562,1.3
平成19年,5414,1.7,1942,2.7,1611,1.3,1861,1.7,2260,1.8,7674,1.8,1508,1.4,906,1.2,305,1.8,298,2,626,3.3,2134,1.7
平成20年,4609,1.5,1483,2,1323,1.2,1803,1.6,1953,1.5,6562,1.5,1045,1,445,0.6,206,1.2,394,2.6,144,0.7,1190,0.9
平成21年,4650,1.1,1178,1.6,1496,1.1,1975,1.7,1693,1.3,6342,1.4,579,0.5,268,0.4,196,1.1,115,0.7,465,2.3,1044,0.8
平成22年,2829,0.9,310,0.2,1529,1,952,0.8,1521,1.1,4349,0.9,292,0.3,72,0.1,19,0.1,202,1.3,180,0.9,472,0.4
平成23年,3935,1.2,1085,1.4,1645,2.2,1205,1,1569,1.2,5504,1.2,1080,1,206,0.3,402,2.3,472,3,20,0.1,1100,0.8
平成24年,3450,1,993,1.3,1090,0.8,1368,1.2,1553,1.1,5001,1.1,1171,1.1,542,0.7,294,1.6,335,2.1,35,0.2,1206,0.9
平成25年,3449,1,999,1.3,1171,0.9,1279,1.1,1747,1.3,5196,1.1,556,0.5,232,0.3,53,0.3,271,1.6,365,1.8,921,0.7
平成26年,3990,1.2,1083,1.4,1357,1,1550,1.3,1842,1.3,5832,1.2,722,0.6,720,0.9,-44,-0.2,46,0.3,-29,-0.1,693,0.5
平成27年,4043,1.2,1015,1.3,1456,1,1572,1.3,1528,1.1,5571,1.2,714,0.6,324,0.4,186,1,203,1.2,95,0.5,809,0.6
