区市町村名,合計／平成30年（千m2）,合計／平成29年（千m2）,合計／増減（千m2）,宅地／平成30年（千m2）,宅地／平成29年（千m2）,宅地／増減（千m2）,農地／平成30年（千m2）,農地／平成29年（千m2）,農地／増減（千m2）,山林／平成30年（千m2）,山林／平成29年（千m2）,山林／増減（千m2）,その他／平成30年（千m2）,その他／平成29年（千m2）,その他／増減（千m2）
区部／千代田区,4070,4012,58,3661,3648,13,0,0,0,0,0,0,410,364,46
区部／中央区,3936,3970,-34,3929,3963,-34,0,0,0,0,0,0,7,7,0
区部／港区,10008,9970,38,9301,9264,38,0,0,0,0,0,0,707,706,1
区部／新宿区,10187,10046,141,9886,9742,144,0,0,0,0,0,0,302,304,-3
区部／文京区,5953,5954,-1,5882,5883,-1,0,0,0,0,0,0,71,70,0
区部／台東区,4803,4804,-1,4535,4537,-1,0,0,0,0,0,0,268,268,0
区部／墨田区,7096,7096,0,6851,6855,-4,0,0,0,0,0,0,245,241,4
区部／江東区,15611,15970,-358,14956,14876,80,0,0,0,0,0,0,655,1094,-438
区部／品川区,13657,13238,419,11537,11528,9,0,0,0,0,0,0,2120,1709,410
区部／目黒区,9273,9276,-3,9108,9111,-2,26,26,0,5,5,0,134,134,0
区部／大田区,25796,25785,11,25036,25027,9,29,34,-5,10,10,0,720,714,6
区部／世田谷区,36837,36873,-35,34820,34823,-4,996,1033,-37,54,57,-3,968,960,8
区部／渋谷区,8478,8470,8,8118,8107,11,0,0,0,0,0,0,360,364,-4
区部／中野区,10366,10367,-1,10074,10065,9,28,40,-13,1,1,0,263,260,3
区部／杉並区,22398,22401,-2,21618,21608,10,373,383,-11,15,16,-2,392,393,0
区部／豊島区,8183,8200,-17,7808,7824,-16,0,0,0,0,0,0,376,376,-1
区部／北区,10476,10480,-5,9570,9574,-4,3,3,0,7,7,0,896,896,-1
区部／荒川区,5892,5896,-5,5398,5403,-5,0,0,0,0,0,0,493,494,0
区部／板橋区,18509,18507,2,18079,18047,32,156,171,-15,24,25,-1,250,264,-15
区部／練馬区,31097,31126,-29,28444,28417,26,2043,2105,-62,34,35,-1,577,569,8
区部／足立区,28508,28715,-207,27313,27487,-174,508,535,-28,0,0,0,687,692,-6
区部／葛飾区,17424,17416,8,16584,16580,4,334,343,-9,0,0,0,506,493,14
区部／江戸川区,24069,24127,-59,23337,23339,-2,463,472,-10,0,0,0,269,316,-47
区部／区部計,332627,332698,-71,315844,315705,139,4958,5146,-188,151,158,-7,11674,11690,-15
市部／八王子市,90438,90405,33,38114,37923,191,8145,8241,-96,31657,31683,-25,12522,12559,-36
市部／立川市,13897,13912,-15,10802,10793,9,2556,2593,-37,26,26,0,513,500,13
市部／武蔵野市,6779,6776,3,6313,6301,12,285,296,-12,0,0,0,181,178,3
市部／三鷹市,10309,10306,3,8645,8614,31,1471,1490,-19,79,79,0,114,123,-9
市部／青梅市,60362,60350,12,12597,12555,42,4493,4621,-128,34227,34250,-23,9046,8925,122
市部／府中市,15131,15136,-5,12951,12927,24,1244,1278,-34,0,0,0,936,931,5
市部／昭島市,9107,9108,-1,7577,7573,4,626,632,-6,185,185,0,719,718,2
市部／調布市,12012,12029,-17,10218,10182,35,1369,1415,-45,25,27,-2,400,405,-5
市部／町田市,41934,41930,5,28272,28124,148,5248,5343,-95,5591,5633,-42,2824,2830,-5
市部／小金井市,6672,6663,9,5731,5711,20,680,688,-8,39,40,0,223,225,-2
市部／小平市,13141,13155,-14,10257,10237,20,1809,1858,-49,14,16,-2,1062,1043,19
市部／日野市,14444,14460,-16,11241,11167,74,1492,1538,-46,547,565,-18,1165,1191,-26
市部／東村山市,9936,9941,-5,7689,7666,24,1511,1549,-38,113,114,-1,622,612,10
市部／国分寺市,8073,8080,-7,6381,6348,33,1404,1438,-34,38,41,-3,251,253,-2
市部／国立市,4782,4787,-5,4136,4125,11,530,544,-14,12,12,0,103,106,-2
市部／福生市,3896,3895,1,3619,3614,5,120,121,-1,14,14,0,142,146,-3
市部／狛江市,3976,3975,1,3419,3410,9,380,384,-4,8,10,-2,169,171,-2
市部／東大和市,6051,6057,-6,5162,5145,17,609,623,-14,188,189,-1,91,100,-9
市部／清瀬市,5899,5907,-8,3618,3576,41,1884,1928,-44,81,82,-1,316,321,-4
市部／東久留米市,8463,8476,-13,6687,6653,33,1545,1588,-43,52,52,0,179,182,-3
市部／武蔵村山市,8893,8934,-41,5418,5416,3,1838,1856,-18,471,471,0,1166,1192,-26
市部／多摩市,10127,10128,-1,8117,8106,11,405,411,-6,303,307,-4,1302,1303,-1
市部／稲城市,9373,9396,-23,4880,4814,66,1333,1358,-25,1148,1159,-11,2011,2065,-53
市部／羽村市,6078,6080,-2,5440,5432,7,395,404,-10,95,95,0,149,148,1
市部／あきる野市,37788,37893,-105,8309,8267,42,5364,5410,-46,18493,18582,-89,5622,5634,-12
市部／西東京市,10434,10447,-13,8838,8804,34,1309,1350,-41,7,7,0,280,285,-5
市部／市部計,427995,428226,-231,244430,243484,946,48043,48957,-915,93414,93641,-227,42109,42145,-36
西多摩郡／瑞穂町,9352,9352,0,4946,4908,38,2909,2949,-40,676,682,-6,821,813,8
西多摩郡／日の出町,16258,16255,3,2462,2434,28,1624,1636,-13,9541,9555,-14,2631,2630,1
西多摩郡／檜原村,45857,45877,-19,443,442,1,1989,1990,-1,39963,39982,-19,3462,3462,0
西多摩郡／奥多摩町,61056,63460,-2404,904,903,1,1469,1474,-5,58143,60548,-2405,540,534,5
西多摩郡計,132524,134944,-2420,8756,8687,69,7991,8050,-59,108324,110768,-2444,7453,7439,14
多摩地域計,560519,563170,-2650,253186,252170,1015,56034,57007,-974,201738,204409,-2671,49562,49584,-22
区部・多摩計,893146,895868,-2722,569029,567875,1154,60991,62153,-1162,201889,204566,-2677,61237,61273,-37
