区市名,所有者数／個人(人),所有者数／法人(人),所有者数／計(人),面積／個人(千ｍ2),面積／法人(千ｍ2),面積／計(千ｍ2),所有者数構成比／個人(%),所有者数構成比／法人(%),面積構成比／個人(%),面積構成比／法人(%)
区部／千代田区,4800,3416,8216,562,2963,3526,58.4,41.6,16,84
区部／中央区,7612,4440,12052,679,2384,3063,63.2,36.8,22.2,77.8
区部／港区,12823,5453,18276,1873,6101,7974,70.2,29.8,23.5,76.5
区部／新宿区,32727,5808,38535,4703,3802,8504,84.9,15.1,55.3,44.7
区部／文京区,25928,2964,28892,3252,1760,5012,89.7,10.3,64.9,35.1
区部／台東区,22239,4782,27021,2356,1936,4292,82.3,17.7,54.9,45.1
区部／墨田区,29730,3611,33341,3835,2358,6193,89.2,10.8,61.9,38.1
区部／江東区,30139,4390,34529,3833,9188,13020,87.3,12.7,29.4,70.6
区部／品川区,41781,3874,45655,5707,6142,11849,91.5,8.5,48.2,51.8
区部／目黒区,36755,3095,39850,6087,2124,8210,92.2,7.8,74.1,25.9
区部／大田区,91473,6942,98415,15622,7643,23265,92.9,7.1,67.1,32.9
区部／世田谷区,133648,6920,140568,26236,6679,32914,95.1,4.9,79.7,20.3
区部／渋谷区,23902,4811,28713,3802,3247,7050,83.2,16.8,53.9,46.1
区部／中野区,47918,3492,51410,7462,1924,9387,93.2,6.8,79.5,20.5
区部／杉並区,95145,4601,99746,17556,3189,20745,95.4,4.6,84.6,15.4
区部／豊島区,35411,3814,39225,5175,2174,7350,90.3,9.7,70.4,29.6
区部／北区,40553,2889,43442,5904,3632,9536,93.3,6.7,61.9,38.1
区部／荒川区,24684,2178,26862,3420,1787,5207,91.9,8.1,65.7,34.3
区部／板橋区,64851,4334,69185,11603,4608,16211,93.7,6.3,71.6,28.4
区部／練馬区,123732,4421,128153,25371,3611,28982,96.6,3.4,87.5,12.5
区部／足立区,104435,5460,109895,20661,6066,26728,95,5,77.3,22.7
区部／葛飾区,73498,3855,77353,12904,3315,16219,95,5,79.6,20.4
区部／江戸川区,97644,4844,102488,17403,4972,22375,95.3,4.7,77.8,22.2
区部／区部計,1201428,100394,1301822,206006,91606,297612,92.3,7.7,69.2,30.8
市部／八王子市,122643,4275,126918,62910,27597,90508,96.6,3.4,69.5,30.5
市部／立川市,31192,1380,32572,10382,3524,13906,95.8,4.2,74.7,25.3
市部／武蔵野市,22151,1084,23235,5395,1385,6780,95.3,4.7,79.6,20.4
市部／三鷹市,32576,1095,33671,8709,1603,10312,96.7,3.3,84.5,15.5
市部／青梅市,36187,1291,37478,41305,19058,60362,96.6,3.4,68.4,31.6
市部／府中市,45111,1536,46647,11084,4048,15133,96.7,3.3,73.2,26.8
市部／昭島市,21274,873,22147,5851,3247,9098,96.1,3.9,64.3,35.7
市部／調布市,38011,1368,39379,9882,2081,11963,96.5,3.5,82.6,17.4
市部／町田市,101626,3067,104693,34286,7580,41865,97.1,2.9,81.9,18.1
市部／小金井市,24412,722,25134,5765,892,6657,97.1,2.9,86.6,13.4
市部／小平市,48864,1743,50607,10455,2663,13119,96.6,3.4,79.7,20.3
市部／日野市,47974,1761,49735,11111,3298,14409,96.5,3.5,77.1,22.9
市部／東村山市,33385,898,34283,8535,1382,9917,97.4,2.6,86.1,13.9
市部／国分寺市,27165,1006,28171,6696,1358,8053,96.4,3.6,83.1,16.9
市部／国立市,13423,637,14060,3936,837,4773,95.5,4.5,82.5,17.5
市部／福生市,10786,421,11207,2577,652,3228,96.2,3.8,79.8,20.2
市部／狛江市,18108,664,18772,3566,419,3985,96.5,3.5,89.5,10.5
市部／東大和市,18370,525,18895,5229,822,6051,97.2,2.8,86.4,13.6
市部／清瀬市,14410,334,14744,5078,821,5900,97.7,2.3,86.1,13.9
市部／東久留米市,37344,1103,38447,7165,1283,8447,97.1,2.9,84.8,15.2
市部／武蔵村山市,19681,605,20286,7212,1642,8854,97,3,81.5,18.5
市部／多摩市,40652,905,41557,6708,3460,10168,97.8,2.2,66,34
市部／稲城市,14385,528,14913,5919,3450,9369,96.5,3.5,63.2,36.8
市部／羽村市,12832,408,13240,4130,1951,6081,96.9,3.1,67.9,32.1
市部／あきる野市,27726,730,28456,30983,6778,37760,97.4,2.6,82.1,17.9
市部／西東京市,56192,3692,59884,9076,1352,10429,93.8,6.2,87,13
市部／市部計,916480,32651,949131,323944,103183,427127,96.6,3.4,75.8,24.2
区部・市部計,2117908,133045,2250953,529950,194789,724739,94.1,5.9,73.1,26.9
