区市名,平成２９年／個人(千m2),平成２９年／法人(千m2),平成２９年／計(千m2),平成２８年／個人(千m2),平成２８年／法人(千m2),平成２８年／計(千m2),平成２９年－平成２８年／個人(千m2),平成２９年－平成２８年／法人(千m2),平成２９年－平成２８年／計(千m2)
区部／千代田区,606,2553,3159,622,2536,3159,-17,17,0
区部／中央区,728,2448,3176,764,2489,3254,-36,-42,-77
区部／港区,1923,5392,7314,1962,5332,7294,-40,60,20
区部／新宿区,4867,3277,8144,4909,3258,8167,-42,19,-23
区部／文京区,3307,1679,4986,3336,1670,5006,-28,9,-19
区部／台東区,2457,1607,4065,2487,1595,4082,-30,12,-17
区部／墨田区,3950,2054,6004,3979,2044,6023,-29,10,-20
区部／江東区,3924,8501,12426,3962,8657,12619,-37,-156,-193
区部／品川区,5856,4019,9875,5914,3807,9721,-58,212,154
区部／目黒区,6167,1917,8084,6199,1901,8100,-32,16,-16
区部／大田区,15825,6784,22609,15906,6752,22658,-80,31,-49
区部／世田谷区,25446,5638,31085,25513,5612,31125,-67,27,-40
区部／渋谷区,3918,2820,6738,3956,2784,6740,-39,36,-2
区部／中野区,7566,1571,9137,7594,1556,9150,-27,15,-12
区部／杉並区,17348,2663,20012,17381,2699,20080,-33,-35,-68
区部／豊島区,5310,1714,7024,5354,1696,7050,-44,19,-26
区部／北区,6013,2731,8744,6045,2732,8777,-31,-1,-33
区部／荒川区,3508,1252,4761,3538,1245,4784,-30,7,-23
区部／板橋区,11622,4226,15848,11679,4188,15867,-56,38,-18
区部／練馬区,23509,2932,26441,23596,2850,26446,-87,82,-5
区部／足立区,20432,5352,25784,20510,5351,25862,-78,0,-77
区部／葛飾区,12711,2716,15426,12738,2683,15422,-28,32,5
区部／江戸川区,17119,4617,21736,17178,4591,21769,-59,27,-32
区部／区部計,204114,78464,282579,205123,78029,283152,-1009,436,-574
市部／八王子市,30733,7190,37923,30600,7160,37760,133,31,163
市部／立川市,7813,2980,10793,7791,2980,10772,22,-1,21
市部／武蔵野市,5119,1182,6301,5118,1173,6291,1,9,10
市部／三鷹市,7238,1376,8614,7196,1395,8591,42,-19,23
市部／青梅市,10420,2135,12555,10395,2148,12543,25,-13,11
市部／府中市,9822,3105,12927,9801,3100,12901,21,5,26
市部／昭島市,5178,2395,7573,5164,2371,7536,14,24,37
市部／調布市,8371,1811,10182,8342,1804,10146,29,7,36
市部／町田市,23967,4156,28124,23877,4141,28018,90,16,106
市部／小金井市,5087,624,5711,5078,622,5699,10,2,12
市部／小平市,8479,1758,10237,8422,1786,10208,57,-29,29
市部／日野市,8735,2432,11167,8626,2462,11089,108,-30,78
市部／東村山市,6757,909,7666,6735,893,7628,22,16,37
市部／国分寺市,6790,1290,8080,5268,1050,6318,1522,240,1762
市部／国立市,3382,743,4125,3386,727,4113,-3,16,12
市部／福生市,3120,495,3614,3116,493,3609,4,2,6
市部／狛江市,3064,346,3410,3006,352,3358,58,-6,52
市部／東大和市,4457,688,5145,4460,668,5128,-3,20,17
市部／清瀬市,3008,569,3576,2982,576,3558,26,-7,18
市部／東久留米市,5524,1129,6653,5503,1110,6613,21,19,40
市部／武蔵村山市,4508,907,5416,4481,852,5334,27,55,82
市部／多摩市,5944,2162,8106,5938,2149,8087,6,13,19
市部／稲城市,3863,951,4814,3825,970,4795,38,-19,19
市部／羽村市,4177,1903,6080,3615,1812,5427,562,91,653
市部／あきる野市,7413,854,8267,7399,812,8211,14,42,56
市部／西東京市,7644,1160,8804,7599,1172,8771,45,-12,34
市部／市部計,200613,45250,245863,197722,44779,242501,2891,471,3361
区部・市部計,404727,123714,528441,402846,122808,525654,1882,906,2788
