順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,倶知安－５－１,北海道,南１条西１丁目４０番１外,29500,40000,35.6
2,大阪中央－５－１９,大阪府,道頓堀１丁目３７番外,4000000,5100000,27.5
3,京都南－５－５,京都府,東九条上殿田町５０番２外,1650000,2100000,27.3
4,東山－５－７,京都府,四条通大和大路東入祇園町北側２７７番,1550000,1950000,25.8
5,名古屋中村－５－１１,愛知県,椿町１５０１番外,3900000,4880000,25.1
6,名古屋中村－５－２２,愛知県,名駅２丁目３６０３番,2000000,2500000,25
6,東山－５－９,京都府,三条通大橋東入三町目３５番７外,552000,690000,25
6,神戸中央－５－２４,兵庫県,磯上通８丁目３２９番,2160000,2700000,25
9,札幌中央－５－２１,北海道,南６条西３丁目６番３１,340000,424000,24.7
10,神戸中央－５－１８,兵庫県,明石町４７番,1910000,2380000,24.6
