区市名,平成5年（千m2）,平成6年（千m2）,平成7年（千m2）,平成8年（千m2）,平成9年（千m2）,平成10年（千m2）,平成11年（千m2）,平成12年（千m2）,平成13年（千m2）,平成14年（千m2）,平成15年（千m2）,平成16年（千m2）,平成17年（千m2）,平成18年（千m2）,平成19年（千m2）,平成20年（千m2）,平成2１年（千m2）,平成22年（千m2）,平成23年（千m2）,平成24年（千m2）,平成25年（千m2）,平成26年（千m2）,平成27年（千m2）,平成28年（千m2）,平成29年（千m2）
目黒区,45,45,45,40,37,37,37,34,33,33,32,32,32,32,31,26,26,26,26,26,26,26,26,26,21
大田区,30,30,30,30,30,30,30,30,30,30,30,30,26,26,26,26,26,26,26,23,23,23,23,23,23
世田谷区,1478,1473,1396,1352,1297,1258,1228,1234,1231,1223,1198,1173,1154,1154,1136,1101,1063,1046,1020,1003,985,969,954,911,911
中野区,55,55,55,44,41,39,35,35,35,30,30,30,27,28,28,27,26,26,24,24,24,23,24,24,24
杉並区,486,486,480,465,458,439,440,436,436,431,422,415,407,407,399,389,389,385,380,371,367,361,353,347,343
北区,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,3,3,3,3,3
板橋区,148,141,141,141,139,136,130,130,124,118,114,107,107,107,110,107,109,112,109,111,110,108,109,108,108
練馬区,2499,2479,2476,2470,2398,2352,2342,2313,2313,2281,2231,2203,2179,2179,2130,2098,2057,2022,2008,1990,1951,1926,1894,1871,1854
足立区,412,409,407,402,395,388,387,419,410,408,402,395,395,395,391,387,385,375,369,366,355,341,334,332,332
葛飾区,320,323,318,318,316,317,317,321,314,314,314,307,305,305,304,304,303,302,302,296,289,288,280,269,261
江戸川区,449,448,455,461,460,454,454,453,451,449,449,449,438,438,424,414,401,400,392,391,385,384,381,369,369
区部計,5928,5893,5807,5731,5577,5457,5406,5412,5383,5322,5228,5147,5075,5075,4983,4883,4788,4723,4660,4604,4516,4451,4379,4282,4249
八王子市,2995,2996,2986,2977,2897,2878,2855,2827,2787,2763,2730,2705,2721,2721,2694,2656,2625,2597,2560,2533,2509,2476,2449,2425,2388
立川市,2494,2483,2485,2477,2455,2435,2417,2402,2386,2402,2381,2323,2314,2314,2311,2289,2272,2264,2226,2190,2160,2118,2102,2067,2032
武蔵野市,335,335,330,330,324,324,322,320,320,319,319,312,308,308,308,304,299,298,293,292,290,277,278,277,266
三鷹市,1905,1901,1884,1875,1854,1830,1818,1792,1761,1731,1692,1654,1637,1637,1608,1591,1573,1548,1532,1522,1513,1467,1435,1411,1382
青梅市,1743,1760,1748,1735,1703,1682,1662,1640,1626,1590,1561,1544,1520,1520,1505,1484,1468,1457,1464,1459,1436,1411,1373,1343,1333
府中市,1318,1301,1295,1291,1281,1271,1253,1245,1221,1207,1184,1188,1153,1153,1140,1137,1123,1092,1075,1056,1053,1031,1017,1009,1001
昭島市,577,584,582,580,567,565,559,559,549,546,541,555,550,550,545,541,539,528,517,515,510,499,491,487,474
調布市,1713,1689,1685,1679,1660,1646,1621,1596,1568,1536,1525,1494,1463,1463,1434,1409,1378,1365,1347,1325,1301,1297,1269,1257,1257
町田市,3238,3234,3221,3209,3151,3106,3038,2979,2909,2925,2915,2858,2781,2781,2729,2679,2633,2597,2558,2518,2457,2414,2369,2321,2259
小金井市,864,852,847,845,829,820,805,799,794,774,775,759,750,750,744,730,714,703,679,668,663,661,660,651,628
小平市,2374,2378,2358,2351,2263,2258,2240,2205,2171,2156,2132,2111,2093,2093,2065,2031,1999,1979,1964,1920,1888,1833,1744,1729,1692
日野市,1331,1329,1328,1327,1311,1306,1292,1283,1271,1390,1390,1373,1363,1363,1341,1330,1321,1276,1246,1231,1224,1202,1187,1166,1166
東村山市,1666,1641,1633,1625,1612,1608,1594,1570,1557,1526,1534,1529,1505,1505,1489,1473,1456,1424,1423,1416,1407,1385,1362,1338,1338
国分寺市,1504,1493,1485,1468,1443,1433,1415,1391,1374,1356,1389,1380,1360,1360,1348,1344,1335,1331,1328,1308,1313,1305,1297,1299,1276
国立市,581,582,582,582,569,544,503,503,499,489,489,520,516,516,513,515,510,511,501,486,483,476,474,467,467
福生市,84,84,84,84,83,83,81,81,78,78,78,77,77,77,77,76,76,75,73,77,77,68,68,65,63
狛江市,483,483,481,474,470,463,457,455,443,435,418,410,404,404,393,387,382,367,358,351,342,336,332,316,312
東大和市,631,632,629,622,593,590,580,565,543,538,551,541,535,535,531,523,514,505,497,487,477,473,466,466,457
清瀬市,2118,2112,2107,2106,2095,2091,2089,2073,2060,2036,2025,2000,1984,1985,1955,1935,1932,1909,1894,1877,1855,1826,1797,1773,1742
東久留米市,1932,1918,1902,1891,1859,1847,1831,1816,1808,1777,1748,1730,1709,1709,1671,1645,1640,1623,1608,1580,1560,1513,1488,1466,1444
武蔵村山市,1120,1118,1117,1114,1108,1090,1082,1076,1074,1056,1056,1079,1080,1080,1067,1058,1045,1037,1032,1020,1019,996,988,972,945
多摩市,291,303,306,306,304,304,303,300,298,291,291,300,307,307,300,297,294,292,290,289,285,283,285,284,281
稲城市,975,975,975,941,1250,1253,1240,1211,1191,1186,1186,1225,1226,1226,1222,1236,1237,1237,1230,1213,1188,1184,1147,1135,1123
羽村市,390,390,389,389,386,385,380,380,370,364,360,357,366,366,367,366,360,352,344,339,339,335,329,326,323
あきる野市,446,446,446,833,839,837,832,827,820,813,804,795,786,787,773,761,752,761,739,731,718,714,711,698,685
西東京市,1690,1677,1671,1652,1641,1597,1574,1559,1540,1527,1497,1466,1453,1453,1437,1412,1388,1371,1346,1325,1296,1269,1249,1222,1182
市部計,34798,34693,34556,34763,34547,34246,33843,33453,33018,32811,32571,32283,31961,31961,31565,31206,30866,30498,30124,29728,29366,28851,28367,27968,27516
区部・市部計,40726,40586,40363,40494,40124,39703,39247,38865,38401,38134,37799,37429,37035,37035,36549,36090,35654,35221,34784,34332,33882,33301,32746,32249,31765
