区分,合計（戸数）,一戸建／総数（戸数）,一戸建／木造（防火木造除く）（戸数）,一戸建／防火木造（戸数）,一戸建／鉄筋鉄骨コンクリート造（戸数）,一戸建／鉄骨造（戸数）,一戸建／その他（戸数）,長屋建／総数（戸数）,長屋建／木造（防火木造除く）（戸数）,長屋建／防火木造（戸数）,長屋建／鉄筋鉄骨コンクリート造（戸数）,長屋建／鉄骨造（戸数）,長屋建／その他（戸数）,共同住宅／総数（戸数）,共同住宅／木造（防火木造除く）（戸数）,共同住宅／防火木造（戸数）,共同住宅／鉄筋鉄骨コンクリート造（戸数）,共同住宅／鉄骨造（戸数）,共同住宅／その他（戸数）,その他（戸数）
東京都／空き家総数,817100,114300,45000,61400,3900,3800,100,14600,4300,7600,1300,1100,200,684600,48500,116200,419000,99600,1300,3700
東京都／空き家総数／二次的住宅,12100,3900,1300,2000,400,100,0,400,100,200,100,0,-,7700,400,500,6000,800,-,100
東京都／空き家総数／賃貸用の住宅,598400,14700,6100,7500,500,600,-,9400,2800,5000,800,700,100,573400,43600,105900,332400,90300,1100,1000
東京都／空き家総数／売却用の住宅,54100,21500,7900,12200,800,600,0,400,100,200,100,0,-,31800,200,900,29800,800,100,400
東京都／空き家総数／その他の住宅,152400,74100,29600,39600,2300,2600,100,4400,1400,2200,300,300,100,71700,4200,8900,50800,7700,100,2300
東京都／腐朽・破損あり,161500,35900,21700,12600,700,800,0,3700,2200,1300,100,100,-,121200,25600,28800,49600,16800,500,800
東京都／腐朽・破損あり／二次的住宅,1700,1000,500,400,-,100,-,0,0,0,-,-,-,700,200,200,200,100,-,-
東京都／腐朽・破損あり／賃貸用の住宅,108800,4100,2800,1100,100,0,-,2300,1400,800,100,100,-,102200,23000,25900,37100,15700,400,200
東京都／腐朽・破損あり／売却用の住宅,8000,5500,3700,1800,0,0,0,0,0,-,-,-,-,2300,200,200,1900,-,100,100
東京都／腐朽・破損あり／その他の住宅,43000,25300,14800,9300,500,700,-,1300,800,500,-,-,-,15900,2100,2500,10300,1000,-,500
東京都／腐朽・破損なし,655600,78400,23200,48800,3300,3000,100,10900,2200,6300,1200,1000,200,563400,22900,87500,369500,82800,800,2900
東京都／腐朽・破損なし／二次的住宅,10400,3000,800,1600,400,100,0,400,100,200,100,0,-,7000,200,300,5800,700,-,100
東京都／腐朽・破損なし／賃貸用の住宅,489600,10600,3300,6400,300,500,-,7000,1400,4200,700,600,100,471100,20600,80000,295300,74500,700,800
東京都／腐朽・破損なし／売却用の住宅,46200,16000,4200,10500,700,500,0,400,0,200,100,0,-,29500,100,700,27900,800,-,300
東京都／腐朽・破損なし／その他の住宅,109500,48900,14800,30300,1700,1900,100,3100,600,1700,300,300,100,55800,2000,6500,40500,6700,100,1700
特別区部／空き家総数,587300,75000,28400,40300,2800,3400,100,8500,2600,4600,600,600,100,500700,36000,78200,314800,71100,600,3100
特別区部／空き家総数／二次的住宅,8000,1800,700,900,100,100,0,200,100,100,-,-,-,6000,300,400,4800,600,-,0
特別区部／空き家総数／賃貸用の住宅,425300,9900,3800,5300,400,500,-,5100,1500,2800,400,400,100,409400,31700,69600,244300,63200,600,800
特別区部／空き家総数／売却用の住宅,40700,15700,5600,8800,700,500,0,300,0,100,100,0,-,24400,200,700,22600,700,100,400
特別区部／空き家総数／その他の住宅,113200,47500,18300,25300,1600,2200,0,2900,1000,1600,200,200,-,60900,3700,7600,43100,6500,-,1900
特別区部／腐朽・破損あり,115200,23200,13600,8600,400,600,0,2100,1000,1100,0,100,-,89200,19200,20500,38000,11200,300,700
特別区部／腐朽・破損あり／二次的住宅,1200,700,300,400,-,100,-,0,0,0,-,-,-,500,200,100,200,0,-,-
特別区部／腐朽・破損あり／賃貸用の住宅,76300,2300,1500,600,100,0,-,1100,500,600,0,100,-,72800,17000,18200,26800,10400,300,100
特別区部／腐朽・破損あり／売却用の住宅,6100,4000,2600,1300,0,0,0,0,0,-,-,-,-,2000,200,200,1500,-,100,100
特別区部／腐朽・破損あり／その他の住宅,31600,16200,9300,6300,200,500,-,900,500,400,-,-,-,14000,1900,2000,9400,700,-,400
特別区部／腐朽・破損なし,472100,51800,14800,31700,2500,2800,100,6400,1600,3500,600,500,100,411500,16800,57700,276800,59900,300,2400
特別区部／腐朽・破損なし／二次的住宅,6800,1100,500,500,100,0,0,100,100,100,-,-,-,5500,200,300,4600,500,-,0
特別区部／腐朽・破損なし／賃貸用の住宅,349000,7700,2300,4600,300,500,-,4000,1000,2100,400,300,100,336600,14700,51400,217500,52800,300,700
特別区部／腐朽・破損なし／売却用の住宅,34700,11700,3000,7500,700,500,0,300,0,100,100,0,-,22400,100,500,21100,700,-,300
特別区部／腐朽・破損なし／その他の住宅,81600,31300,9100,19000,1400,1800,0,2000,500,1100,200,200,-,46900,1800,5600,33700,5800,-,1400
多摩部・島しょ部／空き家総数,229800,39300,16600,21100,1100,400,0,6100,1700,3000,700,500,100,183900,12500,38000,104200,28500,700,600
多摩部・島しょ部／空き家総数／二次的住宅,4100,2100,600,1100,300,0,0,200,0,100,100,-,-,1700,100,100,1200,200,-,100
多摩部・島しょ部／空き家総数／賃貸用の住宅,173100,4800,2300,2200,100,100,-,4300,1300,2200,400,300,0,164000,11900,36300,88100,27100,500,200
多摩部・島しょ部／空き家総数／売却用の住宅,13400,5800,2300,3400,100,100,0,100,100,100,0,0,-,7400,0,200,7200,100,0,0
多摩部・島しょ部／空き家総数／その他の住宅,39200,26600,11300,14300,700,400,100,1500,400,600,100,100,100,10800,500,1300,7700,1200,100,400
多摩部・島しょ部／腐朽・破損あり,46300,12700,8100,4000,300,200,0,1600,1200,200,100,0,-,32000,6400,8300,11600,5600,200,100
多摩部・島しょ部／腐朽・破損あり／二次的住宅,500,300,200,0,-,0,-,0,0,0,-,-,-,200,0,100,0,100,-,-
