区市町村名,行政面積／令和3年／(A)(km2),行政面積／令和2年／(C)(km2),民有地面積／令和3年／(B)(km2),有地面積／令和3年／(B/A)(km2),民有地面積／令和2年／(D)(km2),民有地面積／令和2年／(C/D)(km2),民有地増減(B-D)(%)
区部／千代田区,11.66,11.66,4.06,34.82,4.06,34.85,0
区部／中央区,10.21,10.21,3.95,38.64,3.94,38.6,0
区部／港区,20.37,20.37,10.02,49.18,10.02,49.21,-0.01
区部／新宿区,18.22,18.22,10.17,55.84,10.18,55.88,-0.01
区部／文京区,11.29,11.29,5.94,52.65,5.95,52.67,0
区部／台東区,10.11,10.11,4.8,47.5,4.8,47.5,0
区部／墨田区,13.77,13.77,7.09,51.5,7.1,51.53,0
区部／江東区,43.01,42.99,15.61,36.28,15.28,35.54,0.33
区部／品川区,22.84,22.84,13.63,59.65,12.77,55.9,0.86
区部／目黒区,14.67,14.67,9.28,63.24,9.29,63.29,-0.01
区部／大田区,61.86,61.86,25.78,41.68,25.53,41.26,0.25
区部／世田谷区,58.05,58.05,36.75,63.3,36.79,63.37,-0.04
区部／渋谷区,15.11,15.11,8.48,56.14,8.48,56.13,0
区部／中野区,15.59,15.59,10.36,66.44,10.36,66.47,-0.01
区部／杉並区,34.06,34.06,22.38,65.7,22.4,65.77,-0.02
区部／豊島区,13.01,13.01,8.17,62.8,8.18,62.85,-0.01
区部／北区,20.61,20.61,10.45,50.72,10.46,50.77,-0.01
区部／荒川区,10.16,10.16,5.87,57.75,5.88,57.83,-0.01
区部／板橋区,32.22,32.22,18.48,57.37,18.49,57.37,0
区部／練馬区,48.08,48.08,31.02,64.51,31.05,64.58,-0.03
区部／足立区,53.25,53.25,28.49,53.5,28.5,53.52,-0.02
区部／葛飾区,34.8,34.8,17.39,49.98,17.41,50.03,-0.02
区部／江戸川区,49.9,49.9,24.03,48.16,23.83,47.75,0.21
区部／荒川河口部,1.12,1.12,-,-,-,-,-
区部／中央防波堤埋立地,3.56,3.58,-,-,-,-,-
区部／区部計,627.53,627.53,332.19,52.94,330.73,52.7,1.46
市部／八王子市,186.38,186.38,90.47,48.54,90.51,48.56,-0.04
市部／立川市,24.36,24.36,13.91,57.09,13.91,57.09,0
市部／武蔵野市,10.98,10.98,6.78,61.76,6.78,61.75,0
市部／三鷹市,16.42,16.42,10.3,62.74,10.31,62.8,-0.01
市部／青梅市,103.31,103.31,60.37,58.44,60.36,58.43,0.01
市部／府中市,29.43,29.43,15.14,51.45,15.13,51.42,0.01
市部／昭島市,17.34,17.34,9.17,52.87,9.1,52.47,0.07
市部／調布市,21.58,21.58,11.96,55.41,11.96,55.44,-0.01
市部／町田市,71.55,71.55,41.79,58.41,41.87,58.51,-0.07
市部／小金井市,11.3,11.3,6.66,58.91,6.66,58.91,0
市部／小平市,20.51,20.51,13.07,63.71,13.12,63.96,-0.05
市部／日野市,27.55,27.55,14.39,52.25,14.41,52.3,-0.02
市部／東村山市,17.14,17.14,9.91,57.8,9.92,57.86,-0.01
市部／国分寺市,11.46,11.46,8.06,70.33,8.05,70.27,0.01
市部／国立市,8.15,8.15,4.77,58.52,4.77,58.56,0
市部／福生市,10.16,10.16,3.9,38.41,3.9,38.38,0
市部／狛江市,6.39,6.39,3.87,60.63,3.99,62.37,-0.11
市部／東大和市,13.42,13.42,6.05,45.1,6.05,45.09,0
市部／清瀬市,10.23,10.23,5.89,57.6,5.9,57.67,-0.01
市部／東久留米市,12.88,12.88,8.43,65.46,8.45,65.58,-0.02
市部／武蔵村山市,15.32,15.32,8.85,57.77,8.85,57.79,0
市部／多摩市,21.01,21.01,10.16,48.37,10.17,48.4,0
市部／稲城市,17.97,17.97,9.35,52.03,9.37,52.14,-0.02
市部／羽村市,9.9,9.9,6.07,61.36,6.08,61.42,-0.01
市部／あきる野市,73.47,73.47,37.71,51.33,37.76,51.4,-0.05
市部／西東京市,15.75,15.75,10.43,66.21,10.43,66.21,0
市部／市部計,783.96,783.96,427.47,54.53,427.8,54.57,-0.32
区部･市部計,1411.49,1411.49,759.67,53.82,758.53,53.74,1.13
西多摩郡,375.86,375.86,128.78,34.26,129.77,34.53,-0.99
島しょ,406.71,406.7,135.72,33.37,135.73,33.37,-0.02
東京都総計,2194.06,2194.05,1024.16,46.68,1024.04,46.67,0.12
