区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計,,
千代田区／件数(件）,255,220,104,45,27,21,10,1,0,0,0,683,,
千代田区／面積（m2）,"6,643","15,778","12,663","7,645","6,424","8,169","6,815","1,219",0,0,0,"65,356",,
中央区／件数(件）,438,296,87,42,31,24,6,4,0,0,0,928,,
中央区／面積（m2）,"10,849","20,756","10,577","7,122","7,549","9,176","4,192","5,198",0,0,0,"75,419",,
港区／件数(件）,431,322,169,119,99,77,37,13,8,1,1,"1,277",,
港区／面積（m2）,"9,599","23,697","20,568","20,874","23,937","29,102","25,332","18,069","18,679","5,713","14,988","210,558",,
新宿区／件数(件）,628,398,234,149,149,68,28,9,1,0,0,"1,664",,
新宿区／面積（m2）,"11,875","28,375","28,544","25,584","35,848","25,526","19,697","12,253","2,250",0,0,"189,952",,
文京区／件数(件）,429,259,136,59,60,45,16,4,1,0,0,"1,009",,
文京区／面積（m2）,"8,295","18,597","16,365","10,172","14,145","17,257","10,943","6,106","3,118",0,0,"104,998",,
台東区／件数(件）,429,413,212,94,62,22,6,0,0,0,0,"1,238",,
台東区／面積（m2）,"10,937","29,427","25,804","16,195","14,773","8,301","3,429",0,0,0,0,"108,866",,
墨田区／件数(件）,478,321,169,86,77,39,17,5,2,0,0,"1,194",,
墨田区／面積（m2）,"9,857","23,189","20,139","14,852","18,141","14,665","11,412","5,679","6,151",0,0,"124,085",,
江東区／件数(件）,547,358,132,72,54,65,28,20,4,1,1,"1,282",,
江東区／面積（m2）,"11,696","25,683","16,256","12,279","12,888","23,690","18,382","27,831","10,397","5,090","11,138","175,330",,
品川区／件数(件）,459,417,185,117,97,75,26,8,2,1,0,"1,387",,
品川区／面積（m2）,"9,022","29,695","22,699","20,268","22,890","28,285","17,201","11,528","4,759","6,348",0,"172,695",,
目黒区／件数(件）,325,206,168,82,95,59,33,6,2,0,0,976,,
目黒区／面積（m2）,"4,865","15,168","20,885","14,112","23,109","21,656","23,759","7,662","6,065",0,0,"137,281",,
大田区／件数(件）,935,582,412,218,202,192,66,9,5,2,0,"2,623",,
大田区／面積（m2）,"18,079","42,754","50,588","37,572","48,440","70,890","42,979","13,415","13,786","12,287",0,"350,790",,
世田谷区／件数(件）,"1,204",664,481,383,381,222,98,20,7,1,0,"3,461",,
世田谷区／面積（m2）,"20,795","49,129","59,000","65,776","91,931","82,519","64,163","24,341","17,619","6,551",0,"481,824",,
渋谷区／件数(件）,601,328,196,143,115,85,31,10,4,0,0,"1,513",,
渋谷区／面積（m2）,"10,520","23,947","24,422","24,794","27,874","31,379","20,946","12,435","12,920",0,0,"189,237",,
中野区／件数(件）,559,329,235,139,92,66,20,4,0,0,1,"1,445",,
中野区／面積（m2）,"9,821","24,475","28,072","24,089","22,114","24,563","13,323","6,856",0,0,"17,739","171,052",,
杉並区／件数(件）,847,467,372,234,220,137,47,8,3,1,0,"2,336",,
杉並区／面積（m2）,"14,908","35,493","45,262","40,640","53,034","51,975","30,754","10,355","11,485","5,035",0,"298,941",,
豊島区／件数(件）,510,315,200,103,93,39,20,7,0,1,0,"1,288",,
豊島区／面積（m2）,"9,755","22,963","24,267","17,968","22,770","14,432","13,382","8,254",0,"5,289",0,"139,080",,
北区／件数(件）,393,308,173,80,50,42,24,5,3,1,1,"1,080",,
北区／面積（m2）,"7,398","22,409","21,022","13,844","11,890","15,586","15,192","6,220","9,417","5,402","11,535","139,915",,
荒川区／件数(件）,340,204,118,68,37,38,13,1,0,0,0,819,,
荒川区／面積（m2）,"6,281","14,525","14,695","11,604","8,593","14,694","9,035","1,007",0,0,0,"80,434",,
板橋区／件数(件）,563,493,294,169,137,91,56,10,0,1,0,"1,814",,
板橋区／面積（m2）,"10,803","36,323","35,479","29,020","33,215","35,415","39,366","13,718",0,"8,412",0,"241,751",,
練馬区／件数(件）,"1,074",624,517,246,188,121,94,20,8,0,0,"2,892",,
練馬区／面積（m2）,"16,015","46,672","60,972","42,579","45,152","45,545","67,528","27,624","18,820",0,0,"370,907",,
足立区／件数(件）,"2,012",883,365,197,169,193,115,15,5,0,0,"3,954",,
足立区／面積（m2）,"25,557","63,820","43,719","33,825","41,628","73,687","77,396","20,271","14,097",0,0,"394,000",,
葛飾区／件数(件）,"1,417",596,256,127,93,83,62,8,2,0,0,"2,644",,
葛飾区／面積（m2）,"19,931","42,733","30,967","22,120","22,583","32,337","41,348","9,990","5,945",0,0,"227,954",,
江戸川区／件数(件）,"1,338",623,258,176,178,128,92,17,5,1,0,"2,816",,
江戸川区／面積（m2）,"21,347","44,528","31,409","30,566","43,315","47,944","61,724","20,667","13,719","8,056",0,"323,275",,
合計／件数(件）,"16,212","9,626","5,473","3,148","2,706","1,932",945,204,62,11,4,"40,323",,
合計／面積（m2）,"284,848","700,136","664,374","543,500","652,243","726,793","638,298","270,698","169,227","68,183","55,400","4,773,700",,
