区分,全建物（％）,住宅・アパート（％）,事務所・店舗等（％）,工場・倉庫（％）,その他（％）
区部＿千代田区,99.4,97.5,99.8,96.7,99.6
区部＿中央区,98.4,95.6,99.8,98.1,98.3
区部＿港区,97.7,94.6,99.8,99.0,99.4
区部＿新宿区,89.5,81.9,99.6,96.7,98.5
区部＿文京区,83.9,78.8,99.4,95.3,96.1
区部＿台東区,88.6,84.2,98.9,89.9,95.1
区部＿墨田区,83.3,79.2,98.8,90.4,93.3
区部＿江東区,92.4,87.5,99.4,99.2,97.9
区部＿品川区,82.8,73.3,99.4,98.2,97.7
区部＿目黒区,71.0,66.2,98.1,91.2,96.2
区部＿大田区,72.9,63.2,98.4,97.9,97.3
区部＿世田谷区,62.4,59.0,96.8,94.3,90.3
区部＿渋谷区,90.4,84.1,99.6,97.1,98.9
区部＿中野区,65.4,61.2,97.6,88.2,93.3
区部＿杉並区,55.3,51.4,95.6,94.0,90.8
区部＿豊島区,79.8,71.8,99.3,90.8,97.4
区部＿北区,70.5,65.2,97.5,95.5,94.8
区部＿荒川区,73.0,69.3,96.1,88.7,89.2
区部＿板橋区,72.6,67.8,97.2,96.2,94.1
区部＿練馬区,55.3,51.6,95.3,90.7,84.2
区部＿足立区,63.4,56.7,95.2,92.8,90.7
区部＿葛飾区,59.1,54.1,94.5,88.9,85.9
区部＿江戸川区,64.9,59.3,96.6,96.1,89.6
区部＿区部,77.1,67.9,99.1,96.1,96.1
市部＿八王子市,56.8,45.7,96.1,95.3,79.8
市部＿立川市,71.0,57.8,98.3,97.0,91.8
市部＿武蔵野市,67.1,57.9,98.8,96.5,90.5
市部＿三鷹市,54.4,46.5,96.4,94.4,91.5
市部＿青梅市,45.6,30.4,95.7,95.2,53.0
市部＿府中市,64.6,52.4,98.3,97.7,91.3
市部＿昭島市,62.7,46.8,96.7,98.5,87.2
市部＿調布市,61.4,53.7,96.8,95.6,95.3
市部＿町田市,48.4,38.6,95.6,97.1,74.5
市部＿小金井市,47.7,42.3,95.3,84.8,87.2
市部＿小平市,49.1,40.1,94.9,97.0,64.0
市部＿日野市,56.2,44.5,97.0,98.8,80.6
市部＿東村山市,46.9,39.0,94.3,95.2,72.5
市部＿国分寺市,49.9,41.9,97.3,94.8,79.3
市部＿国立市,61.0,52.5,96.7,97.3,93.7
市部＿福生市,53.3,45.0,92.8,90.5,74.8
市部＿狛江市,48.3,44.5,95.4,88.4,49.6
市部＿東大和市,49.6,40.2,94.4,97.5,61.8
市部＿清瀬市,45.6,39.8,96.0,82.3,71.6
市部＿東久留米市,48.2,38.0,93.3,91.8,85.7
市部＿武蔵村山市,44.7,22.5,94.9,98.0,58.7
市部＿多摩市,77.8,69.1,99.4,98.9,96.2
市部＿稲城市,63.7,57.6,95.0,95.0,66.5
市部＿羽村市,60.7,39.5,95.6,99.4,55.2
市部＿あきる野市,28.4,16.3,90.6,87.0,41.0
市部＿西東京市,52.7,46.2,97.2,91.7,90.7
市部＿市部,55.8,45.2,96.6,96.3,79.6
西多摩郡＿瑞穂町,58.2,17.2,96.2,98.9,69.3
西多摩郡＿日の出町,41.0,12.6,96.5,90.9,57.3
西多摩郡＿檜原村,8.8,2.5,24.3,63.3,10.9
西多摩郡＿奥多摩町,18.3,7.2,64.5,78.5,34.4
西多摩郡＿西多摩郡,47.4,13.5,94.1,96.7,53.6
多摩地域,55.5,44.6,96.6,96.1,78.2
区部・多摩計,71.4,61.2,98.7,96.2,90.7
島しょ＿大島町,25.8,16.8,72.6,59.5,39.0
島しょ＿利島村,42.1,20.6,65.0,79.1,45.7
島しょ＿新島村,55.8,47.4,81.3,84.7,67.0
島しょ＿神津島村,30.8,15.4,47.9,56.0,73.5
島しょ＿三宅村,18.5,7.7,80.4,67.6,23.7
島しょ＿御蔵島村,19.0,9.1,69.4,60.3,0.0
島しょ＿八丈町,38.2,24.5,78.8,70.6,66.2
島しょ＿青ヶ島村,63.9,39.4,96.6,96.4,76.8
島しょ＿小笠原村,76.0,71.8,82.2,97.0,64.4
島しょ＿島しょ計,36.1,24.4,76.6,70.9,52.7
合計,71.3,61.1,98.7,96.1,90.3
