区市町村名　/　用途,住 宅 地,商 業 地,工 業 地,全用途平均
千代田区,2618.6,6449.2,,6009.6
中央区,1195.7,9010,,7769.6
港区,1781.1,4201.3,,3345.4
新宿区,709.3,4404.5,,3030.6
文京区,867.5,1296.3,,1094.5
台東区,806.3,1291.3,,1237.4
墨田区,393.5,672.2,,544.5
江東区,430.7,742.1,413.8,539.6
品川区,758.9,1470.1,363,1084.2
目黒区,876.1,1584.5,,1131.1
大田区,501.7,807.2,349,606.1
世田谷区,589.3,874.1,,653
渋谷区,1142.1,5944.5,,3828.2
中野区,544.4,1017.6,,758.7
杉並区,500,821.6,,582.3
豊島区,548,1884.9,,1325.8
北区,458.7,806.7,,604.2
荒川区,429.6,730,,553.9
板橋区,391.8,624.3,257.7,449.1
練馬区,369.4,688.9,,418.8
足立区,283.6,506.1,217,345.9
葛飾区,301.3,466.2,,347.7
江戸川区,332,572.3,290.3,372.4
区部,572.3,2800.2,312.6,1513.7
八王子市,115.8,442.5,102.5,152.6
立川市,240.8,1239.8,155,438.4
武蔵野市,532.6,1651.1,,929.5
三鷹市,394.1,763.3,,497.2
青梅市,96.2,192.2,,104.4
府中市,285.2,524.3,176,325.9
昭島市,182.4,305.3,150,197
調布市,325.9,702,,381.9
町田市,156,697.8,,241.3
小金井市,318.5,631.4,,383.7
小平市,225.3,318.9,,242.7
日野市,188,402.3,146.7,213.2
東村山市,184.5,300.3,148,215.9
国分寺市,279.9,579.6,,371.1
国立市,328,601.3,185,373.1
福生市,162.7,290.6,,202.7
狛江市,298.5,458,,321.3
東大和市,167.7,197,148,170.3
清瀬市,183.1,347.5,142,199.1
東久留米市,211.4,280.8,194,221
武蔵村山市,121.6,148.5,101,123.3
多摩市,183.9,394,,212.3
稲城市,213,242,,216
羽村市,139.6,178,74,137.1
あきる野市,98.6,171,73,99.4
西東京市,279,399.3,,303.6
瑞穂町,93.1,120,66,95
日の出町,88.6,92,83.5,77.4
檜原村,0,0,,
奥多摩町,0,0,,
多摩地域,208.7,576.8,130,267.9
大島町,9.8,44.9,,21.5
新島村,6.7,9.3,,7.5
神津島村,7.1,9.5,,7.9
三宅村,9,11,,9.6
八丈町,9.1,31.1,,16.4
小笠原村,40.8,75,,52.2
島しょ,13.7,30.1,,19.2
東京都,398.7,2341.2,39,1029.4
