区市名,面積／平成30年（千m2）,面積／平成29年（千m2）,面積／平成30年－平成29年（千m2）
区部／千代田区,187,187,0
区部／中央区,322,324,-2
区部／港区,417,415,2
区部／新宿区,1052,1038,14
区部／文京区,892,882,10
区部／台東区,874,868,6
区部／墨田区,1120,1103,17
区部／江東区,1205,1187,18
区部／品川区,1512,1481,31
区部／目黒区,1086,1070,16
区部／大田区,2962,2868,93
区部／世田谷区,3435,3341,95
区部／渋谷区,713,703,11
区部／中野区,1543,1517,26
区部／杉並区,2485,2423,62
区部／豊島区,1201,1185,16
区部／北区,1497,1468,28
区部／荒川区,908,894,14
区部／板橋区,2326,2268,57
区部／練馬区,3315,3254,61
区部／足立区,3709,3590,119
区部／葛飾区,2816,2750,66
区部／江戸川区,3884,3772,112
区部／区部計,39462,38589,873
市部／八王子市,773,774,-1
市部／立川市,482,478,4
市部／武蔵野市,349,350,-1
市部／三鷹市,564,564,0
市部／青梅市,263,263,0
市部／府中市,805,796,9
市部／昭島市,271,270,1
市部／調布市,700,691,9
市部／町田市,507,505,2
市部／小金井市,361,354,7
市部／小平市,1104,1098,6
市部／日野市,614,606,8
市部／東村山市,553,551,1
市部／国分寺市,434,433,1
市部／国立市,196,193,3
市部／福生市,150,150,0
市部／狛江市,460,460,0
市部／東大和市,246,246,0
市部／清瀬市,176,176,0
市部／東久留米市,993,734,259
市部／武蔵村山市,207,207,0
市部／多摩市,783,772,11
市部／稲城市,169,166,3
市部／羽村市,156,157,-1
市部／あきる野市,135,142,-7
市部／西東京市,1301,1292,9
市部／市部計,12750,12427,323
区部・市部計,52212,51016,1196
