順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,倉敷－５９,岡山県,真備町岡田字内沼２８８番１２,30000,24700,-17.7
2,倉敷－５０,岡山県,真備町有井字折敷田７７番５２外,40700,33600,-17.4
3,倉敷－２,岡山県,真備町箭田字後田４１５８番２,32700,27000,-17.4
3,坂－６,広島県,小屋浦３丁目１０５２７番１４外,67900,58400,-14
5,呉－９,広島県,天応西条３丁目８２７番５,53700,46200,-14
6,総社－１２,岡山県,下原字東市場９２３番,17600,15200,-13.6
7,三浦－２,神奈川県,三崎町小網代字鷺野１３２５番４,53500,49000,-8.4
8,野田－６８,千葉県,みずき２丁目１６番３,66500,61300,-7.8
9,古平－２,北海道,大字御崎町５番２,4500,4150,-7.8
10,美唄－２,北海道,東６条南２丁目１４５１番４３９,5200,4800,-7.7
