区分,面積（単位：千m2）／平成29年,面積（単位：千m2）／平成28年,面積（単位：千m2）／平成29年－平成28年
区部／千代田区,187,192,-5
区部／中央区,324,333,-9
区部／港区,415,421,-6
区部／新宿区,"1,038","1,033",4
区部／文京区,882,879,3
区部／台東区,868,871,-2
区部／墨田区,"1,103","1,099",4
区部／江東区,"1,187","1,180",8
区部／品川区,"1,481","1,481",1
区部／目黒区,"1,070","1,057",13
区部／大田区,"2,868","2,824",45
区部／世田谷区,"3,341","3,294",46
区部／渋谷区,703,703,0
区部／中野区,"1,517","1,502",15
区部／杉並区,"2,423","2,379",45
区部／豊島区,"1,185","1,177",9
区部／北区,"1,468","1,450",19
区部／荒川区,894,882,12
区部／板橋区,"2,268","2,250",18
区部／練馬区,"3,254","3,225",29
区部／足立区,"3,590","3,538",53
区部／葛飾区,"2,750","2,713",37
区部／江戸川区,"3,772","3,731",41
区部／区部計,"38,589","38,210",379
市部／八王子市,774,774,0
市部／立川市,478,474,5
市部／武蔵野市,350,350,0
市部／三鷹市,564,564,0
市部／青梅市,263,264,-1
市部／府中市,796,782,13
市部／昭島市,270,270,0
市部／調布市,691,683,8
市部／町田市,505,504,0
市部／小金井市,354,344,10
市部／小平市,"1,098","1,095",3
市部／日野市,606,594,12
市部／東村山市,551,553,-2
市部／国分寺市,433,426,7
市部／国立市,193,190,3
市部／福生市,150,150,0
市部／狛江市,460,285,175
市部／東大和市,246,247,-1
市部／清瀬市,176,176,0
市部／東久留米市,734,729,4
市部／武蔵村山市,207,208,-1
市部／多摩市,772,765,7
市部／稲城市,166,166,0
市部／羽村市,157,157,0
市部／あきる野市,142,137,5
市部／西東京市,"1,292","1,282",10
市部／市部計,"12,427","12,168",258
区部・市部計,"51,016","50,379",637
