区市名,合計／個人(千m2),合計／法人(千m2),合計／合計(千m2),宅地／個人(千m2),宅地／法人(千m2),宅地／合計(千m2),農地／個人(千m2),農地／法人(千m2),農地／合計(千m2),山林／個人(千m2),山林／法人(千m2),山林／合計(千m2),その他／個人(千m2),その他／法人(千m2),その他／合計(千m2)
千代田区,1100,2963,4063,1100,2555,3655,0,0,0,0,0,0,0,408,408
中央区,1557,2384,3941,1557,2376,3934,0,0,0,0,0,0,0,7,7
港区,3924,6101,10025,3924,5392,9315,0,0,0,0,0,0,0,709,709
新宿区,6379,3802,10180,6378,3501,9879,0,0,0,0,0,0,1,301,302
文京区,4187,1760,5947,4187,1689,5876,0,0,0,0,0,0,0,71,71
台東区,2867,1936,4802,2867,1668,4535,0,0,0,0,0,0,0,268,268
墨田区,4737,2358,7095,4737,2112,6849,0,0,0,0,0,0,0,246,246
江東区,6399,8879,15277,6399,8213,14612,0,0,0,0,0,0,0,665,665
品川区,7496,5271,12767,7496,3146,10643,0,0,0,0,0,0,0,2124,2124
目黒区,7162,2124,9285,7131,1990,9121,24,1,25,5,0,5,2,132,134
大田区,18157,7369,25526,18124,6640,24764,27,2,28,5,6,10,2,722,724
世田谷区,30109,6679,36788,29102,5740,34841,944,0,945,33,20,52,30,919,949
渋谷区,5233,3247,8481,5233,2889,8122,0,0,0,0,0,0,0,358,358
中野区,8439,1924,10363,8417,1662,10079,22,0,22,0,1,1,0,261,261
杉並区,19211,3189,22401,18843,2801,21644,353,2,355,9,3,12,7,383,390
豊島区,6003,2174,8177,6003,1799,7801,0,0,0,0,0,0,0,376,376
北区,6832,3632,10464,6824,2735,9559,3,0,3,4,3,7,0,895,895
荒川区,4089,1787,5876,4089,1294,5382,0,0,0,0,0,0,0,493,493
板橋区,13878,4608,18486,13711,4356,18068,143,0,144,16,5,22,7,246,253
練馬区,27441,3611,31052,25416,3085,28502,1942,1,1943,28,3,31,55,522,577
足立区,22435,6066,28502,21952,5393,27346,467,1,467,0,0,0,16,673,688
葛飾区,14095,3315,17410,13771,2818,16589,318,0,319,0,0,0,6,497,502
江戸川区,19054,4772,23826,18593,4523,23117,440,4,443,0,0,0,21,245,266
区部計,240784,89951,330735,235854,78379,314232,4683,11,4694,100,41,141,147,11521,11668
八王子市,62910,27597,90508,30908,7660,38568,7820,101,7921,18744,12816,31560,5438,7020,12459
立川市,10382,3524,13906,7838,3029,10868,2487,1,2488,24,2,26,32,492,524
武蔵野市,5395,1385,6780,5101,1224,6325,274,0,274,0,0,0,20,161,181
三鷹市,8709,1603,10312,7261,1444,8705,1417,0,1417,13,65,78,18,94,112
青梅市,41305,19058,60362,10453,2217,12670,4386,46,4433,23897,10325,34221,2568,6470,9038
府中市,11084,4048,15133,9840,3167,13007,1184,4,1189,0,0,0,60,877,936
昭島市,5851,3247,9098,5200,2381,7581,596,1,597,40,163,203,15,701,717
調布市,9882,2081,11963,8465,1795,10260,1226,6,1232,19,4,23,172,276,447
町田市,34286,7580,41865,24120,4355,28475,5032,57,5090,4271,1251,5522,863,1916,2779
小金井市,5765,892,6657,5123,656,5778,621,4,626,15,23,38,6,209,215
小平市,10455,2663,13119,8571,1752,10323,1742,6,1747,13,1,13,130,905,1035
日野市,11111,3298,14409,8832,2504,11336,1378,9,1387,428,115,543,473,671,1144
東村山市,8535,1382,9917,6816,962,7778,1433,4,1437,87,19,106,199,397,596
国分寺市,6696,1358,8053,5281,1143,6424,1343,5,1348,36,0,36,36,209,245
国立市,3936,837,4773,3388,749,4138,518,1,519,12,0,12,18,86,104
福生市,3248,652,3899,3102,523,3625,116,1,117,14,0,14,15,128,142
狛江市,3566,419,3985,3090,360,3450,366,2,368,5,3,8,105,54,159
東大和市,5229,822,6051,4473,723,5195,567,0,567,159,28,187,30,71,101
清瀬市,5078,821,5900,3074,605,3678,1814,1,1815,56,18,74,136,197,333
東久留米市,7165,1283,8447,5584,1160,6744,1477,1,1478,40,9,49,64,113,177
武蔵村山市,7212,1642,8854,4595,861,5456,1764,1,1765,364,79,443,489,701,1190
多摩市,6708,3460,10168,5982,2186,8168,373,18,391,99,224,323,254,1033,1287
稲城市,5919,3450,9369,3948,1010,4958,1282,1,1283,521,602,1123,169,1836,2005
羽村市,4130,1951,6081,3603,1858,5461,375,1,376,77,17,94,75,75,150
あきる野市,30983,6778,37760,7481,891,8372,5238,61,5299,15393,3070,18463,2871,2756,5627
西東京市,9076,1352,10429,7751,1150,8901,1243,0,1244,6,1,6,77,201,278
市部計,324615,103183,427798,199878,46365,246243,46073,334,46407,64331,28835,93166,14333,27649,41982
合計,565399,193134,758533,435732,124743,560475,50756,345,51101,64431,28876,93307,14480,39170,53650
