区市名,令和3年所有者数／個人(人),令和3年所有者数／法人(人),令和3年所有者数／計(人),令和2年所有者数／個人(人),令和2年所有者数／法人(人),令和2年所有者数／計(人),令和3年-令和2年／個人(人),令和3年-令和2年／法人(人),令和3年-令和2年／計(人)
区部／千代田区,4713,3405,8118,4800,3416,8216,-87,-11,-98
区部／中央区,7413,4399,11812,7612,4440,12052,-199,-41,-240
区部／港区,12653,5445,18098,12823,5453,18276,-170,-8,-178
区部／新宿区,32624,5879,38503,32727,5808,38535,-103,71,-32
区部／文京区,25909,2978,28887,25928,2964,28892,-19,14,-5
区部／台東区,22051,4825,26876,22239,4782,27021,-188,43,-145
区部／墨田区,29639,3646,33285,29730,3611,33341,-91,35,-56
区部／江東区,30145,4452,34597,30139,4390,34529,6,62,68
区部／品川区,41886,3926,45812,41781,3874,45655,105,52,157
区部／目黒区,36880,3150,40030,36755,3095,39850,125,55,180
区部／大田区,92139,7066,99205,91473,6942,98415,666,124,790
区部／世田谷区,134627,7042,141669,133648,6920,140568,979,122,1101
区部／渋谷区,23813,4878,28691,23902,4811,28713,-89,67,-22
区部／中野区,48088,3567,51655,47918,3492,51410,170,75,245
区部／杉並区,96002,4640,100642,95145,4601,99746,857,39,896
区部／豊島区,35403,3882,39285,35411,3814,39225,-8,68,60
区部／北区,40689,2935,43624,40553,2889,43442,136,46,182
区部／荒川区,24792,2265,27057,24684,2178,26862,108,87,195
区部／板橋区,65138,4398,69536,64851,4334,69185,287,64,351
区部／練馬区,124736,4479,129215,123732,4421,128153,1004,58,1062
区部／足立区,105289,5569,110858,104435,5460,109895,854,109,963
区部／葛飾区,74125,3954,78079,73498,3855,77353,627,99,726
区部／江戸川区,98071,4942,103013,97644,4844,102488,427,98,525
区部／区部計,1206825,101722,1308547,1201428,100394,1301822,5397,1328,6725
市部／八王子市,123553,4327,127880,122643,4275,126918,910,52,962
市部／立川市,31641,1388,33029,31192,1380,32572,449,8,457
市部／武蔵野市,22314,1083,23397,22151,1084,23235,163,-1,162
市部／三鷹市,32940,1109,34049,32576,1095,33671,364,14,378
市部／青梅市,36458,1343,37801,36187,1291,37478,271,52,323
市部／府中市,45680,1542,47222,45111,1536,46647,569,6,575
市部／昭島市,21274,873,22147,21274,873,22147,0,0,0
市部／調布市,38011,1368,39379,38011,1368,39379,0,0,0
市部／町田市,101626,3067,104693,101626,3067,104693,0,0,0
市部／小金井市,24412,722,25134,24412,722,25134,0,0,0
市部／小平市,49446,1760,51206,48864,1743,50607,582,17,599
市部／日野市,41683,1190,42873,47974,1761,49735,-6291,-571,-6862
市部／東村山市,33798,920,34718,33385,898,34283,413,22,435
市部／国分寺市,27608,1007,28615,27165,1006,28171,443,1,444
市部／国立市,13529,659,14188,13423,637,14060,106,22,128
市部／福生市,10844,429,11273,10786,421,11207,58,8,66
市部／狛江市,18260,676,18936,18108,664,18772,152,12,164
市部／東大和市,18534,522,19056,18370,525,18895,164,-3,161
市部／清瀬市,14709,335,15044,14410,334,14744,299,1,300
市部／東久留米市,37770,1106,38876,37344,1103,38447,426,3,429
市部／武蔵村山市,19870,599,20469,19681,605,20286,189,-6,183
市部／多摩市,40914,902,41816,40652,905,41557,262,-3,259
市部／稲城市,14677,524,15201,14385,528,14913,292,-4,288
市部／羽村市,12924,424,13348,12832,408,13240,92,16,108
市部／あきる野市,27926,767,28693,27726,730,28456,200,37,237
市部／西東京市,56782,3565,60347,56192,3692,59884,590,-127,463
市部／市部計,917183,32207,949390,916480,32651,949131,703,-444,259
区部・市部計,2124008,133929,2257937,2117908,133045,2250953,6100,884,6984
