順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,港－4,東京都,赤坂１丁目１４２４番１,5120000,2.4
2,千代田－3,東京都,六番町６番１外,4280000,3.1
3,港－29,東京都,白金台３丁目５５番４外,3990000,2.8
4,港－16,東京都,南麻布４丁目１２番１,3750000,2.7
5,港－28,東京都,南麻布１丁目３５番１外,3390000,4.3
6,千代田－1,東京都,三番町６番２５,3340000,3.1
7,千代田－7,東京都,一番町１６番３,3180000,3.2
8,千代田－5,東京都,九段北２丁目６番２６,3110000,3.3
9,渋谷－11,東京都,恵比寿西２丁目２０番１,3040000,5.2
10,港－1,東京都,赤坂６丁目１９１１番,2910000,3.6
