区分,昭和63年（％）,平成4年（％）,平成9年（％）,平成15年（％）,平成16年（％）,平成17年（％）,平成18年（％）,平成19年（％）,平成20年（％）,平成21年（％）,平成22年（％）,平成23年（％）,平成24年（％）,平成25年（％）,平成26年（％）,平成27年（％）,平成28年（％）,平成29年（％）
千代田区＿概算容積率A,422.7,510.5,550.9,562.8,576.0,584.2,589.9,598.7,598.8,598.7,604.5,608.5,613.1,606.2,612.2,636.9,645.3,644.9
千代田区＿指定平均容積率B,525.0,528.3,536.6,537.7,556.1,558.7,558.7,558.7,558.7,558.7,558.7,558.7,560.1,560.1,560.2,560.2,560.7,561.8
千代田区＿充足率C＝A/B×100,80.5,96.6,102.7,104.7,103.6,104.6,105.6,107.2,107.2,107.2,108.2,108.9,109.5,108.2,109.3,113.7,115.1,114.8
中央区＿概算容積率A,363.6,403.9,464.8,499.7,504.1,513.4,517.6,523.3,525.1,536.3,537.3,537.6,543.8,548.3,545.3,548.6,546.2,561.3
中央区＿指定平均容積率B,561.0,560.5,570.3,569.4,570.3,570.3,570.3,570.3,570.3,570.3,570.3,570.3,570.5,570.5,570.5,570.5,570.5,571.0
中央区＿充足率C＝A/B×100,64.8,72.1,81.5,87.8,88.4,90.0,90.8,91.8,92.1,94.0,94.2,94.3,95.3,96.1,95.6,96.2,95.7,98.3
港区＿概算容積率A,212.5,244.4,284.8,311.6,332.2,346.7,350.4,360.0,372.8,381.9,386.4,387.1,389.7,392.7,395.8,398.0,403.0,401.8
港区＿指定平均容積率B,397.0,404.5,404.6,406.8,408.4,408.4,408.4,408.4,408.4,408.4,408.4,408.4,408.4,408.4,408.4,408.4,408.5,408.5
港区＿充足率C＝A/B×100,53.5,60.4,70.4,76.6,81.3,84.9,85.8,88.1,91.3,93.5,94.6,94.8,95.4,96.2,96.9,97.5,98.7,98.4
新宿区＿概算容積率A,172.7,189.7,220.2,229.8,232.4,237.3,236.5,236.9,239.4,242.2,244.6,246.0,247.5,251.8,253.9,259.1,260.5,262.3
新宿区＿指定平均容積率B,382.0,383.2,386.4,386.4,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8,386.8
新宿区＿充足率C＝A/B×100,45.2,49.5,57.0,59.5,60.1,61.3,61.2,61.2,61.9,62.6,63.2,63.6,64.0,65.1,65.6,67.0,67.3,67.8
文京区＿概算容積率A,134.5,150.5,169.3,189.4,191.9,194.5,194.8,197.2,198.8,200.5,202.0,204.3,207.1,208.4,210.4,211.7,213.1,213.7
文京区＿指定平均容積率B,333.0,337.7,337.7,337.7,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0
文京区＿充足率C＝A/B×100,40.4,44.6,50.1,56.1,56.8,57.5,57.6,58.4,58.8,59.3,59.8,60.4,61.3,61.7,62.2,62.6,63.1,63.2
台東区＿概算容積率A,202.2,227.8,254.6,278.7,278.9,281.1,277.3,279.2,281.1,282.4,284.8,287.2,288.8,291.2,293.7,294.3,296.8,300.2
台東区＿指定平均容積率B,481.0,481.2,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8,484.8
台東区＿充足率C＝A/B×100,42.0,47.3,52.5,57.5,57.5,58.0,57.2,57.6,58.0,58.2,58.8,59.2,59.6,60.1,60.6,60.7,61.2,61.9
墨田区＿概算容積率A,124.8,137.9,156.0,170.5,171.5,174.5,174.2,180.2,182.3,183.6,186.2,187.5,188.4,188.8,192.9,195.5,197.2,199.4
墨田区＿指定平均容積率B,320.0,321.1,323.8,324.6,324.6,324.6,324.6,324.6,325.7,325.7,325.7,325.7,325.7,325.7,325.7,325.7,325.7,325.7
墨田区＿充足率C＝A/B×100,39.0,42.9,48.2,52.5,52.8,53.8,53.7,55.5,56.0,56.4,57.2,57.6,57.8,58.0,59.2,60.0,60.5,61.2
江東区＿概算容積率A,98.1,112.1,133.2,154.0,156.7,159.9,164.4,172.4,178.0,181.3,186.9,189.8,192.6,193.8,195.5,196.1,198.5,202.9
江東区＿指定平均容積率B,286.0,287.7,287.5,289.2,289.2,289.2,289.2,289.2,288.3,288.3,288.3,288.3,288.3,288.3,288.3,288.3,288.3,288.3
江東区＿充足率C＝A/B×100,34.3,39.0,46.3,53.3,54.2,55.3,56.8,59.6,61.7,62.9,64.8,65.8,66.8,67.2,67.8,68.0,68.8,70.4
