区市名,所有者数／令和2年(人),所有者数／平成31年(人),所有者数／令和2年－平成31年(人)
区部／千代田区,3048,3138,-90
区部／中央区,5845,5997,-152
区部／港区,6561,6732,-171
区部／新宿区,16981,16999,-18
区部／文京区,14898,14861,37
区部／台東区,15055,15208,-153
区部／墨田区,19044,18951,93
区部／江東区,20514,20368,146
区部／品川区,25297,25138,159
区部／目黒区,16754,16605,149
区部／大田区,47970,47301,669
区部／世田谷区,51179,50449,730
区部／渋谷区,11500,11522,-22
区部／中野区,24005,23829,176
区部／杉並区,36943,36340,603
区部／豊島区,19659,19616,43
区部／北区,24790,24597,193
区部／荒川区,16186,15965,221
区部／板橋区,36141,35908,233
区部／練馬区,46621,46342,279
区部／足立区,56393,55717,676
区部／葛飾区,44471,43979,492
区部／江戸川区,62039,61658,381
区部／区部計,621894,617220,4674
市部／八王子市,10741,10776,-35
市部／立川市,6595,6555,40
市部／武蔵野市,5045,5036,9
市部／三鷹市,7803,7813,-10
市部／青梅市,3640,3665,-25
市部／府中市,11247,11112,135
市部／昭島市,3803,3778,25
市部／調布市,11382,9674,1708
市部／町田市,7058,7070,-12
市部／小金井市,5266,5047,219
市部／小平市,14742,14631,111
市部／日野市,7150,7120,30
市部／東村山市,7472,7462,10
市部／国分寺市,6001,5938,63
市部／国立市,2797,2757,40
市部／福生市,2032,2035,-3
市部／狛江市,6452,6422,30
市部／東大和市,3284,3279,5
市部／清瀬市,2403,2415,-12
市部／東久留米市,15737,15625,112
市部／武蔵村山市,2676,2690,-14
市部／多摩市,16952,16790,162
市部／稲城市,2336,2307,29
市部／羽村市,2017,2032,-15
市部／あきる野市,1933,1956,-23
市部／西東京市,24417,24194,223
市部／市部計,190981,188179,2802
区部・市部計,812875,805399,7476
