区名,増加量(万m2),増加率(%)
千代田区,1082,165.2
中央区,636.6,108.2
港区,1473.1,401
新宿区,602,426
文京区,173.5,346.4
台東区,187.1,253.9
墨田区,103,333.3
江東区,471.9,1006.3
品川区,488.8,762.5
目黒区,99,294.7
大田区,233.2,272.2
世田谷区,117.4,347.3
渋谷区,493.2,434.2
中野区,86.8,490.2
杉並区,62.4,243
豊島区,212.4,502.1
北区,59.5,264.7
荒川区,38.3,292.2
板橋区,67.1,245.7
練馬区,49.2,222.8
足立区,59.1,261.7
葛飾区,31.3,141.5
江戸川区,81.7,436.7
区部計,6908.8,274.3
