区市町村名　/　用途,住宅地,商業地,工業地,全用途平均
千代田区,2780,4930,―,4652.6
中央区,1005.3,6061.4,―,5538.3
港区,1437.8,4450.4,957,3600.2
新宿区,640.3,4303.3,―,3204.4
文京区,829.3,1285.2,―,1107.9
台東区,612.5,1237,―,1184.9
墨田区,371.4,572.7,―,519.7
江東区,450.2,691.2,321.5,538.9
品川区,704.7,1010.7,―,864.3
目黒区,758.1,1430,―,1052.1
大田区,432.9,682.2,341.5,525.1
世田谷区,559.8,881.1,―,644.1
渋谷区,1043,3986.9,―,2854.6
中野区,519,1041.4,―,767.8
杉並区,515.5,794.4,―,615.6
豊島区,547.4,1972.1,―,1389.3
北区,423,791.8,299,578
荒川区,437.8,637.3,―,551.8
板橋区,379.9,655.8,―,492
練馬区,350.5,633.1,―,419.7
足立区,289.9,479.5,238,366.2
葛飾区,295.4,489.5,211,346
江戸川区,316.3,562.9,―,390.3
区部,527.8,2243.8,378.9,1376.9
八王子市,122.5,368.6,158,170.3
立川市,238.3,1571,―,619.1
武蔵野市,467.6,1778.3,―,1079.3
三鷹市,375.4,1309.7,―,550.6
青梅市,91.2,174.3,74.9,114.5
府中市,281.9,509.3,―,343.2
昭島市,174.2,307.7,146,200.8
調布市,326.9,606,―,393.4
町田市,148.2,533.8,―,219.5
小金井市,309.8,906.5,―,418.3
小平市,231.6,314.7,―,244.7
日野市,194.3,311.7,―,212.8
東村山市,186.4,352,―,219.5
国分寺市,263.4,1125,―,420.1
国立市,320.8,375,―,328.6
福生市,162,222.3,―,184.6
狛江市,309,402,―,324.5
東大和市,165.2,187,―,168.8
清瀬市,190.9,437,―,231.9
東久留米市,189.1,367.5,―,216.5
武蔵村山市,116.8,139.5,―,120.9
多摩市,176.9,366.3,―,233.8
稲城市,211.2,280.7,―,224.3
羽村市,143.8,231,88.5,158.7
あきる野市,85,132.5,―,95.9
西東京市,267.2,474.3,―,313.2
市部,198.7,596.3,108.5,279
瑞穂町,98.5,126,59.5,97
日の出町,60.5,―,―,73.8
檜原村,18.5,24.6,―,42.6
奥多摩町,26.9,33.5,―,42.9
西多摩郡,66,54.4,59.5,69.6
大島町,6.9,21.8,―,12.8
新島村,6.2,10,―,7.4
神津島村,6.9,9.7,―,7.8
三宅村,7.3,12.5,―,9
八丈町,9.1,19.1,―,14.1
小笠原村,19.5,62,―,246.7
島しょ,11.1,22,―,95
東　京　都,342.6,1824.5,259.5,887.8
