区市町村名,住宅地：変動率,住宅地：継続地点数,商業地：変動率,商業地：継続地点数,工業地：変動率,工業地：継続地点数,全用途平均：変動率,全用途平均：継続地点数
千代田区,1.9 ,4 ,7.9 ,27 ,― ,― ,7.1 ,31 
中央区,4.3 ,3 ,9.7 ,25 ,― ,― ,9.1 ,28 
港区,6.0 ,8 ,9.9 ,26 ,― ,― ,9.0 ,34 
新宿区,6.1 ,12 ,8.6 ,28 ,― ,― ,7.9 ,40 
文京区,6.6 ,7 ,8.8 ,11 ,― ,― ,8.0 ,18 
台東区,7.6 ,2 ,14.4 ,20 ,― ,― ,13.8 ,22 
墨田区,6.4 ,5 ,8.1 ,14 ,― ,― ,7.7 ,19 
江東区,6.5 ,14 ,8.7 ,11 ,5.2 ,2 ,7.3 ,27 
品川区,5.3 ,11 ,7.0 ,12 ,― ,― ,6.2 ,23 
目黒区,3.6 ,9 ,7.1 ,7 ,― ,― ,5.1 ,16 
大田区,3.6 ,25 ,5.4 ,17 ,4.8 ,2 ,4.4 ,44 
世田谷区,3.3 ,43 ,7.0 ,15 ,― ,― ,4.2 ,58 
渋谷区,5.3 ,10 ,9.6 ,15 ,― ,― ,7.8 ,25 
中野区,4.6 ,11 ,7.2 ,10 ,― ,― ,5.8 ,21 
杉並区,4.7 ,25 ,7.2 ,14 ,― ,― ,5.6 ,39 
豊島区,7.9 ,8 ,9.6 ,13 ,― ,― ,9.0 ,21 
北区,6.8 ,12 ,9.8 ,10 ,4.2 ,1 ,8.0 ,23 
荒川区,8.6 ,5 ,9.5 ,8 ,― ,― ,9.2 ,13 
板橋区,5.2 ,19 ,6.5 ,12 ,― ,― ,5.7 ,31 
練馬区,2.8 ,36 ,5.1 ,10 ,― ,― ,3.3 ,46 
足立区,5.1 ,27 ,6.3 ,20 ,3.7 ,1 ,5.6 ,48 
葛飾区,2.8 ,20 ,8.4 ,7 ,2.8 ,1 ,4.2 ,28 
江戸川区,4.3 ,27 ,6.0 ,10 ,― ,― ,4.8 ,37 
区部,4.6 ,343 ,8.4 ,342 ,4.4 ,7 ,6.5 ,692 
八王子市,0.3 ,72 ,0.9 ,14 ,1.3 ,1 ,0.4 ,87 
立川市,2.1 ,15 ,5.7 ,6 ,― ,― ,3.2 ,21 
武蔵野市,3.3 ,7 ,7.5 ,7 ,― ,― ,5.4 ,14 
三鷹市,2.3 ,13 ,5.2 ,3 ,― ,― ,2.8 ,16 
青梅市,-1.3 ,16 ,0.0 ,4 ,4.7 ,2 ,-0.5 ,22 
府中市,1.4 ,18 ,2.4 ,7 ,― ,― ,1.7 ,25 
昭島市,1.2 ,10 ,1.8 ,3 ,1.4 ,1 ,1.3 ,14 
調布市,1.8 ,16 ,3.1 ,5 ,― ,― ,2.1 ,21 
町田市,0.2 ,43 ,1.2 ,11 ,― ,― ,0.4 ,54 
小金井市,3.2 ,8 ,6.7 ,2 ,― ,― ,3.9 ,10 
小平市,1.0 ,16 ,1.2 ,3 ,― ,― ,1.1 ,19 
日野市,0.5 ,15 ,0.9 ,3 ,― ,― ,0.5 ,18 
東村山市,0.4 ,12 ,1.1 ,3 ,― ,― ,0.6 ,15 
国分寺市,1.5 ,9 ,1.6 ,2 ,― ,― ,1.5 ,11 
国立市,1.5 ,6 ,1.8 ,1 ,― ,― ,1.5 ,7 
福生市,0.5 ,4 ,0.4 ,3 ,― ,― ,0.5 ,7 
狛江市,2.9 ,5 ,1.7 ,1 ,― ,― ,2.7 ,6 
東大和市,0.2 ,10 ,0.5 ,2 ,― ,― ,0.2 ,12 
清瀬市,0.5 ,10 ,0.9 ,2 ,― ,― ,0.5 ,12 
東久留米市,1.0 ,11 ,0.9 ,2 ,― ,― ,1.0 ,13 
武蔵村山市,0.2 ,9 ,0.3 ,2 ,― ,― ,0.3 ,11 
多摩市,-0.0 ,14 ,0.5 ,6 ,― ,― ,0.1 ,20 
稲城市,3.4 ,12 ,5.5 ,3 ,― ,― ,3.8 ,15 
羽村市,0.4 ,5 ,0.5 ,2 ,1.1 ,1 ,0.5 ,8 
あきる野市,-0.1 ,11 ,0.0 ,2 ,― ,― ,-0.1 ,13 
西東京市,1.6 ,14 ,4.4 ,4 ,― ,― ,2.2 ,18 
市部,0.9 ,381 ,2.3 ,103 ,2.6 ,5 ,1.2 ,489 
瑞穂町,0.1 ,6 ,― ,1 ,0.8 ,1 ,0.2 ,8 
日の出町,-0.1 ,4 ,― ,― ,― ,― ,-0.1 ,4 
檜原村,― ,― ,― ,― ,― ,― ,― ,― 
奥多摩町,-1.0 ,2 ,-0.9 ,2 ,― ,― ,-0.9 ,4 
西多摩郡,-0.1 ,12 ,-0.6 ,3 ,0.8 ,1 ,-0.2 ,16 
大島町,0.0 ,3 ,-0.8 ,2 ,― ,― ,-0.3 ,5 
新島村,0.0 ,2 ,0.0 ,1 ,― ,― ,0.0 ,3 
神津島村,0.0 ,2 ,0.0 ,1 ,― ,― ,0.0 ,3 
三宅村,0.0 ,2 ,0.0 ,1 ,― ,― ,0.0 ,3 
八丈町,0.0 ,2 ,0.0 ,2 ,― ,― ,0.0 ,4 
小笠原村,0.0 ,3 ,0.0 ,1 ,― ,― ,0.0 ,4 
島しょ,0.0 ,14 ,-0.2 ,8 ,― ,― ,-0.1 ,22 
東　京　都,2.5 ,750 ,6.8 ,456 ,3.4 ,13 ,4.1 ,"1,219 "
