区分,平成8年度,平成9年度,平成10年度,平成11年度,平成12年度,平成13年度,平成14年度,平成15年度,平成16年度,平成17年度,平成18年度,平成19年度,平成20年度,平成21年度,平成22年度,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度,平成29年度
届出件数,586,621,457,466,522,648,703,418,471,488,576,495,350,375,405,445,503,532,519,547,581,615
申出件数,270,228,232,207,139,128,143,121,164,153,141,158,261,215,173,144,171,182,183,200,209,169
合計件数,856,849,689,673,661,776,846,539,635,641,717,653,611,590,578,589,674,714,702,747,790,784
買取協議成立件数,229,175,158,168,93,91,96,84,98,95,96,64,113,100,70,76,69,66,70,77,73,61
買取面積（ｈa）,59,41,25,18,11,8,9.1,11.2,12.2,12.9,11.7,8.8,12.5,13.2,7.2,33.3,8.8,9.5,5.5,7.1,6.6,7.1
