区名,100m2未満（千m2),200m2未満（千m2),300m2未満（千m2),500m2未満（千m2),1000m2未満（千m2),2000m2未満（千m2),5000m2未満（千m2),10000m2未満（千m2),10000m2以上（千m2),計（千m2),増減率(%）
千代田区,-110,-109,-80,-106,-143,-108,-54,-23,0,-733,-54.6
中央区,-150,-127,-75,-94,-118,-76,-46,-8,-1,-695,-48.7
港区,-106,-220,-182,-344,-482,-383,-251,-102,-65,-2134,-52.6
新宿区,116,-119,-160,-359,-572,-410,-385,-151,-191,-2230,-31.4
文京区,162,18,-116,-252,-345,-308,-131,-82,-20,-1074,-24.5
台東区,100,-29,-85,-149,-200,-168,-143,-72,-8,-754,-23.4
墨田区,346,132,-12,-116,-278,-287,-410,-295,-177,-1097,-21.7
江東区,395,160,18,-58,-232,-296,-560,-318,-534,-1426,-26.6
品川区,524,167,-20,-228,-368,-429,-596,-339,-310,-1598,-21.4
目黒区,522,524,64,-258,-358,-280,-603,-294,-558,-1241,-16.7
大田区,1492,1255,336,-114,-620,-622,-1323,-1534,-1919,-3049,-16.1
世田谷区,1745,2699,507,-407,-906,-643,-1583,-1771,-1863,-2221,-8.0
渋谷区,130,-20,-110,-312,-525,-396,-333,-309,-179,-2056,-34.4
中野区,582,495,33,-153,-274,-223,-328,-609,-602,-1080,-12.5
杉並区,1113,1927,345,-420,-649,-380,-717,-1025,-1682,-1488,-7.9
豊島区,415,207,-1,-169,-282,-358,-521,-421,-288,-1416,-21.0
北区,534,315,67,-64,-155,-252,-531,-555,-458,-1099,-15.4
荒川区,384,166,15,-36,-179,-192,-368,-294,-333,-836,-19.2
板橋区,830,638,141,56,-30,-100,-879,-1215,-1358,-1918,-14.2
練馬区,947,2596,121,-182,-112,-145,-646,-876,-1208,496,2.2
足立区,1610,1594,412,428,458,7,-794,-1490,-1644,581,2.9
葛飾区,1274,704,203,97,4,-128,-772,-1222,-1386,-1226,-8.8
江戸川区,1624,946,283,214,78,-192,-1283,-1003,-1392,-724,-4.1
区部計,14480,13919,1704,-3024,-6285,-6368,-13257,-14007,-16177,-29015,-12.4
