区市町村名：用途　/　昭和・平成　年,53年,54年,55年,56年,57年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年
千代田区：住宅地,1.6,4.7,13.4,10.9,8.4,―,19.4,25.3,58.3,45.6,17.1,-0.7,0,0,-12.5,-25.3,-28,-27,-24.5,-22.9,-4.8,-5.4,-3.8,-1.7,-1.2,-0.4,1,2.5,15.6,16,-4,-13.5,-0.4,-1,0,6,6.3,9.4,7.5,3.3
千代田区：商業地,0.9,5,11.8,10.9,9.4,8.6,24.7,29.7,56.2,43,14.8,-0.6,2,0,-8.6,-23.8,-30.2,-25.8,-26.9,-19.8,-3,-7,-5.8,-6.4,-6.9,-4,-2,0.2,17.6,16.1,-5.1,-15.9,-3.6,-2.9,-0.5,4.2,5.7,7.4,7.1,6.6
千代田区：全用途平均(林地を含む。）,1,5,12.2,10.9,9,8.6,23.4,29,56.6,43.5,15.3,-0.6,1.5,0,-9.6,-24.2,-29.7,-26,-26.5,-20.3,-3.3,-6.8,-5.5,-5.6,-5.9,-3.5,-1.6,0.6,17.3,16.1,-4.9,-15.5,-3.2,-2.7,-0.4,4.5,5.8,7.7,7.1,6.2
中央区：住宅地,―,―,―,―,7.7,―,9.9,10.5,24.6,―,31.6,0,0,0,-17.3,-29,-34.6,-27.5,-26.6,-14.6,-0.8,-1.5,-5.1,-4.6,-3.1,-1.9,-0.1,0.6,20.9,17,-5.7,-12.2,3.5,-0.7,0,8.7,6.4,9.7,6.2,2.2
中央区：商業地,0.8,4.7,11.9,10.6,8.1,9.1,19.7,32,55.9,46.2,16.2,0.2,2.7,0.2,-6.9,-23,-31.3,-26.9,-27.3,-18.9,-5.6,-7.6,-9.1,-8.6,-8.7,-3.8,-1.5,0.8,20.9,19.2,-4.7,-17.3,-3.8,-2.8,-0.4,4.7,7.2,9.6,9.8,8.4
中央区：全用途平均(林地を含む。）,1,5,12,10.6,8,8.8,18.7,29.4,52,47.2,16.9,-0.1,2.5,0.2,-7.9,-23.6,-31.8,-27.1,-27.1,-18.7,-5.1,-7.1,-8.8,-8.1,-8.1,-3.6,-1.3,0.8,20.9,18.9,-4.9,-16.4,-2.7,-2.5,-0.3,5.4,7.1,9.6,9.2,7.5
港区：住宅地,2.6,8.7,17.5,11.2,9.3,7.9,7.8,17,33.9,93.4,11.4,-5,-2.2,-4.8,-19.9,-30,-33.6,-25.6,-19.2,-11,-1.9,-4.1,-3.1,0.3,0.1,0,0.5,2.1,27.2,16.8,-14.2,-8.7,-2,-0.9,0.1,5.9,6,6.3,5.2,5.3
港区：商業地,1,5,12.3,9.8,10.2,8.1,20.7,29.4,48.3,58.5,6.5,-1.8,2.8,-0.6,-7.9,-27.6,-33.6,-30.5,-25.6,-15.2,-5.7,-8.4,-7.3,-4.3,-2.1,-2.1,-1.3,1.1,23.2,22.1,-13.1,-14.2,-5,-3.6,-0.8,4.4,5.6,7.6,6.7,6.7
港区：全用途平均(林地を含む。）,1.6,6.4,15.1,10.3,9.7,7.4,13.7,20.2,41,71.6,8.6,-3.5,0.5,-2.7,-13.4,-28.5,-33.3,-28.2,-22.7,-13.2,-4,-6.5,-5.4,-2.1,-1.2,-1.4,-0.8,1.5,24.6,20.5,-13.3,-12.3,-4,-2.7,-0.5,4.8,5.7,7.2,6.2,6.2
新宿区：住宅地,3.4,8.3,18.1,11.5,4.4,4.1,3.9,5.3,21.1,128,15.6,-8.1,0.3,-0.2,-15.5,-22.8,-23,-12.3,-15.5,-7,-2.8,-3.5,-1.8,-1,-1.5,-1.6,-1,-0.3,8.5,14.5,-8.8,-8.1,-1.1,-0.9,-0.4,2.8,3.2,3.4,3,4
新宿区：商業地,1.3,5.2,12.7,10.7,8.4,7.9,13.2,24.4,36.8,84.4,13.4,-0.2,3.3,0.9,-7.9,-23.3,-31,-24.7,-24.6,-13.7,-5.2,-6.6,-5.1,-2.9,-4,-2.8,-2.5,-1.1,11,22.8,-8.5,-10.3,-3.2,-2,-1,3.4,4,5.2,5.1,6.1
新宿区：全用途平均(林地を含む。）,2.3,6.6,14.7,11.1,5.9,6.6,8.3,13.4,26.9,104,14.4,-4,1.9,0.4,-11.6,-23.1,-27.3,-19.2,-20.3,-10.6,-4.1,-5.2,-3.6,-2,-2.8,-2.4,-1.9,-0.8,10,19.7,-8.6,-9.4,-2.4,-1.5,-0.7,3.2,3.7,4.6,4.3,5.3
