区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,"9,083","7,936","9,745","9,367","13,603","16,603","15,062","15,419","15,056","16,212"
50m2未満／面積（m2）,"177,613","138,139","170,597","163,097","173,854","247,495","235,299","255,073","265,158","284,848"
50m2以上100m2未満／件数（件）,"5,840","4,659","5,631","5,678","5,949","7,028","7,361","8,227","8,609","9,626"
50m2以上100m2未満／面積（m2）,"426,411","340,919","417,910","418,045","436,505","511,598","536,448","596,331","628,889","700,136"
100m2以上150m2未満／件数（件）,"3,311","2,660","3,384","3,420","3,254","3,877","4,212","4,817","5,066","5,473"
100m2以上150m2未満／面積（m2）,"403,336","322,469","413,018","416,938","398,648","469,535","511,805","584,350","615,747","664,374"
150m2以上200m2未満／件数（件）,"1,838","1,504","1,962","1,957","2,041","2,355","2,376","2,745","2,958","3,148"
150m2以上200m2未満／面積（m2）,"318,096","259,652","336,431","338,020","354,816","408,014","409,575","474,404","510,089","543,500"
200m2以上300m2未満／件数（件）,"1,781","1,384","2,007","1,911","1,942","2,254","2,261","2,540","2,658","2,706"
200m2以上300m2未満／面積（m2）,"435,055","336,333","488,194","462,701","474,210","546,060","547,253","616,938","640,130","652,243"
300m2以上500m2未満／件数（件）,"1,483","1,219","1,598","1,582","1,526","1,732","1,724","1,861","1,804","1,932"
300m2以上500m2未満／面積（m2）,"565,754","461,649","606,824","601,257","579,455","657,157","657,279","701,084","681,179","726,793"
500m2以上1000m2未満／件数（件）,863,853,990,916,812,967,986,867,959,945
500m2以上1000m2未満／面積（m2）,"599,213","619,940","680,462","631,151","551,000","659,629","670,658","591,152","653,553","638,298"
1000m2以上2000m2未満／件数（件）,287,226,310,273,295,309,242,234,243,204
1000m2以上2000m2未満／面積（m2）,"399,904","318,820","421,810","364,118","394,323","412,786","324,110","313,610","326,004","270,698"
2000m2以上5000m2未満／件数（件）,206,141,116,148,87,97,99,75,76,62
2000m2以上5000m2未満／面積（m2）,"708,444","403,414","331,582","479,272","250,490","276,733","294,875","223,153","219,581","169,227"
5000m2以上10000m2未満／件数（件）,46,38,31,25,14,25,19,15,15,11
5000m2以上10000m2未満／面積（m2）,"302,606","278,418","219,201","166,965","96,840","177,110","130,930","108,652","112,172","68,183"
10000m2以上／件数（件）,34,18,82,16,6,11,11,10,8,4
10000m2以上／面積（m2）,"858,525","471,839","1,459,302","360,476","93,259","150,125","185,910","176,783","172,690","55,400"
合計／件数（件）,"24,772","20,638","25,856","25,293","29,529","35,258","34,353","36,810","37,452","40,323"
合計／面積（m2）,"5,194,957","3,951,591","5,545,331","4,402,040","3,803,399","4,516,242","4,504,142","4,641,530","4,825,192","4,773,700"
