区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,10743,9,772,2,332,10,16,0,11075,9,788,2
八王子市／200m2未満,66752,57,9872,32,597,17,90,1,67349,56,9962,26
八王子市／300m2未満,22510,19,5234,17,409,12,100,1,22919,19,5334,14
八王子市／500m2未満,7751,7,2899,9,560,16,218,3,8311,7,3117,8
八王子市／1000m2未満,4654,4,3210,10,615,18,439,6,5269,4,3649,9
八王子市／2000m2未満,2325,2,3117,10,406,12,565,7,2731,2,3682,10
八王子市／5000m2未満,1127,1,3272,11,285,8,886,12,1412,1,4157,11
八王子市／10000m2未満,142,0,896,3,127,4,890,12,269,0,1786,5
八王子市／10000m2以上,91,0,1764,6,116,3,4396,58,207,0,6161,16
八王子市／計,116095,100,31035,100,3447,100,7600,100,119542,100,38635,100
立川市／100m2未満,6663,21,493,6,177,13,11,0,6840,21,504,5
立川市／200m2未満,18139,58,2352,30,335,25,49,2,18474,56,2400,22
立川市／300m2未満,2753,9,662,8,178,13,44,1,2931,9,706,6
立川市／500m2未満,1765,6,657,8,195,15,75,2,1960,6,732,7
立川市／1000m2未満,959,3,670,9,201,15,145,5,1160,4,815,7
立川市／2000m2未満,616,2,872,11,124,9,172,6,740,2,1045,10
立川市／5000m2未満,414,1,1278,16,79,6,233,8,493,2,1511,14
立川市／10000m2未満,76,0,496,6,24,2,172,6,100,0,668,6
立川市／10000m2以上,18,0,395,5,27,2,2117,70,45,0,2512,23
立川市／計,31403,100,7875,100,1340,100,3017,100,32743,100,10893,100
武蔵野市／100m2未満,5064,23,351,7,150,14,10,1,5214,23,361,6
武蔵野市／200m2未満,10668,48,1488,29,271,26,40,3,10939,47,1528,24
武蔵野市／300m2未満,3115,14,752,15,163,15,40,3,3278,14,791,13
武蔵野市／500m2未満,1913,9,717,14,184,17,71,6,2097,9,788,12
武蔵野市／1000m2未満,802,4,544,11,142,13,97,8,944,4,642,10
武蔵野市／2000m2未満,311,1,435,9,76,7,109,9,387,2,544,9
武蔵野市／5000m2未満,141,1,412,8,46,4,136,11,187,1,549,9
武蔵野市／10000m2未満,31,0,222,4,14,1,99,8,45,0,321,5
武蔵野市／10000m2以上,13,0,187,4,16,2,618,51,29,0,806,13
武蔵野市／計,22058,100,5110,100,1062,100,1220,100,23120,100,6330,100
三鷹市／100m2未満,7804,24,564,8,154,14,9,1,7958,24,573,7
三鷹市／200m2未満,18034,56,2328,32,271,25,40,3,18305,55,2367,27
三鷹市／300m2未満,2987,9,716,10,145,13,36,3,3132,9,752,9
三鷹市／500m2未満,1668,5,632,9,156,14,61,4,1824,5,693,8
三鷹市／1000m2未満,968,3,678,9,166,15,117,8,1134,3,795,9
三鷹市／2000m2未満,457,1,638,9,84,8,116,8,541,2,753,9
三鷹市／5000m2未満,327,1,991,14,78,7,251,18,405,1,1242,14
三鷹市／10000m2未満,79,0,508,7,22,2,144,10,101,0,652,7
三鷹市／10000m2以上,16,0,253,3,17,2,621,45,33,0,875,10
三鷹市／計,32340,100,7307,100,1093,100,1395,100,33433,100,8702,100
青梅市／100m2未満,3616,11,259,2,81,8,4,0,3697,11,263,2
青梅市／200m2未満,17749,52,2490,24,191,18,28,1,17940,51,2518,20
青梅市／300m2未満,4641,14,1125,11,101,10,25,1,4742,14,1150,9
青梅市／500m2未満,3647,11,1391,13,158,15,61,3,3805,11,1453,11
青梅市／1000m2未満,2673,8,1854,18,195,19,137,6,2868,8,1990,16
青梅市／2000m2未満,1191,3,1632,16,138,13,196,9,1329,4,1828,14
青梅市／5000m2未満,452,1,1302,12,98,9,328,15,550,2,1631,13
青梅市／10000m2未満,59,0,377,4,53,5,384,17,112,0,760,6
青梅市／10000m2以上,4,0,53,1,37,4,1053,48,41,0,1106,9
青梅市／計,34032,100,10482,100,1052,100,2217,100,35084,100,12699,100
府中市／100m2未満,11462,26,845,9,203,15,12,0,11665,26,858,7
府中市／200m2未満,22651,52,2943,30,303,22,44,1,22954,51,2988,23
府中市／300m2未満,4337,10,1030,10,164,12,40,1,4501,10,1070,8
府中市／500m2未満,2164,5,816,8,210,15,82,3,2374,5,898,7
府中市／1000m2未満,1410,3,990,10,213,16,152,5,1623,4,1141,9
府中市／2000m2未満,747,2,1041,11,108,8,153,5,855,2,1194,9
府中市／5000m2未満,470,1,1403,14,95,7,275,9,565,1,1678,13
府中市／10000m2未満,67,0,440,4,33,2,230,7,100,0,670682,5
府中市／10000m2以上,16,0,366,4,36,3,2174,69,52,0,2540,19
府中市／計,43324,100,9874,100,1365,100,3163,100,44689,100,13037,100
昭島市／100m2未満,3805,18,277,5,122,15,6,0,3927,18,283,4
昭島市／200m2未満,12306,58,1611,31,134,16,20,1,12440,57,1631,21
昭島市／300m2未満,2116,10,510,10,87,11,22,1,2203,10,532,7
昭島市／500m2未満,1376,7,516,10,113,14,44,2,1489,7,561,7
昭島市／1000m2未満,784,4,549,11,140,17,101,4,924,4,650,8
昭島市／2000m2未満,379,2,528,10,91,11,131,5,470,2,658,9
昭島市／5000m2未満,215,1,642,12,63,8,193,8,278,1,835,11
昭島市／10000m2未満,47,0,302,6,26,3,183,7,73,0,484,6
昭島市／10000m2以上,11,0,274,5,47,6,1780,72,58,0,2054,27
昭島市／計,21039,100,5210,100,823,100,2479,100,21862,100,7689,100
調布市／100m2未満,11564,31,1219,14,288,22,76,4,11852,30,1295,13
調布市／200m2未満,19883,53,2969,35,397,30,160,9,20280,52,3129,30
調布市／300m2未満,3203,9,1074,13,177,13,99,5,3380,9,1173,11
調布市／500m2未満,1531,4,984,12,175,13,152,8,1706,4,1136,11
調布市／1000m2未満,950,3,959639,11,146,11,214,12,1096,3,1173,11
調布市／2000m2未満,363,1,535,6,96,7,224,12,459,1,759,7
調布市／5000m2未満,90,0,276,3,35,3,250,14,125,0,526,5
調布市／10000m2未満,31,0,220,3,7,1,131,7,38,0,351,3
調布市／10000m2以上,13,0,254,3,18,1,507,28,31,0,761,7
調布市／計,37628,100,8491,100,1339,100,1812,100,38967,100,10303,100
町田市／100m2未満,7039,7,506,2,259,11,12,0,7298,8,517,2
町田市／200m2未満,61183,64,8930,37,481,21,72,2,61664,63,9002,32
町田市／300m2未満,15088,16,3527,15,302,13,73,2,15390,16,3600,13
町田市／500m2未満,5793,6,2157,9,321,14,125,3,6114,6,2282,8
町田市／1000m2未満,3094,3,2153,9,369,16,264,6,3463,4,2418,8
町田市／2000m2未満,1604,2,2231,9,260,11,362,8,1864,2,2593,9
町田市／5000m2未満,893,1,2649,11,169,7,513,12,1062,1,3162,11
町田市／10000m2未満,162,0,1045,4,56,2,393,9,218,0,1438,5
町田市／10000m2以上,45,0,1037,4,52,2,2490,58,97,0,3527,12
町田市／計,94901,100,24236,100,2269,100,4305,100,97170,100,28540,100
小金井市／100m2未満,5266,22,389,8,89,13,6,1,5355,22,395,7
小金井市／200m2未満,13347,56,1737,34,154,23,22,3,13501,55,1759,30
小金井市／300m2未満,2738,11,661,13,106,15,26,4,2844,12,687,12
小金井市／500m2未満,1455,6,541,11,115,17,45,7,1570,6,586,10
小金井市／1000m2未満,701,3,481,9,111,16,78,12,812,3,560,10
小金井市／2000m2未満,282,1,390,8,51,7,72,11,333,1,462,8
小金井市／5000m2未満,211,1,639,12,30,4,87,13,241,1,726,13
小金井市／10000m2未満,39,0,238,5,21,3,147,22,60,0,385,7
小金井市／10000m2以上,3,0,45,1,7,1,172,26,10,0,217,4
小金井市／計,24042,100,5122,100,684,100,656,100,24726,100,5778,100
小平市／100m2未満,14884,31,1120,13,440,27,39,2,15324,31,1159,11
小平市／200m2未満,25760,54,3505,41,463,28,128,7,26223,53,3633,35
