区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
千代田区／50m2未満,1239,25,45,8,266,8,9,0,1505,18,54,2
千代田区／100m2未満,1962,39,142,24,672,20,51,2,2634,31,192,6
千代田区／150m2未満,822,16,100,17,515,15,63,2,1337,16,163,5
千代田区／200m2未満,395,8,68,11,354,11,61,2,749,9,130,4
千代田区／300m2未満,300,6,73,12,427,13,105,4,727,9,178,6
千代田区／500m2未満,211,4,79,13,417,12,161,6,628,7,240,8
"千代田区／1,000m2未満",100,2,66,11,319,10,223,9,419,5,289,9
"千代田区／2,000m2未満",14,0,18,3,171,5,244,9,185,2,262,8
"千代田区／5,000m2未満",2,0,8,1,122,4,369,14,124,1,377,12
"千代田区／10,000m2未満",0,0,0,0,43,1,306,12,43,1,306,10
"千代田区／10,000m2以上",0,0,0,0,38,1,977,38,38,0,977,31
千代田区／計,5045,100,599,100,3344,100,2567,100,8389,100,3167,100
中央区／50m2未満,3228,40,114,16,411,10,14,1,3639,30,128,4
中央区／100m2未満,2947,37,208,29,932,22,70,3,3879,31,278,9
中央区／150m2未満,942,12,114,16,680,16,83,3,1622,13,197,6
中央区／200m2未満,355,4,61,9,447,10,77,3,802,7,138,4
中央区／300m2未満,325,4,78,11,557,13,136,6,882,7,213,7
中央区／500m2未満,142,2,53,7,529,12,201,8,671,5,254,8
"中央区／1,000m2未満",68,1,43,6,399,9,283,12,467,4,326,10
"中央区／2,000m2未満",14,0,19,3,198,5,274,11,212,2,293,9
"中央区／5,000m2未満",4,0,11,2,93,2,275,11,97,1,286,9
"中央区／10,000m2未満",0,0,0,0,35,1,249,10,35,0,249,8
"中央区／10,000m2以上",1,0,11,2,26,1,743,31,27,0,754,24
中央区／計,8026,100,713,100,4307,100,2404,100,12333,100,3118,100
港区／50m2未満,2048,15,75,4,335,7,10,0,2383,13,85,1
港区／100m2未満,4696,36,342,18,783,16,60,1,5479,30,402,5
港区／150m2未満,2612,20,318,17,699,14,87,2,3311,18,405,6
港区／200m2未満,1445,11,249,13,541,11,95,2,1986,11,343,5
港区／300m2未満,1272,10,307,16,668,13,165,3,1940,11,472,6
港区／500m2未満,784,6,295,15,718,14,277,5,1502,8,572,8
"港区／1,000m2未満",278,2,184,10,581,12,407,8,859,5,591,8
"港区／2,000m2未満",71,1,92,5,326,6,449,8,397,2,541,7
"港区／5,000m2未満",17,0,53,3,222,4,680,13,239,1,733,10
"港区／10,000m2未満",0,0,0,0,88,2,613,11,88,0,613,8
"港区／10,000m2以上",0,0,0,0,78,2,2550,47,78,0,2550,35
港区／計,13223,100,1915,100,5039,100,5391,100,18262,100,7307,100
新宿区／50m2未満,4734,14,170,4,458,9,13,0,5192,14,182,2
新宿区／100m2未満,12109,37,883,18,862,16,66,2,12971,34,948,11
新宿区／150m2未満,6401,19,779,16,781,15,96,3,7182,19,875,11
新宿区／200m2未満,3710,11,640,13,555,11,96,3,4265,11,736,9
新宿区／300m2未満,3141,10,759,16,744,14,181,5,3885,10,940,11
新宿区／500m2未満,1963,6,734,15,765,15,294,9,2728,7,1027,12
"新宿区／1,000m2未満",693,2,456,9,564,11,390,11,1257,3,846,10
"新宿区／2,000m2未満",153,0,204,4,286,5,395,11,439,1,600,7
"新宿区／5,000m2未満",40,0,119,2,160,3,477,14,200,1,596,7
"新宿区／10,000m2未満",8,0,53,1,47,1,314,9,55,0,367,4
