年（昭和・平成）,供給戸数／区部(戸),供給戸数／多摩(戸),供給戸数／都(戸),１戸当たり平均住戸専有面積／区部(m2),１戸当たり平均住戸専有面積／多摩(m2),１戸当たり平均住戸専有面積／都(m2),１戸当たり平均住戸価格／区部(万円),１戸当たり平均住戸価格／多摩(万円),１戸当たり平均住戸価格／都(万円),平均住戸価格の対前年上昇率／区部(％),平均住戸価格の対前年上昇率／多摩(％),平均住戸価格の対前年上昇率／都(％),１㎡当たり平均単価／区部(m2),１㎡当たり平均単価／多摩(m2),１㎡当たり平均単価／都(m2),平均単価の対前年上昇率／区部(％),平均単価の対前年上昇率／多摩(％),平均単価の対前年上昇率／都(％)
58,22505,4307,26812,49.79,59.33,51.32,2647,2585,2637,-3.3,2.1,-3,53.2,43.6,51.4,0.6,0.5,-1
59,18314,3413,21727,53.96,61.68,55.17,2744,2518,2709,3.7,-2.6,2.7,50.9,40.8,49.1,-4.323308271,-6.422018349,-4.474708171
60,13743,3317,17060,56.24,61.51,57.27,3016,2545,2924,9.9,1.1,7.9,53.6,41.4,51.1,5.304518664,1.470588235,4.073319756
61,10021,2285,12306,59.31,63.96,60.18,3313,2713,3201,9.8,6.6,9.5,55.8,42.4,53.2,4.104477612,2.415458937,4.109589041
62,9277,2769,12046,54.41,63.42,56.48,4791,3378,4466,44.6,24.5,39.5,88.1,53.3,79.1,57.88530466,25.70754717,48.68421053
63,5824,2377,8201,57.19,77.5,63.07,7183,5219,6613,49.9,54.5,48.1,125.6,67.3,104.9,42.56526674,26.26641651,32.61694058
元,6794,2426,9220,56.5,59.74,57.35,8125,5140,7340,13.1,-1.5,11,143.8,86,128,14.49044586,27.78603269,22.02097235
2,7225,3154,10379,55.53,59.15,56.63,8481,6150,7773,4.4,19.6,5.9,152.7,104,137.3,6.189151599,20.93023256,7.265625
3,4748,2183,6931,55.8,62.37,57.87,8667,6088,7855,2.2,-1,1.1,155.3,97.6,135.7,1.702685003,-6.153846154,-1.165331391
4,5657,1982,7639,55.88,59.6,56.85,6941,4852,6399,-19.9,-20.3,-18.5,124.2,81.4,112.6,-20.0257566,-16.59836066,-17.02284451
5,8204,3201,11405,56.57,61.43,57.94,5344,4721,5169,-23,-2.7,-19.2,94.5,76.9,89.2,-23.91304348,-5.528255528,-20.78152753
6,20304,7234,27538,60.58,63.32,61.3,5200,4629,5050,-2.694610778,-1.948739674,-2.3,85.8,73.1,82.4,-9.206349206,-4.941482445,-7.6
7,23466,10032,33498,62.93,66.84,64.1,4665,4389,4583,-10.3,-5.18470512,-9.2,74.1,65.7,71.5,-13.63636364,-10.12311902,-13.22815534
8,25902,8803,34705,65.58,70.9,66.93,4888,4384,4760,4.8,-0.1,3.9,74.5,61.8,71.1,0.539811066,-5.9,-0.6
9,22877,7862,30739,66.16,71.04,67.41,5133,4288,4917,5.1,-2.2,3.3,77.6,60.4,72.9,4.161073826,-2.3,2.5
10,22035,6968,29003,66.55,72.48,67.97,4815,4180,4662,-6.195207481,-2.518656716,-5.186089079,72.3,57.7,68.6,-6.829896907,-4.470198675,-5.898491084
11,31321,9034,40355,67.62,72.99,68.82,4723,4125,4589,-1.910695742,-1.315789474,-1.565851566,69.84619934,56.5,66.7,-3.457814661,-2.079722704,-2.7696793
12,35318,10274,45592,70.15,77.67,71.84,4632,3966,4482,-1.926741478,-3.854545455,-2.331662672,66,51.1,62.4,-5.444126074,-9.557522124,-6.446776612
13,31843,9638,41481,72.25,79.77,74,4723,3835,4517,1.964594128,-3.303076147,0.780901383,65.4,48.1,61,-0.909090909,-5.870841487,-2.243589744
14,31574,10913,42487,73.12,82.45,75.52,4666,3878,4464,-1.206860047,1.12125163,-1.173345141,63.8,47,59.1,-2.44648318,-2.286902287,-3.114754098
15,36340,10548,46888,68.1,80.43,70.87,4599,3786,4416,-1.435919417,-2.372356885,-1.075268817,67.5,47.1,62.3,5.799373041,0.212765957,5.414551607
16,39147,8321,47468,69.59,78.41,71.14,4663,3820,4515,1.391606871,0.898045431,2.241847826,67,48.7,63.5,-0.740740741,3.397027601,1.926163724
17,31025,8962,39987,71.85,77.49,73.11,4920,3834,4677,5.5114733,0.366492147,3.588039867,68.5,49.5,64,2.23880597,1.642710472,0.787401575
18,23650,7004,30654,72.05,76.53,73.08,5149,3932,4871,4.654471545,2.556077204,4.147958093,71.5,51.4,66.7,4.379562044,3.838383838,4.21875
19,16563,7728,24291,71.45,76.11,72.93,6120,4263,5529,18.85803069,8.418107833,13.50851981,85.6,56,75.8,19.72027972,8.949416342,13.64317841
20,15602,4355,19957,69.54,75.44,70.83,5932,4668,5656,-3.071895425,9.500351865,2.296979562,85.3,61.9,79.9,-0.35046729,10.53571429,5.408970976
21,16387,3310,19697,65.04,74.19,66.58,5190,4335,5047,-12.50842886,-7.133676093,-10.76732673,79.8,58.4,75.8,-6.447831184,-5.654281099,-5.131414268
22,20393,3447,23840,66.28,74.91,67.53,5497,4474,5349,5.91522158,3.206459054,5.983752724,82.9,59.7,79.2,3.884711779,2.226027397,4.485488127
23,19410,4262,23672,65.84,74.98,67.49,5339,4152,5125,-2.87429507,-7.197139025,-4.187698635,81.1,55.4,75.9,-2.171290712,-7.202680067,-4.166666667
24,19398,4863,24261,65.97,74.38,67.65,5283,4318,5090,-1.048885559,3.998073218,-0.682926829,80.1,58,75.2,-1.233045623,4.693140794,-0.92226614
25,28340,4436,32776,67.64,73.07,68.37,5853,4238,5634,10.78932425,-1.852709588,10.68762279,86.5,58,82.4,7.990012484,0,9.574468085
26,20774,4425,25199,68.63,72.97,69.39,5994,4726,5772,2.409021015,11.5148655,2.449414271,87.3,64.8,83.2,0.924855491,11.72413793,0.970873786
27,18472,5427,23899,68.18,73.48,69.38,6732,4564,6240,12.31231231,-3.427845959,8.108108108,98.7,62.1,89.9,13.05841924,-4.166666667,8.052884615
28,14764,4069,18833,65.97,71.96,67.26,6629,4985,6274,-1.530005942,9.224364592,0.544871795,100.5,69.3,93.3,1.823708207,11.5942029,3.781979978
29,16017,4016,20033,65.46,70.97,66.56,7089,5054,6681,6.939206517,1.384152457,6.487089576,108.3,71.2,100.4,7.76119403,2.741702742,7.609860665
30,15957,3666,19623,62.78,70.28,64.18,7142,5235,6785,0.747637184,3.581321725,1.556653196,113.7,74.5,105.7,4.986149584,4.634831461,5.278884462
31,13737,2537,16274,64.89,69.21,65.56,7286,5487,7006,2.016241949,4.813753582,3.257184967,112.3,79.3,106.8,-1.231310466,6.44295302,1.040681173
