摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,95908,94.3,30439,33.1,94333,94.3,30218,37.8
区部／2000m2以上,5814,5.7,61421,66.9,5689,5.7,49815,62.2
区部／計,101722,100,91860,100,100022,100,80033,100
市部／2000m2未満,28404,88.2,12724,12.3,25229,90,11047,23.9
市部／2000m2以上,3803,11.8,90396,87.7,2810,10,35257,76.1
市部／計,32207,100,103119,100,28039,100,46305,100
区市計／2000m2未満,124312,92.8,43163,22.1,119562,93.4,41266,32.7
区市計／2000m2以上,9617,7.2,151817,77.9,8499,6.6,85072,67.3
区市計／計,133929,100,194980,100,128061,100,126338,100
