区市名,合計／個人(千m2),合計／法人(千m2),合計／合計(千m2),宅地／個人(千m2),宅地／法人(千m2),宅地／合計(千m2),農地／個人(千m2),農地／法人(千m2),農地／合計(千m2),山林／個人(千m2),山林／法人(千m2),山林／合計(千m2),その他／個人(千m2),その他／法人(千m2),その他／合計(千m2)
千代田区,1089,2971,4060,1089,2563,3652,0,0,0,0,0,0,0,408,408
中央区,1551,2399,3950,1551,2392,3942,0,0,0,0,0,0,0,7,7
港区,3930,6057,9987,3929,5414,9343,0,0,0,0,0,0,0,643,644
新宿区,6323,3842,10165,6322,3540,9862,0,0,0,0,0,0,1,302,303
文京区,4186,1763,5950,4186,1693,5879,0,0,0,0,0,0,0,71,71
台東区,2841,1961,4803,2841,1693,4534,0,0,0,0,0,0,0,268,268
墨田区,4686,2402,7088,4686,2155,6840,0,0,0,0,0,0,0,248,248
江東区,6431,9180,15612,6431,8515,14946,0,0,0,0,0,0,0,665,665
品川区,7459,6149,13608,7459,4043,11502,0,0,0,0,0,0,0,2106,2106
目黒区,7116,2160,9276,7089,2024,9113,20,2,22,5,0,5,2,134,135
大田区,18086,7696,25782,18052,6964,25015,26,0,26,5,6,11,3,727,730
世田谷区,29989,6764,36753,29030,6056,35086,909,0,909,30,19,50,20,688,709
渋谷区,5205,3276,8480,5205,2918,8122,0,0,0,0,0,0,0,358,358
中野区,8396,1956,10351,8375,1693,10068,21,0,21,0,1,1,0,262,262
杉並区,19161,3214,22376,18805,2842,21647,342,0,342,8,3,11,6,370,376
豊島区,5933,2229,8162,5933,1854,7787,0,0,0,0,0,0,0,375,376
北区,6822,3627,10449,6815,2731,9545,3,0,3,4,3,7,0,894,894
荒川区,4054,1804,5858,4054,1313,5367,0,0,0,0,0,0,0,491,491
板橋区,13800,4695,18495,13652,4435,18087,126,0,126,14,6,20,9,253,262
練馬区,27281,3674,30955,25376,3285,28660,1834,8,1841,24,3,27,48,379,427
足立区,22293,6197,28491,21845,5507,27352,432,1,433,0,0,0,16,689,705
葛飾区,14031,3369,17400,13722,2862,16584,298,0,299,0,0,0,11,506,517
江戸川区,18972,5053,24024,18525,4778,23302,419,0,420,0,0,0,28,275,302
区部計,239636,92439,332075,234969,81267,316236,4431,11,4442,92,42,133,144,11119,11264
八王子市,62807,27581,90388,31107,7584,38691,7658,93,7751,18644,13056,31700,5398,6848,12246
立川市,10384,3522,13906,7888,3016,10905,2429,3,2432,23,2,25,45,501,546
武蔵野市,5403,1380,6783,5115,1218,6333,260,0,260,0,0,0,28,162,190
三鷹市,8814,1372,10186,7360,1267,8627,1403,3,1406,12,0,12,38,102,140
青梅市,41290,19071,60361,10519,2228,12748,4336,52,4388,23891,10332,34223,2544,6458,9003
府中市,11092,4051,15143,9889,3173,13061,1142,3,1145,0,0,0,61,875,937
昭島市,5860,3337,9197,5228,2460,7688,580,3,583,37,121,159,15,753,767
調布市,9877,2077,11954,8529,1794,10324,1169,4,1173,18,4,22,160,275,435
町田市,34315,7413,41728,24394,4235,28629,4855,41,4896,4190,1253,5442,877,1884,2761
小金井市,5761,901,6662,5134,667,5801,607,2,609,14,41,55,6,191,197
小平市,10429,2699,13128,8627,1786,10414,1667,14,1681,13,1,14,122,898,1020
日野市,11110,3291,14401,8913,2486,11399,1318,10,1328,424,112,536,455,683,1138
東村山市,8534,1370,9905,6872,945,7817,1381,4,1385,82,20,102,199,402,601
国分寺市,6693,1361,8055,5351,1150,6501,1278,2,1280,34,0,35,30,209,239
国立市,3917,850,4767,3387,761,4147,501,2,503,11,0,11,18,88,106
福生市,3234,669,3903,3101,541,3642,105,1,106,14,0,14,14,127,141
狛江市,3563,424,3987,3108,362,3470,350,4,354,5,3,8,101,55,156
東大和市,5206,848,6054,4484,747,5231,539,0,539,157,28,185,26,73,98
清瀬市,5085,825,5910,3132,602,3734,1784,3,1787,45,18,63,125,202,327
東久留米市,7159,1258,8417,5654,1136,6790,1406,1,1407,36,9,44,63,112,175
武蔵村山市,7162,1686,8847,4607,910,5517,1720,7,1727,359,79,438,476,690,1166
多摩市,6705,3448,10153,6018,2209,8227,347,6,353,99,225,324,241,1008,1249
稲城市,5871,3441,9312,4044,1038,5082,1195,5,1200,479,588,1068,152,1810,1962
羽村市,4119,1962,6081,3611,1870,5481,356,2,358,76,17,92,76,73,149
あきる野市,30754,6838,37593,7529,918,8447,5153,55,5208,15218,3094,18312,2855,2771,5626
西東京市,9079,1393,10472,7828,1142,8971,1175,1,1176,3,1,4,71,249,320
市部計,324223,103069,427293,201428,46246,247674,44716,321,45037,63884,29005,92888,14196,27497,41694
合計,563859,195509,759368,436397,127513,563910,49146,332,49479,63975,29046,93022,14341,38617,52957
