区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),198,59,25,7,3,1,0,0,0,0,0,293
千代田区／面積(m2),4776,4101,3110,1200,669,363,0,0,0,0,0,14219
中央区／件数(件),341,95,22,10,5,1,1,0,0,0,0,475
中央区／面積(m2),7122,6508,2612,1740,1185,390,941,0,0,0,0,20498
港区／件数(件),438,156,76,30,26,14,4,1,0,0,0,745
港区／面積(m2),8358,11168,9215,5131,6190,5213,2435,1564,0,0,0,49274
新宿区／件数(件),1004,532,238,124,85,47,12,0,1,0,0,2043
新宿区／面積(m2),19220,37969,29064,21162,19994,17352,8174,0,2472,0,0,155407
文京区／件数(件),627,308,138,69,42,15,6,0,0,0,0,1205
文京区／面積(m2),12778,22085,16779,12070,9792,5551,4342,0,0,0,0,83397
台東区／件数(件),609,307,120,45,28,14,1,1,0,0,0,1125
台東区／面積(m2),15052,21339,14506,7566,6613,5530,519,1076,0,0,0,72201
墨田区／件数(件),758,457,154,73,50,42,10,5,1,0,0,1550
墨田区／面積(m2),16388,32307,18862,12705,11965,15603,6454,7020,2022,0,0,123326
江東区／件数(件),680,413,133,49,35,30,9,2,0,0,0,1351
江東区／面積(m2),14231,29236,15781,8434,8540,11268,6278,2425,0,0,0,96193
品川区／件数(件),1175,638,277,121,97,32,10,2,0,0,0,2352
品川区／面積(m2),22291,45380,33053,20705,23303,11799,6608,2762,0,0,0,165901
目黒区／件数(件),755,435,229,148,92,47,18,3,0,0,0,1727
目黒区／面積(m2),13534,31639,27940,25515,22131,17425,12394,4351,0,0,0,154929
大田区／件数(件),2129,1159,697,340,311,156,48,9,0,0,0,4849
大田区／面積(m2),41336,83483,84361,58425,75322,58137,32066,10780,0,0,0,443910
世田谷区／件数(件),2316,1419,993,574,451,229,116,42,3,0,0,6143
世田谷区／面積(m2),41998,104385,120124,98821,107785,85769,75830,54170,8328,0,0,697210
渋谷区／件数(件),641,314,178,101,49,25,10,0,0,0,0,1318
渋谷区／面積(m2),11558,22281,21652,17344,11573,9879,6229,0,0,0,0,100516
中野区／件数(件),1060,625,394,194,160,77,27,9,0,0,0,2546
中野区／面積(m2),20465,44783,47714,33103,38012,28242,18591,12847,0,0,0,243757
杉並区／件数(件),2169,1227,786,460,362,199,66,19,1,0,0,5289
杉並区／面積(m2),39578,89347,95854,79437,86996,73899,44751,24663,2646,0,0,537171
豊島区／件数(件),853,450,248,104,95,46,17,1,0,0,0,1814
豊島区／面積(m2),16384,32995,30103,17885,22795,16890,11034,1412,0,0,0,149498
北区／件数(件),1039,567,268,130,103,46,24,5,0,0,0,2182
北区／面積(m2),20395,39948,32309,22205,24748,17252,17075,7109,0,0,0,181041
荒川区／件数(件),818,354,151,67,50,30,12,3,0,0,0,1485
荒川区／面積(m2),16358,25422,17968,11648,12142,11115,7483,3424,0,0,0,105560
板橋区／件数(件),1458,863,430,201,176,120,71,9,2,0,0,3330
板橋区／面積(m2),25830,62263,51738,34891,43075,46073,48054,11894,5777,0,0,329595
練馬区／件数(件),3324,1700,1045,525,461,291,160,64,13,1,0,7584
練馬区／面積(m2),55288,124757,125568,90598,111075,109744,111899,84190,30428,5412,0,848959
足立区／件数(件),2483,1292,627,341,323,240,193,40,3,0,0,5542
足立区／面積(m2),44477,94123,75877,58705,78449,92481,131676,52442,7381,0,0,635611
葛飾区／件数(件),1571,865,398,185,169,169,77,16,0,0,0,3450
葛飾区／面積(m2),30729,61161,47520,32075,41723,64278,50062,19877,0,0,0,347425
江戸川区／件数(件),2434,1202,491,294,314,234,189,26,3,0,0,5187
江戸川区／面積(m2),48727,85213,59510,50536,76938,88503,132943,32128,8629,0,0,583127
合計／件数(件),28880,15437,8118,4192,3487,2105,1081,257,27,1,0,63585
合計／面積(m2),546873,1111893,981220,721901,841015,792756,735838,334134,67683,5412,0,6138725
