区市町村名,合計面積(千m2),住宅地区／面積(千m2),住宅地区／構成比(%),商業地区／面積(千m2),商業地区／構成比(%),工業地区／面積(千m2),工業地区／構成比(%),その他／面積(千m2),その他／構成比(%)
区部／千代田区,3655,495,13.5,3161,86.5,0,0,0,0
区部／中央区,3934,1340,34.1,2479,63,115,2.9,0,0
区部／港区,9315,6084,65.3,3019,32.4,213,2.3,0,0
区部／新宿区,9879,8590,87,1197,12.1,91,0.9,0,0
区部／文京区,5876,5092,86.7,734,12.5,50,0.8,0,0
区部／台東区,4535,2035,44.9,2499,55.1,0,0,0,0
区部／墨田区,6849,5211,76.1,461,6.7,1178,17.2,0,0
区部／江東区,14612,10042,68.7,711,4.9,3859,26.4,0,0
区部／品川区,10643,9369,88,799,7.5,475,4.5,0,0
区部／目黒区,9121,8790,96.4,331,3.6,0,0,0,0
区部／大田区,24764,22406,90.5,315,1.3,2043,8.2,0,0
区部／世田谷区,34841,34622,99.4,219,0.6,0,0,0,0
区部／渋谷区,8122,6855,84.4,1267,15.6,0,0,0,0
区部／中野区,10079,9903,98.3,176,1.7,0,0,0,0
区部／杉並区,21644,21461,99.2,183,0.8,0,0,0,0
区部／豊島区,7801,6855,87.9,946,12.1,0,0,0,0
区部／北区,9559,8741,91.4,204,2.1,615,6.4,0,0
区部／荒川区,5382,4505,83.7,160,3,717,13.3,0,0
区部／板橋区,18068,16590,91.8,157,0.9,1321,7.3,0,0
区部／練馬区,28502,28431,99.8,71,0.2,0,0,0,0
区部／足立区,27346,25075,91.7,355,1.3,1916,7,0,0
区部／葛飾区,16589,15629,94.2,410,2.5,550,3.3,0,0
区部／江戸川区,23117,21933,94.9,340,1.5,844,3.7,0,0
区部計,314232,280052,89.1,20195,6.4,13985,4.5,0,0
市部／八王子市,38568,31978,82.9,596,1.5,1509,3.9,4484,11.6
市部／立川市,10868,9061,83.4,710,6.5,1097,10.1,0,0
市部／武蔵野市,6325,5535,87.5,613,9.7,177,2.8,0,0
市部／三鷹市,8705,8091,93,310,3.6,296,3.4,7,0.1
市部／青梅市,12670,10204,80.5,183,1.4,1207,9.5,1076,8.5
市部／府中市,13007,10633,81.8,299,2.3,2075,16,0,0
市部／昭島市,7581,5915,78,511,6.7,1155,15.2,0,0
市部／調布市,10260,9714,94.7,302,2.9,245,2.4,0,0
市部／町田市,28475,26512,93.1,684,2.4,579,2,700,2.5
市部／小金井市,5778,5584,96.6,188,3.3,6,0.1,0,0
市部／小平市,10323,9369,90.8,256,2.5,698,6.8,0,0
市部／日野市,11336,9407,83,115,1,1814,16,0,0
市部／東村山市,7778,7127,91.6,191,2.5,460,5.9,0,0
市部／国分寺市,6424,6059,94.3,125,1.9,241,3.7,0,0
市部／国立市,4138,3759,90.8,175,4.2,204,4.9,1,0
市部／福生市,3625,3325,91.7,185,5.1,115,3.2,0,0
市部／狛江市,3450,3174,92,167,4.9,108,3.1,0,0
市部／東大和市,5195,4834,93,149,2.9,213,4.1,0,0
市部／清瀬市,3678,3464,94.2,125,3.4,88,2.4,1,0
市部／東久留米市,6744,6214,92.1,263,3.9,212,3.1,55,0.9
市部／武蔵村山市,5456,4345,79.6,338,6.2,773,14.2,0,0
市部／多摩市,8168,6997,85.7,1170,14.3,0,0,0,0
市部／稲城市,4958,4660,94,179,3.6,105,2.1,15,0.3
市部／羽村市,5461,3562,65.2,189,3.5,1701,31.2,8,0.1
市部／あきる野市,8372,7008,83.7,108,1.3,394,4.7,862,10.3
市部／西東京市,8901,8477,95.2,260,2.9,164,1.8,0,0
市部計,246243,215007,87.3,8390,3.4,15635,6.3,7210,2.9
西多摩郡／瑞穂町,5010,2413,48.2,128,2.5,1900,37.9,569,11.4
西多摩郡／日の出町,2481,1356,54.7,110,4.4,189,7.6,825,33.3
西多摩郡／檜原村,427,0,0,0,0,0,0,427,100
西多摩郡／奥多摩町,857,128,15,0,0,0,0,729,85
西多摩郡計,8774,3897,44.4,238,2.7,2089,23.8,2550,29.1
多摩地域計,255016,218904,85.8,8628,3.4,17724,7,9760,3.8
区部･多摩計,569248,498956,87.7,28823,5.1,31709,5.6,9760,1.7
