区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),901,1184,1117,1063,1386,1453,1518,1619,1405,1362
50m2未満／面積(m2),15014,18129,17987,17433,23212,25129,26642,27812,23486,24616
50m2以上100m2未満／件数(件),273,321,301,319,383,504,468,414,414,382
50m2以上100m2未満／面積(m2),19887,23147,21503,22490,27115,36388,33776,29161,29140,27253
100m2以上150m2未満／件数(件),120,156,171,177,161,197,205,202,141,175
100m2以上150m2未満／面積(m2),14348,19143,20730,21147,19217,23502,24669,24213,16849,20952
150m2以上200m2未満／件数(件),52,75,71,76,90,85,88,68,71,91
150m2以上200m2未満／面積(m2),9033,13205,12283,13304,15572,14444,15283,11771,12081,15771
200m2以上300m2未満／件数(件),46,78,70,71,69,76,117,54,64,88
200m2以上300m2未満／面積(m2),11278,18929,16551,17268,16663,18247,28105,12905,15726,21301
300m2以上500m2未満／件数(件),39,84,44,65,95,53,54,49,33,47
300m2以上500m2未満／面積(m2),14750,32448,16118,24760,36410,20185,19949,18425,13290,17839
500m2以上1000m2未満／件数(件),21,62,40,64,61,69,35,50,47,51
500m2以上1000m2未満／面積(m2),15282,44519,28580,44445,44129,50480,25441,35903,33108,35415
1000m2以上2000m2未満／件数(件),16,34,22,29,36,32,17,18,14,16
1000m2以上2000m2未満／面積(m2),20975,46749,29429,36597,48991,44325,22992,26045,19820,24307
2000m2以上5000m2未満／件数(件),10,12,12,10,24,11,12,5,7,5
2000m2以上5000m2未満／面積(m2),31494,34323,37350,30398,70118,34072,36093,15750,18787,12735
5000m2以上10000m2未満／件数(件),8,6,5,6,7,2,2,4,7,1
5000m2以上10000m2未満／面積(m2),55036,41597,32050,44632,50584,11084,17071,35069,53604,9126
10000m2以上／件数(件),3,5,3,1,2,1,1,3,0,0
10000m2以上／面積(m2),133978,81625,52765,11910,34685,11910,12499,61242,0,0
合計／件数(件),1489,2017,1856,1881,2314,2483,2517,2486,2203,2218
合計／面積(m2),341074,373814,285346,284384,386696,289766,262520,298296,235891,209315
