摘要,全地目／所有者数（人）,全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数（人）,宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,86236,93.9,28308,31.3,86207,94.0,28300,35.9
区部／2000m2以上,5556,6.1,62056,68.7,5509,6.0,50496,64.1
区部／計,91792,100.0,90364,100.0,91716,100.0,78797,100.0
市部／2000m2未満,27152,88.0,12439,12.2,23318,89.5,10211,22.5
市部／2000m2以上,3713,12.0,89460,87.8,2735,10.5,35188,77.5
市部／計,30865,100.0,101899,100.0,26053,100.0,45399,100.0
区市計／2000m2未満,113388,92.4,40748,21.2,109525,93.0,38512,31.0
区市計／2000m2以上,9269,7.6,151516,78.8,8244,7.0,85684,69.0
区市計／計,122657,100.0,192263,100.0,117769,100.0,124196,100.0
