順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,焼津－９－２,静岡県,利右衛門字地蔵森２７２６番６５外,19000,18000,-5.3
2,石狩－９－１,北海道,新港南１丁目２８番６９,4300,4100,-4.7
3,秋田－９－１,秋田県,土崎港相染町字浜ナシ山６番２９,8100,7750,-4.3
4,赤穂－９－３,兵庫県,中広字東沖１４５５番７外,42500,40800,-4
4,秋田－９－２,秋田県,向浜１丁目１番５９外,5100,4900,-3.9
6,横須賀－９－４,神奈川県,長瀬３丁目８５５番４,67500,65000,-3.7
7,松阪－９－１,三重県,大口町字新地１７２８番２１,16600,16000,-3.6
8,駿河－９－４,静岡県,用宗１丁目２７１番,48700,47000,-3.5
9,赤穂－９－２,兵庫県,木津字稲荷山１３２５番７２外,17500,16900,-3.4
10,津－９－２,三重県,雲出伊倉津町字二十一割１４３０番１外,12200,11800,-3.3
