区分,平成２９年／民有地面積Ａ(千m2),平成２９年／区分所有土地Ｂ(千m2),平成２９年／非区分所有土地Ｃ(千m2),平成２９年／B/A(%),平成２８年／民有地面積Ｄ(千m2),平成２８年／区分所有土地Ｅ(千m2),平成２８年／非区分所有土地Ｆ(千m2),平成２８年／E/D(%),平成２９年－平成２８年／民有地面積Ａ－Ｄ(千m2),"平成２９年－平成２８年／区分所有
土地
Ｂ－Ｅ(千m2)",平成２９年－平成２８年／非区分所有土地Ｃ－Ｆ(千m2),"平成２９年－平成２８年／B/A
-
E/D(%)"
千代田区,4012,489,3523,12.2,4004,482,3523,12,8,7,0,0.2
中央区,3970,786,3184,19.8,3998,737,3261,18.4,-28,49,-77,1.4
港区,9970,1949,8020,19.6,9904,1904,8000,19.2,66,46,20,0.3
新宿区,10046,1597,8449,15.9,10049,1578,8472,15.7,-3,20,-23,0.2
文京区,5954,897,5057,15.1,5957,881,5076,14.8,-3,16,-19,0.3
台東区,4804,472,4333,9.8,4805,455,4350,9.5,-1,17,-17,0.3
墨田区,7096,851,6245,12,7097,833,6264,11.7,-2,18,-19,0.3
江東区,15970,2450,13519,15.3,16106,2398,13708,14.9,-136,53,-189,0.5
品川区,13238,1654,11584,12.5,13054,1631,11423,12.5,183,23,161,0
目黒区,9276,1027,8249,11.1,9276,1011,8265,10.9,0,16,-16,0.2
大田区,25785,2418,23367,9.4,25793,2378,23416,9.2,-8,40,-49,0.2
世田谷区,36873,3739,33134,10.1,36875,3671,33203,10,-2,67,-69,0.2
渋谷区,8470,1369,7101,16.2,8468,1350,7117,15.9,3,19,-16,0.2
中野区,10367,929,9438,9,10366,917,9450,8.8,1,12,-12,0.1
杉並区,22401,1596,20804,7.1,22426,1541,20886,6.9,-26,56,-81,0.3
豊島区,8200,799,7401,9.7,8214,788,7426,9.6,-14,11,-26,0.2
北区,10480,830,9650,7.9,10485,801,9683,7.6,-4,29,-33,0.3
荒川区,5896,642,5254,10.9,5911,634,5276,10.7,-14,8,-22,0.2
板橋区,18507,2198,16309,11.9,18494,2163,16331,11.7,13,36,-22,0.2
練馬区,31126,1977,29149,6.4,31162,1947,29215,6.2,-36,30,-66,0.1
足立区,28715,1703,27012,5.9,28797,1673,27124,5.8,-81,30,-112,0.1
葛飾区,17416,1153,16263,6.6,17411,1140,16271,6.5,5,13,-8,0.1
江戸川区,24127,1602,22525,6.6,24132,1560,22573,6.5,-5,43,-48,0.2
区部計,332698,33128,299570,10,332784,32471,300313,9.8,-86,657,-743,0.2
