順位,標準地番号,都道府県,標準地の所在地,平成31年,令和2年,変動率
1,豊見城－９－１,沖縄県,豊見城市字豊崎３番６２,"59,800 ","79,000 ",32.1 
2,糸満－９－１,沖縄県,糸満市西崎町５丁目８番７外,"38,000 ","50,100 ",31.8 
3,鳥栖－９－１,佐賀県,鳥栖市原町字本原１０６０番外,"36,500 ","43,100 ",18.1 
4,枚方－９－１,大阪府,枚方市招提田近１丁目１２番２,"65,500 ","77,000 ",17.6 
5,浦添－９－２,沖縄県,浦添市西洲２丁目４番４,"95,500 ","111,000 ",16.2 
6,那覇－９－１,沖縄県,那覇市港町３丁目７番１０,"118,000 ","136,000 ",15.3 
7,枚方－９－２,大阪府,枚方市春日北町２丁目１２４８番１８,"62,000 ","71,000 ",14.5 
8,枚方－９－３,大阪府,枚方市春日西町２丁目７２９番１９,"59,500 ","68,000 ",14.3 
9,若林－９－１,宮城県,仙台市若林区卸町東４丁目１番１４,"58,000 ","66,000 ",13.8 
10,博多－９－１,福岡県,福岡市博多区上牟田１丁目２３２番,"168,000 ","190,000 ",13.1 
