区分,平成９年中（人）,平成10年中（人）,平成11年中（人）,平成12年中（人）,平成13年中（人）,平成14年中（人）,平成15年中（人）,平成16年中（人）,平成17年中（人）,平成18年中（人）,平成19年中（人）,平成20年中（人）,平成21年中（人）,平成22年中（人）,平成23年中（人）,平成24年中（人）,平成25年中（人）,平成26年中（人）,平成27年中（人）,平成28年中（人）,昭和58年1.1～平成29年1.1（人）
100m2未満,7034,7556,8228,8263,8282,8514,9095,8474,12344,6328,5618,6562,8865,37721,8066,8894,8559,-65,6161,4904,207540
200m2未満,4199,5070,5481,5642,5221,5789,5982,4915,5724,3403,2149,3266,4260,4976,2610,2509,3164,1966,2181,1393,442330
300m2未満,374,542,675,542,515,342,408,255,374,-78,-289,208,362,-3222,41,-337,-306,1145,-365,-576,7424
500m2未満,-75,-67,-49,-163,-30,-169,-71,-347,-41,-416,-581,-79,-21,-2696,-291,-462,-408,1597,-614,-550,-7474
1000m2未満,-269,-222,-217,-245,-225,-154,-263,-265,48,-288,-311,-82,-144,-1353,-183,-308,-342,1452,-345,-361,-8935
2000m2未満,-146,-153,-140,-137,-127,-93,-80,-144,223,-150,-93,-59,-45,-693,-135,-100,-116,863,-113,-189,-4486
5000m2未満,-188,-61,-91,-107,-46,-115,-105,-129,-142,-134,-86,-45,-48,-22,-88,-102,-114,-279,-155,-95,-4133
10000m2未満,-69,-53,-56,-43,-37,-51,-90,-71,-165,-44,-69,-66,-43,95,-44,-58,-47,-227,-29,-33,-2007
10000m2以上,-10,-29,-39,-19,-25,-28,-19,-26,-64,-17,-19,-19,-16,17,-13,-20,-10,-97,-7,-12,-985
計,10850,12583,13792,13733,13528,14035,14857,12662,18301,8604,6319,9686,13170,34823,9963,10016,10380,6355,6714,4481,298401
