区分,1m2当たり平均単価(万円),75m2当たり価格(万円),年収倍率
区部,125.1,9383,11.1
多摩部,80.5,6038,7.2
東京都,114.1,8558,10.2
神奈川県,81.8,6135,7.3
埼玉県,66.7,5003,5.9
千葉県,61.1,4583,5.4
