区市名,所有者数／個人（人）,所有者数／法人（人）,所有者数／計（人）,面積／個人（千ｍ2）,面積／法人（千ｍ2）,面積／計（千ｍ2）,所有者数構成比／個人（％）,所有者数構成比／法人（％）,面積構成比／個人（％）,面積構成比／法人（％）
区部／千代田区,5067,3467,8534,606 ,2917 ,3523 ,59.4 ,40.6 ,17.2 ,82.8 
区部／中央区,8115,4462,12577,728 ,2455 ,3184 ,64.5 ,35.5 ,22.9 ,77.1 
区部／港区,13234,5214,18448,1923 ,6098 ,8020 ,71.7 ,28.3 ,24.0 ,76.0 
区部／新宿区,32918,5427,38345,4868 ,3581 ,8449 ,85.8 ,14.2 ,57.6 ,42.4 
区部／文京区,25730,2789,28519,3307 ,1750 ,5057 ,90.2 ,9.8 ,65.4 ,34.6 
区部／台東区,22589,4513,27102,2457 ,1875 ,4333 ,83.3 ,16.7 ,56.7 ,43.3 
区部／墨田区,29445,3300,32745,3950 ,2295 ,6245 ,89.9 ,10.1 ,63.3 ,36.7 
区部／江東区,29898,4093,33991,3925 ,9594 ,13519 ,88.0 ,12.0 ,29.0 ,71.0 
区部／品川区,41434,3713,45147,5855 ,5729 ,11584 ,91.8 ,8.2 ,50.5 ,49.5 
区部／目黒区,36292,2899,39191,6200 ,2049 ,8249 ,92.6 ,7.4 ,75.2 ,24.8 
区部／大田区,89321,6618,95939,15864 ,7503 ,23367 ,93.1 ,6.9 ,67.9 ,32.1 
区部／世田谷区,130103,6752,136855,26544 ,6590 ,33134 ,95.1 ,4.9 ,80.1 ,19.9 
区部／渋谷区,24104,4498,28602,3918 ,3184 ,7101 ,84.3 ,15.7 ,55.2 ,44.8 
区部／中野区,47755,3165,50920,7606 ,1833 ,9438 ,93.8 ,6.2 ,80.6 ,19.4 
区部／杉並区,93027,4454,97481,17752 ,3053 ,20804 ,95.4 ,4.6 ,85.3 ,14.7 
区部／豊島区,35358,3426,38784,5310 ,2091 ,7401 ,91.2 ,8.8 ,71.7 ,28.3 
区部／北区,39993,2592,42585,6021 ,3629 ,9650 ,93.9 ,6.1 ,62.4 ,37.6 
区部／荒川区,24167,1889,26056,3508 ,1746 ,5254 ,92.8 ,7.2 ,66.8 ,33.2 
区部／板橋区,63941,3955,67896,11824 ,4485 ,16309 ,94.2 ,5.8 ,72.5 ,27.5 
区部／練馬区,120607,4179,124786,25685 ,3465 ,29149 ,96.7 ,3.3 ,88.1 ,11.9 
区部／足立区,101583,4946,106529,20983 ,6029 ,27012 ,95.4 ,4.6 ,77.7 ,22.3 
区部／葛飾区,71468,3388,74856,13060 ,3203 ,16263 ,95.5 ,4.5 ,80.3 ,19.7 
区部／江戸川区,95397,4577,99974,17615 ,4910 ,22525 ,95.4 ,4.6 ,78.2 ,21.8 
区部／区部計,1181546,94316,1275862,209508 ,90062 ,299570 ,92.6 ,7.4 ,69.9 ,30.1 
市部／八王子市,120544,3960,124504,63368 ,27038 ,90405 ,96.8 ,3.2 ,70.1 ,29.9 
市部／立川市,30315,1231,31546,10460 ,3451 ,13912 ,96.1 ,3.9 ,75.2 ,24.8 
市部／武蔵野市,21902,986,22888,5443 ,1333 ,6776 ,95.7 ,4.3 ,80.3 ,19.7 
市部／三鷹市,31895,1023,32918,8771 ,1535 ,10306 ,96.9 ,3.1 ,85.1 ,14.9 
市部／青梅市,35492,1185,36677,41525 ,18825 ,60350 ,96.8 ,3.2 ,68.8 ,31.2 
市部／府中市,44150,1369,45519,11161 ,3975 ,15136 ,97.0 ,3.0 ,73.7 ,26.3 
市部／昭島市,20657,825,21482,5863 ,3245 ,9108 ,96.2 ,3.8 ,64.4 ,35.6 
市部／調布市,36864,1280,38144,9912 ,2117 ,12029 ,96.6 ,3.4 ,82.4 ,17.6 
市部／町田市,99531,2803,102334,34533 ,7397 ,41930 ,97.3 ,2.7 ,82.4 ,17.6 
市部／小金井市,23233,703,23936,5796 ,866 ,6662 ,97.1 ,2.9 ,87.0 ,13.0 
市部／小平市,47428,1585,49013,10480 ,2674 ,13155 ,96.8 ,3.2 ,79.7 ,20.3 
市部／日野市,46822,1572,48394,11221 ,3239 ,14460 ,96.8 ,3.2 ,77.6 ,22.4 
市部／東村山市,32425,797,33222,8614 ,1327 ,9941 ,97.6 ,2.4 ,86.6 ,13.4 
市部／国分寺市,26488,891,27379,6790 ,1290 ,8080 ,96.7 ,3.3 ,84.0 ,16.0 
市部／国立市,13124,586,13710,3955 ,832 ,4787 ,95.7 ,4.3 ,82.6 ,17.4 
市部／福生市,10626,381,11007,3271 ,624 ,3895 ,96.5 ,3.5 ,84.0 ,16.0 
市部／狛江市,17715,613,18328,3570 ,406 ,3975 ,96.7 ,3.3 ,89.8 ,10.2 
市部／東大和市,17954,472,18426,5273 ,785 ,6057 ,97.4 ,2.6 ,87.0 ,13.0 
市部／清瀬市,13965,285,14250,5147 ,759 ,5907 ,98.0 ,2.0 ,87.1 ,12.9 
市部／東久留米市,32694,698,33392,7221 ,1255 ,8476 ,97.9 ,2.1 ,85.2 ,14.8 
市部／武蔵村山市,18922,567,19489,7258 ,1676 ,8934 ,97.1 ,2.9 ,81.2 ,18.8 
市部／多摩市,39583,828,40411,6707 ,3421 ,10128 ,98.0 ,2.0 ,66.2 ,33.8 
市部／稲城市,13714,464,14178,5986 ,3410 ,9396 ,96.7 ,3.3 ,63.7 ,36.3 
市部／羽村市,12599,358,12957,4177 ,1903 ,6080 ,97.2 ,2.8 ,68.7 ,31.3 
市部／あきる野市,27191,685,27876,31323 ,6570 ,37893 ,97.5 ,2.5 ,82.7 ,17.3 
市部／西東京市,54914,3425,58339,9083 ,1364 ,10447 ,94.1 ,5.9 ,86.9 ,13.1 
市部／市部計,890747,29572,920319,326907 ,101318 ,428224 ,96.8 ,3.2 ,76.3 ,23.7 
区部･市部／計,2072293,123888,2196181,536415 ,191380 ,727795 ,94.4 ,5.6 ,73.7 ,26.3 
