順位,標準地番号,都道府県,標準地の所在地,令和２年,令和３年,変動率
1,人吉－2,熊本県,相良町７番２０,"19,200","16,400",-14.6
2,いわき－19,福島県,平下平窪３丁目４番５,"55,300","49,500",-10.5
3,我孫子－10,千葉県,布佐平和台３丁目１４２０番８５,"43,000","39,400",-8.4
4,南知多－9,愛知県,大字片名字新師崎２３番１１,"34,400","31,700",-7.8
5,三浦－4,神奈川県,三崎町小網代字鷺野１３２５番４,"45,000","41,500",-7.8
6,岩見沢－7,北海道,栗沢町最上２番２２,"5,300","4,900",-7.5
7,奈井江－2,北海道,字奈井江５７５番８３,"4,100","3,800",-7.3
8,香美－1,兵庫県,香住区一日市字東畑５４４番１０,"26,500","24,600",-7.2
9,南知多－7,愛知県,大字豊丘字仲島５番,"12,800","11,900",-7.0
10,赤穂－11,兵庫県,御崎字西町３３９番１外,"33,300","31,000",-6.9
