区分,平成4年(ha),平成5年(ha),平成6年(ha),平成7年(ha),平成8年(ha),平成9年(ha),平成10年(ha),平成11年(ha),平成12年(ha),平成13年(ha),平成14年(ha),平成15年(ha),平成16年(ha),平成17年(ha),平成18年(ha),平成19年(ha),平成20年(ha),平成21年(ha),平成22年(ha),平成23年(ha),平成24年(ha),平成25年(ha),平成26年(ha),平成27年(ha),平成28年(ha),平成29年(ha),平成30年(ha),平成31年(ha)
住宅用地,287.6,242.3,213.8,163.4,185.6,163.6,156.6,146.4,160.2,170.8,163.9,194.1,177.2,176.7,169.8,145.5,122.7,112.6,134.1,116.1,104.3,139,135.6,135,137.9,134.6,128.4,120.3
工鉱業用地,9.2,12.3,17.4,18.9,9.8,7.2,7.4,5.3,14.1,1.1,1,1.6,1.8,2.1,2.1,1.8,1.1,0.6,3.3,0.7,0.7,0.8,1.4,0.8,15.8,1.7,1,0.7
学校用地等,30.7,19.1,20.2,12.7,21.8,12.3,0.6,12.3,2.1,15.8,17.8,15.4,15.8,16,14.5,7,11.1,20.4,8.7,12.6,10,12.9,10.5,14.6,8.2,9.7,9.8,11.9
その他,220,107.2,113,99.8,86,72.6,108.4,64.3,78.4,80.5,81.2,74.7,78.5,61.7,109,87.2,58.4,62.1,51.2,51.1,38,57,53.7,67,57.3,54.6,50.7,44.4
計,547.5,380.9,364.5,294.8,303.2,255.7,273,228.3,254.9,268.2,263.9,285.8,273.3,256.5,295.4,241.5,193.3,195.6,197.4,171.1,153,209.7,201.2,217.4,219.2,200.7,189.9,177.3
