区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年
千代田区,100,126.8,187.2,309.3,410.4,421.9,421.9,428.2,425.6,360.5,260.3,182.5,129.4,99.2,87.9,83.9,77.9,73,67.6,62.8,59.8,59.2,66.9,82,88.5,74.6,68.1,66,65.2,65.9,69.4,73.5,78.9,83.8
中央区,100,124.5,179.8,285.9,398.3,407.1,408.7,418.1,416.4,363.5,267.5,181.6,126.9,93.9,83,78.1,71.5,64.2,58.6,54.7,53.1,52.9,60.8,76.5,84.5,71.8,64.1,62.1,61.3,62,66,71,78.4,84.7
港区,100,122.6,170.5,264.4,363,343.4,342.7,354,339.1,290.3,201.8,127.9,92,71.9,65,62.3,56.8,53.8,52.8,52.1,51.5,51.8,64.6,83.1,85.7,71,65.9,62.9,62,63,66.1,71.3,75.8,81.2
新宿区,100,114.6,145.2,237.4,364.6,369.7,373.4,383.9,375.5,323.3,221.5,160.6,120,96.2,88.6,82.7,76.6,73.5,71.7,68.3,65.9,64.7,67.6,82.3,89.5,77,72,69.9,69,69.6,72.2,76.1,80,85.1
文京区,100,107.1,116.6,182.6,290.5,287.3,282.1,283.5,278.4,235.2,186.5,153.7,122.3,93.9,77.9,69.3,62,56.4,53.1,50.5,49.3,48.9,52.2,66.2,68.1,59.7,56.9,54.9,54.4,55.2,57.4,60.6,63.6,68
台東区,100,101.7,112.1,143.9,206.4,205.2,202.5,203.9,200.4,167.9,135.3,114.3,90,69.8,57.8,51.7,46.5,43.6,40.7,38.1,35.8,34.2,35.6,42.4,44.4,39.6,37.3,35.9,35.6,35.7,36.5,37.4,39,41.8
墨田区,100,102.6,106.4,122.7,309.8,338.3,337.3,344.4,330.6,245.3,210,180.2,138.2,108.9,96.5,89.9,82.3,75.4,70.9,67.5,66.2,65.9,67.8,79.4,84.2,76.2,73.3,72,72.3,72.6,74.3,75.7,77.5,80.7
江東区,100,103.4,105.8,130.6,324.9,355.1,356.5,369,360.5,278.7,239.1,207.1,150.1,118.1,102.9,93.2,84.3,76.5,70.7,67.1,66.6,66.4,69.3,83.3,89,80.1,77,75.3,75.1,76,77.9,79.6,81.9,85.7
品川区,100,108.7,122.3,180.8,301.8,303.6,295.7,298.4,295.7,257,197.4,156.7,131.3,113.8,102.3,97.3,92,87.7,84.5,83.4,82.4,81.8,89.5,107.4,110.4,96.7,91,92.2,91.9,92.8,95.1,99.6,102.7,108
目黒区,100,111.5,131.8,213.5,429.1,427.4,424,427.4,421,352.8,272,192.3,142.9,110.5,96.7,89,82.9,79.1,76,73.8,72.1,71.7,79.6,100.6,104.4,92,86.1,84.5,83.8,85,87.6,91.5,97.2,102.1
