順位,標準地番号,都道府県,標準地の所在地,平成31年,令和2年,変動率
1,倶知安－５－１,北海道,虻田郡倶知安町南１条西１丁目４０番１外,"63,500","100,000",57.5
2,那覇－５－８,沖縄県,那覇市久茂地１丁目６番４,"425,000","620,000",45.9
3,大阪中央－５－２,大阪府,大阪市中央区宗右衛門町４６番１外,"19,800,000","28,700,000",44.9
4,那覇－５－１４,沖縄県,那覇市久茂地３丁目１番１,"1,400,000","1,980,000",41.4
5,宮古島－５－１,沖縄県,宮古島市平良字西里羽立３９１番外,"63,600","89,900",41.4
6,豊中－５－６,大阪府,豊中市新千里東町１丁目５番１,"1,260,000","1,780,000",41.3
7,那覇－５－１５,沖縄県,那覇市前島３丁目１番８外,"460,000","642,000",39.6
8,淀川－５－８,大阪府,大阪市淀川区宮原３丁目５番７外,"1,700,000","2,350,000",38.2
9,福岡中央－５－２０,福岡県,福岡市中央区天神４丁目３８番,"1,070,000","1,440,000",34.6
10,台東－５－４,東京都,台東区浅草１丁目１６番１４外,"3,730,000","5,000,000",34
