区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
八王子市／100m2未満,10854 ,10 ,774 ,3 ,299 ,10 ,14 ,0 ,11153 ,10 ,788 ,2 
八王子市／200m2未満,63388 ,56 ,9395 ,31 ,507 ,16 ,77 ,1 ,63895 ,55 ,9472 ,25 
八王子市／300m2未満,22410 ,20 ,5210 ,17 ,367 ,12 ,89 ,1 ,22777 ,20 ,5299 ,14 
八王子市／500m2未満,7764 ,7 ,2906 ,9 ,496 ,16 ,193 ,3 ,8260 ,7 ,3099 ,8 
八王子市／1000m2未満,4704 ,4 ,3253 ,11 ,565 ,18 ,403 ,6 ,5269 ,5 ,3656 ,10 
八王子市／2000m2未満,2362 ,2 ,3182 ,10 ,366 ,12 ,513 ,7 ,2728 ,2 ,3695 ,10 
八王子市／5000m2未満,1144 ,1 ,3301 ,11 ,269 ,9 ,834 ,12 ,1413 ,1 ,4136 ,11 
八王子市／10000m2未満,150 ,0 ,940 ,3 ,117 ,4 ,816 ,11 ,267 ,0 ,1756 ,5 
八王子市／10000m2以上,92 ,0 ,1773 ,6 ,114 ,4 ,4250 ,59 ,206 ,0 ,6023 ,16 
八王子市／計,112868 ,100 ,30733 ,100 ,3100 ,100 ,7190 ,100 ,115968 ,100 ,37923 ,100 
立川市／100m2未満,6494 ,22 ,478 ,6 ,149 ,13 ,9 ,0 ,6643 ,21 ,487 ,5 
立川市／200m2未満,16913 ,56 ,2208 ,28 ,268 ,23 ,39 ,1 ,17181 ,55 ,2247 ,21 
立川市／300m2未満,2765 ,9 ,665 ,9 ,158 ,13 ,39 ,1 ,2923 ,9 ,704 ,7 
立川市／500m2未満,1798 ,6 ,670 ,9 ,170 ,14 ,66 ,2 ,1968 ,6 ,736 ,7 
立川市／1000m2未満,978 ,3 ,683 ,9 ,188 ,16 ,132 ,4 ,1166 ,4 ,816 ,8 
立川市／2000m2未満,632 ,2 ,897 ,11 ,119 ,10 ,167 ,6 ,751 ,2 ,1064 ,10 
立川市／5000m2未満,414 ,1 ,1290 ,17 ,75 ,6 ,214 ,7 ,489 ,2 ,1504 ,14 
立川市／10000m2未満,82 ,0 ,547 ,7 ,24 ,2 ,170 ,6 ,106 ,0 ,716 ,7 
立川市／10000m2以上,16 ,0 ,374 ,5 ,27 ,2 ,2144 ,72 ,43 ,0 ,2519 ,23 
立川市／計,30092 ,100 ,7813 ,100 ,1178 ,100 ,2980 ,100 ,31270 ,100 ,10793 ,100 
武蔵野市／100m2未満,5047 ,23 ,350 ,7 ,131 ,14 ,9 ,1 ,5178 ,23 ,358 ,6 
武蔵野市／200m2未満,10112 ,47 ,1417 ,28 ,241 ,25 ,35 ,3 ,10353 ,46 ,1452 ,23 
武蔵野市／300m2未満,3160 ,15 ,764 ,15 ,144 ,15 ,35 ,3 ,3304 ,15 ,799 ,13 
武蔵野市／500m2未満,1992 ,9 ,748 ,15 ,180 ,19 ,69 ,6 ,2172 ,10 ,817 ,13 
武蔵野市／1000m2未満,820 ,4 ,561 ,11 ,119 ,12 ,81 ,7 ,939 ,4 ,642 ,10 
武蔵野市／2000m2未満,314 ,1 ,439 ,9 ,82 ,9 ,116 ,10 ,396 ,2 ,555 ,9 
武蔵野市／5000m2未満,149 ,1 ,436 ,9 ,34 ,4 ,104 ,9 ,183 ,1 ,540 ,9 
武蔵野市／10000m2未満,29 ,0 ,216 ,4 ,18 ,2 ,125 ,11 ,47 ,0 ,341 ,5 
武蔵野市／10000m2以上,13 ,0 ,188 ,4 ,15 ,2 ,608 ,51 ,28 ,0 ,797 ,13 
武蔵野市／計,21636 ,100 ,5119 ,100 ,964 ,100 ,1182 ,100 ,22600 ,100 ,6301 ,100 
三鷹市／100m2未満,7807 ,25 ,564 ,8 ,143 ,14 ,8 ,1 ,7950 ,25 ,572 ,7 
三鷹市／200m2未満,16759 ,54 ,2183 ,30 ,256 ,25 ,38 ,3 ,17015 ,53 ,2221 ,26 
三鷹市／300m2未満,3071 ,10 ,737 ,10 ,129 ,13 ,32 ,2 ,3200 ,10 ,769 ,9 
三鷹市／500m2未満,1716 ,5 ,650 ,9 ,138 ,14 ,54 ,4 ,1854 ,6 ,704 ,8 
三鷹市／1000m2未満,961 ,3 ,673 ,9 ,156 ,16 ,110 ,8 ,1117 ,3 ,783 ,9 
三鷹市／2000m2未満,480 ,2 ,670 ,9 ,72 ,7 ,101 ,7 ,552 ,2 ,771 ,9 
三鷹市／5000m2未満,339 ,1 ,1022 ,14 ,70 ,7 ,226 ,16 ,409 ,1 ,1249 ,14 
三鷹市／10000m2未満,82 ,0 ,531 ,7 ,23 ,2 ,152 ,11 ,105 ,0 ,684 ,8 
三鷹市／10000m2以上,15 ,0 ,208 ,3 ,19 ,2 ,654 ,48 ,34 ,0 ,862 ,10 
三鷹市／計,31230 ,100 ,7238 ,100 ,1006 ,100 ,1376 ,100 ,32236 ,100 ,8614 ,100 
青梅市／100m2未満,3687 ,11 ,263 ,3 ,66 ,7 ,4 ,0 ,3753 ,11 ,267 ,2 
青梅市／200m2未満,16802 ,51 ,2351 ,23 ,137 ,15 ,21 ,1 ,16939 ,50 ,2372 ,19 
青梅市／300m2未満,4513 ,14 ,1095 ,11 ,86 ,9 ,21 ,1 ,4599 ,14 ,1116 ,9 
青梅市／500m2未満,3635 ,11 ,1384 ,13 ,139 ,15 ,54 ,3 ,3774 ,11 ,1438 ,11 
青梅市／1000m2未満,2658 ,8 ,1850 ,18 ,171 ,19 ,118 ,6 ,2829 ,8 ,1969 ,16 
青梅市／2000m2未満,1218 ,4 ,1677 ,16 ,128 ,14 ,179 ,8 ,1346 ,4 ,1855 ,15 
青梅市／5000m2未満,467 ,1 ,1341 ,13 ,93 ,10 ,310 ,15 ,560 ,2 ,1651 ,13 
青梅市／10000m2未満,61 ,0 ,400 ,4 ,55 ,6 ,388 ,18 ,116 ,0 ,788 ,6 
青梅市／10000m2以上,5 ,0 ,58 ,1 ,36 ,4 ,1040 ,49 ,41 ,0 ,1098 ,9 
青梅市／計,33046 ,100 ,10420 ,100 ,911 ,100 ,2135 ,100 ,33957 ,100 ,12555 ,100 
府中市／100m2未満,10900 ,26 ,796 ,8 ,188 ,15 ,11 ,0 ,11088 ,26 ,807 ,6 
府中市／200m2未満,21515 ,51 ,2825 ,29 ,255 ,21 ,37 ,1 ,21770 ,51 ,2862 ,22 
府中市／300m2未満,4447 ,11 ,1055 ,11 ,127 ,10 ,31 ,1 ,4574 ,11 ,1086 ,8 
府中市／500m2未満,2210 ,5 ,832 ,8 ,190 ,16 ,74 ,2 ,2400 ,6 ,906 ,7 
