区分,1m2当たり平均単価(万円),75m2当たり価格(万円),年収倍率
区部,128.8,9660,11.8
多摩部,79.6,5970,7.3
東京都,119.7,8978,10.9
神奈川県,81.6,6120,7.5
埼玉県,77.7,5828,7.1
千葉県,66.2,4965,6
