区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,2762,33,94,2,355,29,9,0,3117,32,103,1
八王子市／200m2未満,1744,21,255,5,167,14,24,0,1911,20,279,2
八王子市／300m2未満,1082,13,265,5,103,8,25,0,1185,12,291,2
八王子市／500m2未満,1044,12,403,7,163,13,65,1,1207,13,468,4
八王子市／1000m2未満,969,12,674,12,179,15,130,2,1148,12,804,6
八王子市／2000m2未満,497,6,699,13,109,9,151,2,606,6,850,7
八王子市／5000m2未満,219,3,658,12,76,6,230,3,295,3,888,7
八王子市／10000m2未満,44,1,289,5,22,2,142,2,66,1,431,3
八王子市／10000m2以上,51,1,2102,39,54,4,6244,89,105,1,8346,67
八王子市／計,8412,100,5438,100,1228,100,7020,100,9640,100,12459,100
立川市／100m2未満,288,86,3,10,81,78,1,0,369,84,4,1
立川市／200m2未満,16,5,2,7,3,3,0,0,19,4,3,1
立川市／300m2未満,15,4,4,11,1,1,0,0,16,4,4,1
立川市／500m2未満,8,2,3,10,3,3,1,0,11,3,4,1
立川市／1000m2未満,5,1,4,13,3,3,2,0,8,2,7,1
立川市／2000m2未満,1,0,1,4,1,1,1,0,2,0,2,0
立川市／5000m2未満,2,1,6,20,4,4,13,3,6,1,20,4
立川市／10000m2未満,1,0,8,25,0,0,0,0,1,0,8,2
立川市／10000m2以上,0,0,0,0,8,8,472,96,8,2,472,90
立川市／計,336,100,32,100,104,100,492,100,440,100,524,100
武蔵野市／100m2未満,132,89,3,15,8,36,0,0,140,82,3,2
武蔵野市／200m2未満,8,5,1,6,1,5,0,0,9,5,1,1
武蔵野市／300m2未満,2,1,1,3,1,5,0,0,3,2,1,0
武蔵野市／500m2未満,0,0,0,0,2,9,1,0,2,1,1,0
武蔵野市／1000m2未満,1,1,1,3,0,0,0,0,1,1,1,0
武蔵野市／2000m2未満,1,1,1,7,1,5,2,1,2,1,3,2
武蔵野市／5000m2未満,4,3,14,67,1,5,3,2,5,3,16,9
武蔵野市／10000m2未満,0,0,0,0,4,18,29,18,4,2,29,16
武蔵野市／10000m2以上,0,0,0,0,4,18,126,78,4,2,126,69
武蔵野市／計,148,100,20,100,22,100,161,100,170,100,181,100
三鷹市／100m2未満,74,66,2,13,9,60,0,0,83,65,3,2
三鷹市／200m2未満,16,14,2,12,0,0,0,0,16,13,2,2
三鷹市／300m2未満,7,6,2,9,0,0,0,0,7,6,2,1
三鷹市／500m2未満,8,7,3,16,1,7,0,0,9,7,3,3
三鷹市／1000m2未満,4,4,3,15,1,7,1,1,5,4,3,3
三鷹市／2000m2未満,2,2,3,18,0,0,0,0,2,2,3,3
