区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数（件）,200,74,26,8,4,4,4,1,1,0,0,322
千代田区／面積（m2）,4471,5461,3159,1387,996,1407,2781,1246,2006,0,0,22914
中央区／件数（件）,330,92,27,5,11,3,0,0,0,0,0,468
中央区／面積（m2）,6545,6199,3244,808,2725,1302,0,0,0,0,0,20823
港区／件数（件）,386,159,86,41,22,16,2,1,0,0,0,713
港区／面積（m2）,7693,11251,10543,7014,5284,5688,1072,1119,0,0,0,49664
新宿区／件数（件）,875,502,255,137,86,26,10,1,0,0,0,1892
新宿区／面積（m2）,15997,35849,30669,23496,20394,9466,6921,1164,0,0,0,143956
文京区／件数（件）,605,299,156,61,44,21,2,0,0,0,0,1188
文京区／面積（m2）,13081,21754,18576,10609,10861,7147,1340,0,0,0,0,83368
台東区／件数（件）,618,279,111,32,16,8,5,0,0,0,0,1069
台東区／面積（m2）,14619,19256,13421,5260,3931,2870,3607,0,0,0,0,62964
墨田区／件数（件）,729,438,174,66,63,27,14,5,0,0,0,1516
墨田区／面積（m2）,15504,30683,20708,11271,14532,10003,9085,6448,0,0,0,118234
江東区／件数（件）,732,432,182,62,56,37,12,5,0,0,0,1518
江東区／面積（m2）,15656,30861,21692,10661,13549,14073,8080,7212,0,0,0,121784
品川区／件数（件）,1122,563,242,141,82,49,19,6,1,0,0,2225
品川区／面積（m2）,22113,39794,29599,23906,19698,18649,13355,8102,2559,0,0,177775
目黒区／件数（件）,753,423,258,165,129,61,18,1,0,0,0,1808
目黒区／面積（m2）,13250,30884,31569,28439,30354,22630,12005,1049,0,0,0,170180
大田区／件数（件）,1836,1131,659,370,296,162,61,13,1,0,0,4529
大田区／面積（m2）,36298,81440,80456,63770,69918,61167,43471,16534,2826,0,0,455880
世田谷区／件数（件）,2523,1444,981,632,510,332,140,31,5,0,0,6598
世田谷区／面積（m2）,45124,105844,120656,108926,122713,125153,94289,39005,13218,0,0,774928
渋谷区／件数（件）,655,358,159,95,63,25,13,1,0,1,0,1370
渋谷区／面積（m2）,12162,25499,19255,16329,14784,9328,9063,1147,0,5058,0,112625
中野区／件数（件）,1034,613,289,165,141,56,22,5,0,0,0,2325
中野区／面積（m2）,19233,43657,35051,28391,34201,20364,14465,6615,0,0,0,201977
杉並区／件数（件）,1900,1039,696,445,393,183,60,19,1,0,0,4736
杉並区／面積（m2）,34889,76089,85324,76762,95110,69438,40147,27780,2005,0,0,507544
豊島区／件数（件）,822,466,250,124,84,47,12,4,0,0,0,1809
豊島区／面積（m2）,16030,33207,30288,21183,19991,17079,7734,5460,0,0,0,150972
北区／件数（件）,935,564,241,121,87,50,21,2,0,0,0,2021
北区／面積（m2）,19627,39113,29414,20952,21515,18961,13455,3746,0,0,0,166783
荒川区／件数（件）,842,334,138,93,61,28,10,3,0,0,0,1509
荒川区／面積（m2）,16758,23478,16470,15766,14936,10605,6492,3812,0,0,0,108317
板橋区／件数（件）,1344,830,427,234,178,163,75,8,2,0,0,3261
板橋区／面積（m2）,25050,60302,51174,39935,42862,61061,52047,10883,5354,0,0,348668
練馬区／件数（件）,2873,1463,897,423,377,235,131,44,6,2,0,6451
練馬区／面積（m2）,48826,106992,107439,72880,90167,87937,90252,55739,16475,11601,0,688308
足立区／件数（件）,2259,1160,593,273,291,265,162,25,1,0,0,5029
足立区／面積（m2）,42270,83629,72426,47092,70980,101433,111335,32083,2977,0,0,564225
葛飾区／件数（件）,1561,846,398,205,198,138,89,14,1,0,0,3450
葛飾区／面積（m2）,28671,60401,47731,35423,47414,53207,61512,16744,2436,0,0,353539
江戸川区／件数（件）,1955,1109,446,256,259,198,111,16,0,0,0,4350
江戸川区／面積（m2）,39547,77862,53864,43756,62739,75030,75643,20263,0,0,0,448704
合計／件数（件）,26889,14618,7691,4154,3451,2134,993,205,19,3,0,60157
合計／面積（m2）,513414,1049505,932728,714016,829654,803998,678151,266151,49856,16659,0,5854132
