区分,昭和58年,昭和59年,昭和60年,昭和61年,昭和62年,昭和63年,昭和64年, 平成2年, 平成3年, 平成4年, 平成5年, 平成6年, 平成7年, 平成8年, 平成9年, 平成10年, 平成11年, 平成12年, 平成13年, 平成14年, 平成15年, 平成16年, 平成17年, 平成18年, 平成19年, 平成20年, 平成21年, 平成22年, 平成23年, 平成24年, 平成25年, 平成26年, 平成27年, 平成28年, 平成29年, 平成30年
最高価格Ａ（千円／m2）,3246,4087,5605,10514,16474,18480,18555,19135,19258,18246,14293,8937,6336,4716,3943,3924,3754,3622,3485,4108,4085,4099,3943,4271,5239,6526,6519,5251,5492,5351,5504,6307,6922,7294,8291,9010
最低価格Ｂ（千円／m2）,522,538,561,682,1032,1859,1937,1966,1996,1895,1274,1026,859,729,605,551,490,443,409,376,364,357,354,365,421,462,453,435,439,441,413,420,427,434,446,466
倍率（Ａ／Ｂ）,6.2,7.6,10,15.4,16,9.9,9.6,9.7,9.6,9.6,11.2,8.7,7.4,6.5,6.5,7.1,7.7,8.2,8.5,10.9,11.2,11.5,11.1,11.7,12.5,14.1,14.4,12.1,12.5,12.1,13.3,15,16.2,16.8,18.6,19.3
価格差（千円／m2）,2724,3549,5044,9832,15442,16621,16618,17169,17262,16351,13019,7911,5477,3987,3338,3373,3264,3180,3077,3732,3722,3742,3589,3906,4819,6064,6066,4816,5053,4910,5091,5887,6495,6860,7845,8544
区部平均価格（千円／m2）,1496,1751,2344,4218,6982,8238,8245,8508,8607,8195,5846,4012,3000,2291,1913,1806,1681,1579,1513,1651,1621,1606,1604,1728,2111,2595,2409,2075,2024,1973,1949,2101,2226,2369,2603,2800
