区市名,宅地所有者(人),宅地面積(千m2),一人当たり面積(m2)
区部／千代田区,4800,562,117
区部／中央区,7612,679,89
区部／港区,12821,1873,146
区部／新宿区,32724,4702,144
区部／文京区,25928,3252,125
区部／台東区,22239,2356,106
区部／墨田区,29730,3835,129
区部／江東区,30139,3833,127
区部／品川区,41780,5707,137
区部／目黒区,36734,6056,165
区部／大田区,91432,15589,170
区部／世田谷区,132905,25228,190
区部／渋谷区,23900,3802,159
区部／中野区,47896,7440,155
区部／杉並区,94926,17187,181
区部／豊島区,35410,5175,146
区部／北区,40529,5897,145
区部／荒川区,24682,3420,139
区部／板橋区,64645,11436,177
区部／練馬区,122740,23346,190
区部／足立区,103991,20179,194
区部／葛飾区,73282,12580,172
区部／江戸川区,97282,16942,174
区部／区部計,1198127,201076,168
市部／八王子市,115150,30908,268
市部／立川市,30960,7838,253
市部／武蔵野市,21887,5101,233
市部／三鷹市,31968,7261,227
市部／青梅市,33734,10453,310
市部／府中市,42764,9840,230
市部／昭島市,20760,5200,250
市部／調布市,37065,8465,228
市部／町田市,93945,24120,257
市部／小金井市,24041,5123,213
市部／小平市,47080,8571,182
市部／日野市,38473,8832,230
市部／東村山市,32406,6816,210
市部／国分寺市,26658,5281,198
市部／国立市,13348,3388,254
市部／福生市,10588,3102,293
市部／狛江市,17644,3090,175
市部／東大和市,17746,4473,252
市部／清瀬市,14189,3074,217
市部／東久留米市,36361,5584,154
市部／武蔵村山市,18826,4595,244
市部／多摩市,39797,5982,150
市部／稲城市,13058,3948,302
市部／羽村市,12666,3603,284
市部／あきる野市,25152,7481,297
市部／西東京市,54433,7751,142
市部／市部計,870699,199878,230
区部・市部計,2068826,400954,194
