区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,11962,9,823054,1,552,12,22816,0,12514,10,845870,1
八王子市／200m2未満,68758,53,10168531,16,705,16,106238,0,69463,54,10274769,11
八王子市／300m2未満,23154,18,5392717,9,481,11,117550,0,23635,18,5510266,6
八王子市／500m2未満,8503,7,3193249,5,670,15,260928,1,9173,7,3454176,4
八王子市／1000m2未満,5301,4,3660911,6,704,16,507724,2,6005,5,4168634,5
八王子市／2000m2未満,2864,2,3925244,6,474,11,662382,2,3338,3,4587626,5
八王子市／5000m2未満,2171,2,6753092,11,391,9,1248495,5,2562,2,8001587,9
八王子市／10000m2未満,858,1,5973173,10,189,4,1351033,5,1047,1,7324207,8
八王子市／10000m2以上,810,1,22916688,36,276,6,23292664,84,1086,1,46209352,51
八王子市／計,124381,97,62806660,100,4442,100,27569828,100,128823,100,90376488,100
立川市／100m2未満,7242,22,514758,5,314,19,14377,0,7556,22,529135,4
立川市／200m2未満,18748,56,2431164,23,412,24,59522,2,19160,55,2490686,18
立川市／300m2未満,2862,9,687953,7,217,13,52795,1,3079,9,740748,5
立川市／500m2未満,1895,6,709109,7,239,14,91824,3,2134,6,800933,6
立川市／1000m2未満,1118,3,789117,8,217,13,156712,4,1335,4,945829,7
立川市／2000m2未満,758,,1075432,10,144,8,198912,6,902,3,1274344,9
立川市／5000m2未満,554,2,1707298,16,89,5,263321,7,643,2,1970618,14
立川市／10000m2未満,170,1,1161069,11,26,2,176454,5,196,1,1337523,10
立川市／10000m2以上,83,0,1308131,13,37,2,2507387,71,120,0,3815518,27
立川市／計,33430,98,10384032,100,1695,100,3521302,100,35125,100,13905335,100
武蔵野市／100m2未満,5206,23,354957,7,164,15,10446,1,5370,23,365403,5
武蔵野市／200m2未満,10854,48,1513202,28,275,25,40616,3,11129,47,1553817,23
武蔵野市／300m2未満,3107,14,749455,14,164,15,39855,3,3271,14,789310,12
武蔵野市／500m2未満,1914,9,718397,13,196,18,75516,5,2110,9,793913,12
武蔵野市／1000m2未満,815,4,553219,10,130,12,89175,6,945,4,642394,9
武蔵野市／2000m2未満,327,1,458243,8,81,7,113424,8,408,2,571667,8
武蔵野市／5000m2未満,187,1,564452,10,47,4,138826,10,234,1,703277,10
武蔵野市／10000m2未満,39,0,269897,5,19,2,137922,10,58,0,407819,6
武蔵野市／10000m2以上,16,0,220912,4,19,2,734488,53,35,0,955399,14
武蔵野市／計,22465,100,5402733,100,1095,100,1380266,100,23560,100,6783000,100
三鷹市／100m2未満,7993,24,572935,7,185,16,11052,1,8178,23,583987,6
三鷹市／200m2未満,18638,55,2399906,27,294,25,42998,3,18932,54,2442903,24
三鷹市／300m2未満,3092,9,741870,8,162,14,39690,3,3254,9,781560,8
三鷹市／500m2未満,1784,5,674259,8,155,13,60555,4,1939,6,734814,7
三鷹市／1000m2未満,1098,3,768147,9,172,15,118983,9,1270,4,887129,9
三鷹市／2000m2未満,609,2,856567,10,83,7,113807,8,692,2,970374,10
三鷹市／5000m2未満,449,1,1337941,15,73,6,232957,17,522,1,1570898,15
三鷹市／10000m2未満,143,0,962620,11,21,2,142212,10,164,0,1104832,11
三鷹市／10000m2以上,31,0,499521,6,16,1,608689,44,47,0,1108210,11
三鷹市／計,33837,100,8813765,100,1161,100,1370943,100,34998,100,10184708,100
青梅市／100m2未満,3764,10,263217,1,121,9,5641,0,3885,10,268858,0
青梅市／200m2未満,18060,49,2536125,6,184,14,26932,0,18244,48,2563057,4
青梅市／300m2未満,4618,13,1118749,3,90,7,22483,0,4708,12,1141232,2
青梅市／500m2未満,3519,10,1343157,3,156,12,60508,0,3675,10,1403666,2
青梅市／1000m2未満,2664,7,1863377,5,212,16,149230,1,2876,8,2012607,3
青梅市／2000m2未満,1585,4,2219913,5,156,12,226521,1,1741,5,2446434,4
青梅市／5000m2未満,1229,3,3907554,9,131,10,425704,2,1360,4,4333257,7
青梅市／10000m2未満,570,2,3974063,10,76,6,533388,3,646,2,4507452,7
青梅市／10000m2以上,730,2,24063831,58,170,13,17635825,92,900,2,41699657,69
青梅市／計,36739,100,41289986,100,1296,100,19086232,100,38035,100,60376219,100
府中市／100m2未満,13211,29,886312,8,332,21,13995,0,13543,28,900307,6
府中市／200m2未満,23184,50,3006641,27,314,20,46076,1,23498,49,3052717,20
府中市／300m2未満,4367,9,1036837,9,179,11,43269,1,4546,10,1080106,7
府中市／500m2未満,2256,5,851958,8,217,14,84873,2,2473,5,936830,6
府中市／1000m2未満,1539,3,1078604,10,219,14,155450,4,1758,4,1234054,8
府中市／2000m2未満,866,2,1213106,11,118,8,170579,4,984,2,1383686,9
府中市／5000m2未満,621,1,1889000,17,101,6,295411,7,722,2,2184411,14
府中市／10000m2未満,102,0,666764,6,35,2,240668,6,137,0,907432,6
府中市／10000m2以上,24,0,462681,4,46,3,2999582,74,70,0,3462263,23
府中市／計,46170,100,11091902,100,1561,100,4049903,100,47731,100,15141805,100
昭島市／100m2未満,3809,18,277853,5,125,15,6025,0,3934,18,283878,4
昭島市／200m2未満,12510,59,1636596,31,142,17,21162,1,12652,57,1657757,22
昭島市／300m2未満,2108,10,508263,10,90,11,22210,1,2198,10,530473,7
昭島市／500m2未満,1367,6,512134,10,116,14,45745,2,1483,7,557879,7
昭島市／1000m2未満,776,4,541476,10,142,17,100450,4,918,4,641926,8
昭島市／2000m2未満,385,2,536702,10,89,11,127067,5,474,2,663769,9
昭島市／5000m2未満,214,1,634287,12,64,8,193927,8,278,1,828214,11
昭島市／10000m2未満,48,0,309868,6,25,3,177440,7,73,0,487309,6
昭島市／10000m2以上,11,0,270420,5,46,5,1766126,72,57,0,2036546,26
昭島市／計,21228,100,5227599,100,839,100,2460151,100,22067,100,7687751,100
調布市／100m2未満,11907,30,1264509,13,316,22,88246,4,12223,30,1352755,11
調布市／200m2未満,20426,52,3084069,31,424,30,170133,8,20850,51,3254203,27
調布市／300m2未満,3249,8,1164906,12,185,13,110273,5,3434,8,1275179,11
調布市／500m2未満,1652,4,1230324,12,177,13,171819,8,1829,5,1402143,12
調布市／1000m2未満,1173,3,1418744,14,147,10,249327,12,1320,3,1668071,14
調布市／2000m2未満,520,1,858517,9,96,7,265180,13,616,2,1123697,9
調布市／5000m2未満,118,0,375981,4,35,2,282099,14,153,0,658080,6
調布市／10000m2未満,31,0,220295,2,8,1,170866,8,39,0,391161,3
調布市／10000m2以上,13,0,260146,3,21,1,566065,27,34,0,826212,7
調布市／計,39089,100,9877491,100,1409,100,2074009,100,40498,100,11951500,100
町田市／100m2未満,8752,8,569354,2,490,16,18103,0,9242,9,587457,1
町田市／200m2未満,63306,61,9235831,27,591,20,88850,1,63897,60,9324681,22
町田市／300m2未満,15765,15,3692717,11,361,12,87395,1,16126,15,3780112,9
町田市／500m2未満,6632,6,2480917,7,392,13,151977,2,7024,7,2632894,6
町田市／1000m2未満,4080,4,2857065,8,436,14,315967,4,4516,4,3173032,8
町田市／2000m2未満,2464,2,3451712,10,337,11,477604,6,2801,3,3929317,9
町田市／5000m2未満,1721,2,5273659,15,244,8,749435,10,1965,2,6023094,14
町田市／10000m2未満,469,0,3137344,9,83,3,582852,8,552,1,3720196,9
町田市／10000m2以上,188,0,3616673,11,90,3,4950483,67,278,0,8567156,21
町田市／計,103377,100,34315273,100,3024,100,7422666,100,106401,100,41737939,100
小金井市／100m2未満,5440,22,398505,7,124,17,6481,1,5564,22,404986,6
小金井市／200m2未満,13603,55,1766727,31,159,22,22721,3,13762,54,1789448,27
小金井市／300m2未満,2744,11,662010,11,105,14,26006,3,2849,11,688017,10
小金井市／500m2未満,1473,6,548259,10,118,16,46259,5,1591,6,594518,9
小金井市／1000m2未満,727,3,500127,9,109,15,77652,9,836,3,577780,9
小金井市／2000m2未満,346,1,478604,8,51,7,73199,8,397,2,551803,8
小金井市／5000m2未満,279,1,849943,15,37,5,107464,12,316,1,957407,14
小金井市／10000m2未満,61,0,388745,7,20,3,139986,15,81,0,528732,8
小金井市／10000m2以上,11,0,168049,3,11,1,403576,45,22,0,571624,9
小金井市／計,24684,100,5760970,100,734,100,903345,100,25418,100,6664315,100
小平市／100m2未満,15409,31,1138910,11,504,28,62424,2,15913,31,1201334,9
小平市／200m2未満,26359,53,3590427,34,485,27,171695,6,26844,52,3762122,29
小平市／300m2未満,3745,8,1037174,10,235,13,125723,5,3980,8,1162898,9
小平市／500m2未満,2144,4,1082534,10,247,14,204068,8,2391,5,1286602,10
小平市／1000m2未満,1319,3,1389028,13,158,9,449056,17,1477,3,1838085,14
小平市／2000m2未満,640,1,1191690,11,85,5,496560,18,725,1,1688249,13
小平市／5000m2未満,187,0,676977,6,58,3,470196,17,245,0,1147173,9
小平市／10000m2未満,18,0,138252,1,23,1,239048,9,41,0,377300,3
小平市／10000m2以上,11,0,184034,2,17,1,472748,18,28,0,656782,5
小平市／計,49832,100,10429027,100,1812,100,2691518,100,51644,100,13120545,100
日野市／100m2未満,6375,15,466094,4,199,16,8187,0,6574,15,474281,3
日野市／200m2未満,23984,57,3303657,30,249,21,36884,1,24233,56,3340541,23
日野市／300m2未満,6162,15,1456735,13,151,13,36640,1,6313,15,1493375,10
日野市／500m2未満,2590,6,968492,9,181,15,68864,2,2771,6,1037355,7
日野市／1000m2未満,1565,4,1095887,10,172,14,117280,4,1737,4,1213167,8
日野市／2000m2未満,845,2,1191064,11,112,9,151983,5,957,2,1343047,9
日野市／5000m2未満,506,1,1498961,13,77,6,238139,7,583,1,1737100,12
日野市／10000m2未満,85,0,575956,5,30,2,216576,7,115,0,792531,6
日野市／10000m2以上,29,0,553264,5,36,3,2413861,73,65,0,2967125,21
日野市／計,42141,100,11110109,100,1207,100,3288413,100,43348,100,14398522,100
東村山市／100m2未満,7620,22,560218,7,186,19,10423,1,7806,22,570641,6
東村山市／200m2未満,19955,58,2550958,30,242,25,34477,3,20197,57,2585435,26
東村山市／300m2未満,3097,9,730891,9,114,12,28382,2,3211,9,759274,8
東村山市／500m2未満,1454,4,549819,6,120,12,47048,3,1574,4,596866,6
東村山市／1000m2未満,899,3,635358,7,132,14,92371,7,1031,3,727730,7
東村山市／2000m2未満,580,2,808897,9,75,8,100144,7,655,2,909041,9
東村山市／5000m2未満,465,1,1421784,17,59,6,173148,13,524,1,1594931,16
東村山市／10000m2未満,123,0,820472,10,15,2,99599,7,138,0,920071,9
東村山市／10000m2以上,32,0,455718,5,19,2,784264,57,51,0,1239982,13
東村山市／計,34225,100,8534114,100,962,100,1369857,100,35187,100,9903971,100
国分寺市／100m2未満,6157,22,453771,7,155,15,8971,1,6312,22,462742,6
国分寺市／200m2未満,16439,59,2178566,33,233,23,34312,3,16672,58,2212878,27
国分寺市／300m2未満,2639,9,636623,10,130,13,31616,2,2769,10,668239,8
国分寺市／500m2未満,1366,5,508643,8,144,14,57066,4,1510,5,565709,7
国分寺市／1000m2未満,610,2,415709,6,154,15,106402,8,764,3,522111,6
国分寺市／2000m2未満,335,1,472305,7,111,11,154070,11,446,2,626375,8
国分寺市／5000m2未満,298,1,952023,14,57,6,169012,12,355,1,1121035,14
国分寺市／10000m2未満,83,0,557701,8,18,2,120988,9,101,0,678689,8
国分寺市／10000m2以上,39,0,518008,8,21,2,679098,50,60,0,1197106,15
国分寺市／計,27966,100,6693349,100,1023,100,1361536,100,28989,100,8054885,100
国立市／100m2未満,2929,21,210410,5,118,18,6492,1,3047,21,216902,5
国立市／200m2未満,6875,50,911048,23,131,20,19530,2,7006,49,930578,20
国立市／300m2未満,1552,11,374863,10,81,12,20088,2,1633,11,394951,8
国立市／500m2未満,1185,9,445793,11,100,15,38117,4,1285,9,483911,10
国立市／1000m2未満,628,5,435650,11,116,17,83847,10,744,5,519497,11
国立市／2000m2未満,242,2,336045,9,70,11,100312,12,312,2,436357,9
国立市／5000m2未満,155,1,471013,12,30,5,87278,10,185,1,558291,12
国立市／10000m2未満,59,0,418929,11,8,1,57185,7,67,0,476115,10
国立市／10000m2以上,23,0,313227,8,9,1,436430,51,32,0,749658,16
国立市／計,13648,100,3916980,100,663,100,849280,100,14311,100,4766260,100
福生市／100m2未満,2055,19,150415,5,62,14,2873,0,2117,19,153288,4
福生市／200m2未満,5767,53,767682,24,72,16,10794,2,5839,51,778476,20
福生市／300m2未満,1247,11,299262,9,47,11,11394,2,1294,11,310656,8
福生市／500m2未満,848,8,320285,10,87,20,33786,5,935,8,354071,9
福生市／1000m2未満,533,5,372203,12,68,15,46952,7,601,5,419156,11
福生市／2000m2未満,289,3,402106,12,63,14,88270,13,352,3,490377,13
福生市／5000m2未満,151,1,449170,14,33,7,94972,14,184,2,544142,14
福生市／10000m2未満,25,0,154159,5,6,1,40292,6,31,0,194451,5
福生市／10000m2以上,12,0,318523,10,8,2,339597,51,20,0,658120,17
福生市／計,10927,100,3233805,100,446,100,668930,100,11373,100,3902735,100
狛江市／100m2未満,6586,36,490088,14,229,33,19931,5,6815,36,510019,13
狛江市／200m2未満,8763,48,1262530,35,207,30,50724,12,8970,47,1313254,33
狛江市／300m2未満,1676,9,461849,13,81,12,23451,6,1757,9,485300,12
狛江市／500m2未満,734,4,417740,12,88,13,48365,11,822,4,466105,12
狛江市／1000m2未満,383,2,420237,12,46,7,55407,13,429,2,475643,12
狛江市／2000m2未満,168,1,272909,8,25,4,52965,13,193,1,325874,8
狛江市／5000m2未満,33,0,99921,3,10,1,56529,13,43,0,156450,4
狛江市／10000m2未満,6,0,43126,1,3,0,24997,6,9,0,68122,2
狛江市／10000m2以上,5,0,95033,3,5,1,89964,21,10,0,184996,5
狛江市／計,18354,100,3563432,100,694,100,422332,100,19048,100,3985764,100
東大和市／100m2未満,3345,18,247336,5,97,18,4654,1,3442,18,251990,4
東大和市／200m2未満,10179,55,1317529,25,101,18,15010,2,10280,54,1332539,22
東大和市／300m2未満,2385,13,566221,11,48,9,11447,1,2433,13,577668,10
東大和市／500m2未満,1171,6,444689,9,82,15,31308,4,1253,7,475997,8
東大和市／1000m2未満,768,4,530150,10,85,16,60714,7,853,4,590863,10
東大和市／2000m2未満,424,2,599497,12,74,14,103366,12,498,3,702864,12
東大和市／5000m2未満,298,2,885821,17,43,8,138725,16,341,2,1024546,17
東大和市／10000m2未満,69,0,453442,9,7,1,54594,6,76,0,508036,8
東大和市／10000m2以上,9,0,161217,3,9,2,428144,50,18,0,589361,10
東大和市／計,18648,100,5205902,100,546,100,847963,100,19194,100,6053865,100
